ident,type,name,iata,icao,iso_country,municipality,lat,lng
OMAL,large_airport,Al Ain International Airport,AAN,OMAL,AE,Al Ain,24.2617,55.6092
OMAD,large_airport,Al Bateen Executive Airport,AZI,OMAD,AE,Abu Dhabi,24.42706,54.45987
OMAM,medium_airport,Al Dhafra Air Base,DHF,OMAM,AE,,24.2482,54.5477
OMDW,large_airport,Al Maktoum International Airport,DWC,OMDW,AE,Dubai(Jebel Ali),24.89617,55.16235
OMDM,medium_airport,Al Minhad Air Base,NHD,OMDM,AE,Dubai,25.0268,55.3662
OMDL,small_airport,Delma Airport,ZDY,OMDL,AE,Delma Island,24.51,52.3352
OMDB,large_airport,Dubai International Airport,DXB,OMDB,AE,Dubai,25.24979,55.37099
AE-0237,seaplane_base,Dubai Seaplane Terminal,DST,AE-0237,AE,,25.263,55.272
OMFJ,large_airport,Fujairah International Airport,FJR,OMFJ,AE,Fujairah,25.10841,56.32806
OMRK,large_airport,Ras Al Khaimah International Airport,RKT,OMRK,AE,Ras Al Khaimah,25.6135,55.9388
AE-0221,medium_airport,Sas Al Nakheel Air Base,,OMNK,AE,Sas Al Nakheel,24.44128,54.51696
OMSJ,large_airport,Sharjah International Airport,SHJ,OMSJ,AE,Sharjah,25.3286,55.5172
OMBY,medium_airport,Sir Bani Yas Airport,XSB,OMBY,AE,Sir Bani Yas,24.28361,52.58028
AYM,seaplane_base,Yas Island Seaplane Base,AYM,AYM,AE,Abu Dhabi,24.467,54.6103
OMAA,large_airport,Zayed International Airport,AUH,OMAA,AE,Abu Dhabi,24.44097,54.64924
OAKN,large_airport,Ahmad Shah Baba International Airport,KDH,OAKN,AF,Kandahar,31.50577,65.84796
OAIX,medium_airport,Bagram Airfield,OAI,OAIX,AF,Bagram,34.9461,69.265
OABN,small_airport,Bamyan Airport,BIN,OABN,AF,Bamyan,34.80892,67.81663
OABT,small_airport,Bost Airport,BST,OABT,AF,Lashkar Gah,31.5597,64.365
OAZI,small_airport,Camp Shorabak Airfield,OAZ,OAZI,AF,Lashkar Gah,31.84874,64.22317
OACC,small_airport,Chaghcharan Airport,CCN,OACC,AF,Chaghcharan,34.52647,65.27102
OADZ,small_airport,Darwaz Airport,DAZ,OADZ,AF,Darwaz,38.4618,70.88161
OADY,small_airport,Dwyer Airport,DWR,OADY,AF,Reg,31.09126,64.06605
OAFR,small_airport,Farah Airport,FAH,OAFR,AF,Farah,32.36667,62.16535
OAFZ,small_airport,Fayzabad Airport,FBD,OAFZ,AF,Fayzabad,37.12215,70.5201
OAGZ,small_airport,Gardez Airport,GRG,OAGZ,AF,Gardez,33.62737,69.23702
OAGN,small_airport,Ghazni Airport,GZI,OAGN,AF,Ghazni,33.48785,68.52524
OAHR,large_airport,Herat - Khwaja Abdullah Ansari International Airport,HEA,OAHR,AF,Guzara,34.21,62.2283
OAJL,medium_airport,Jalalabad Airport,JAA,OAJL,AF,Jalalabad,34.3998,70.4986
OAKB,large_airport,Kabul International Airport,KBL,OAKB,AF,Kabul,34.5659,69.2123
OAKS,medium_airport,Khost International Airport,KHT,OAKS,AF,Khost,33.2846,69.80734
OAHN,small_airport,Khwahan Airport,KWH,OAHN,AF,Khwahan,37.89002,70.20383
OAUZ,medium_airport,Kunduz Airport,UND,OAUZ,AF,Kunduz,36.6651,68.9108
OAMN,medium_airport,Maymana Zahiraddin Faryabi Airport,MMZ,OAMN,AF,Maymana,35.9308,64.7609
OAMS,large_airport,Mazar-i-Sharif International Airport,MZR,OAMS,AF,Mazar-i-Sharif,36.70412,67.21046
OANZ,small_airport,Nimroz Airport,IMZ,OANZ,AF,Ziarat-e Amiran Saseb,30.96333,62.06083
OARG,small_airport,Orūzgān Airport,URZ,OARG,AF,Orūzgān,32.903,66.6309
OAQN,small_airport,Qala-i-Naw Airport,LQN,OAQN,AF,Qala-i-Naw,34.98547,63.1174
OARZ,small_airport,Razer Airport,KUR,OARZ,AF,Skazar,36.02989,70.71416
OASL,small_airport,Salerno Airport,OLR,OASL,AF,Khost,33.3638,69.9561
OADS,small_airport,Sardeh Band Airport,SBF,OADS,AF,Sardeh Band,33.3207,68.6365
OASH,small_airport,Shank Air Base,OAA,OASH,AF,Baraki Barak,33.92222,69.07794
OASA,small_airport,Sharana Airstrip,OAS,OASA,AF,Sharana,33.12575,68.83852
OASN,small_airport,Sheghnan Airport,SGA,OASN,AF,Shiveh,37.49764,71.50848
OASD,small_airport,Shindand Air Base,OAH,OASD,AF,Shindand,33.3913,62.261
OATQ,small_airport,Taleqan Airport,TQN,OATQ,AF,Taleqan,36.7707,69.532
OATN,small_airport,Tarinkot Airport,TII,OATN,AF,Tarinkot,32.6042,65.8658
OAOG,small_airport,Urgun Airport,URN,OAOG,AF,Urgun,32.93113,69.15317
AG-0001,medium_airport,Burton-Nibbs International Airport,BBQ,TAPB,AG,Codrington,17.62119,-61.79835
TAPA,large_airport,V. C. Bird International Airport,ANU,TAPA,AG,Osbourn,17.1367,-61.7927
TQPF,medium_airport,Clayton J. Lloyd International Airport,AXA,TQPF,AI,The Valley,18.20477,-63.05383
LAKU,medium_airport,Kukës International Airport,KFZ,LAKU,AL,Kukës,42.0358,20.41596
LAKV,medium_airport,Kuçovë Air Base,,LAKV,AL,Kuçovë,40.7719,19.9019
LATI,large_airport,Tirana International Airport Mother Teresa,TIA,LATI,AL,Rinas,41.4147,19.7206
UDYE,medium_airport,Erebuni Airport,,UDYE,AM,Yerevan,40.1221,44.465
UDSG,large_airport,Shirak International Airport,LWN,UDSG,AM,Gyumri,40.7504,43.8593
AM-0001,small_airport,Syunik Airport,YUK,UDCK,AM,Kapan,39.20227,46.4552
UDYZ,large_airport,Zvartnots International Airport,EVN,UDYZ,AM,Yerevan,40.14894,44.39789
FNHU,medium_airport,Albano Machado Airport,NOV,FNHU,AO,Huambo,-12.8089,15.7605
