country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,El Encanto,-1.56261,-73.25684
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,La Chorrera,-1.48894,-72.72935
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,La Pedrera,-1.65596,-70.22186
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,La Victoria,-0.18311,-71.0376
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,Leticia,-4.21528,-69.94056
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,Miriti - Paraná,-0.81858,-70.78925
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,Puerto Alegría,-0.96886,-73.74962
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,Puerto Arica,-1.90677,-71.14653
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,Puerto Nariño,-3.78889,-70.35584
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,Puerto Santander,-1.0987,-71.93911
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,AMA,Amazonas,department,departamento,Tarapacá,-2.88544,-69.77692
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Abejorral,5.78928,-75.42725
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Abriaquí,6.63148,-76.06444
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Alejandría,6.36667,-75.08333
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Amagá,6.04001,-75.70315
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Amalfi,6.91016,-75.07764
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Andes,5.66974,-75.89905
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Angelópolis,6.12228,-75.71432
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Angostura,6.8712,-75.35947
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Anorí,7.07361111,-75.14694444
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Anza,6.33333,-75.91667
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Apartadó,7.88299,-76.62587
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Arboletes,8.85051,-76.42694
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Argelia,5.73127,-75.14257
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Armenia,6.17554,-75.8123
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Barbosa,6.43809,-75.33136
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Bello,6.3616,-75.58728
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Belmira,6.60508,-75.66619
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Betania,5.73571,-75.98964
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Betulia,6.11284,-75.98378
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Briceño,7.05001,-75.50903
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Buriticá,6.80549,-75.92093
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Cáceres,7.68252,-75.22481
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Caicedo,6.42805,-75.99715
CO,Colombia,Colombia,Americas,América,South America,Sudamérica,ANT,Antioquia,department,departamento,Caldas,6.09106,-75.63569
