country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Agronomía,-34.5922264,-58.4999764
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Almagro,-34.6098514,-58.4432261
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Balvanera,-34.6092855,-58.4237589
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Barracas,-34.6444873,-58.4051688
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Belgrano,-34.5554327,-58.4713857
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Boedo,-34.6303842,-58.4397417
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Caballito,-34.6166192,-58.4653299
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Chacarita,-34.5880275,-58.4733273
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Coghlan,-34.5601732,-58.4853676
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Colegiales,-34.5746318,-58.461947
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Constitución,-34.6257702,-58.3939347
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Flores,-34.635286,-58.4988147
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Floresta,-34.6277819,-58.5053516
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,La Boca,-34.6375514,-58.3822951
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,La Paternal,-34.5963613,-58.4778334
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Liniers,-34.6449483,-58.5367029
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Mataderos,-34.6588853,-58.5228812
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Monserrat,-34.6125406,-58.3896419
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Monte Castro,-34.6187699,-58.5174323
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Nueva Pompeya,-34.6500581,-58.4425261
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Núñez,-34.5427003,-58.4816943
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Palermo,-34.5733558,-58.4622154
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Parque Avellaneda,-34.6507537,-58.4984284
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Parque Chacabuco,-34.6371383,-58.4595346
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Parque Chas,-34.5848615,-58.4901063
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Parque Patricios,-34.6378869,-58.4222586
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Puerto Madero,-34.6135866,-58.3728685
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Recoleta,-34.5847906,-58.4169425
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Retiro,-34.5893608,-58.397388
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Saavedra,-34.5543121,-58.5097595
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,San Cristóbal,-34.6242393,-58.4121565
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,San Nicolás,-34.6039037,-58.3905912
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,San Telmo,-34.6225421,-58.3805578
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Vélez Sársfield,-34.6312982,-58.5135192
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Versalles,-34.6291544,-58.5296382
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa Crespo,-34.5981159,-58.4617483
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa del Parque,-34.6058765,-58.5106441
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa Devoto,-34.6004693,-58.5544326
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa General Mitre,-34.6104897,-58.4797419
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa Lugano,-34.6748591,-58.4970458
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa Luro,-34.6350067,-58.5226937
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa Ortúzar,-34.5814874,-58.4789875
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa Pueyrredón,-34.5818255,-58.5226493
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa Real,-34.6190934,-58.5345342
AR,Argentina,Argentina,Americas,América,South America,Sudamérica,C,Autonomous City of Buenos Aires,city,ciudad,Villa Riachuelo,-34.6926622,-58.4843481
