country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
AX,Aland Islands,Europe,Northern Europe,12,Brändö,,,
AX,Aland Islands,Europe,Northern Europe,08,Eckerö,,,
AX,Aland Islands,Europe,Northern Europe,03,Finström,,,
AX,Aland Islands,Europe,Northern Europe,09,Föglö,,,
AX,Aland Islands,Europe,Northern Europe,10,Geta,,,
AX,Aland Islands,Europe,Northern Europe,06,Hammarland,,,
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Bomarsund,60.21234,20.24023
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Finström,60.26667,19.93333
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Godby,60.22995,19.9881
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Hammarland,60.21667,19.75
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Jomala,60.14902,19.951
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Lemland,60.07178,20.08472
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Saltvik,60.28333,20.05
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Sund,60.25,20.11667
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Tjudö,60.33333,19.95
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Yomala,60.16689,19.93341
AX,Aland Islands,Europe,Northern Europe,02,Jomala,Ytterby,60.16667,20.01667
AX,Aland Islands,Europe,Northern Europe,15,Kökar,,,
AX,Aland Islands,Europe,Northern Europe,14,Kumlinge,,,
AX,Aland Islands,Europe,Northern Europe,04,Lemland,,,
AX,Aland Islands,Europe,Northern Europe,13,Lumparland,,,
AX,Aland Islands,Europe,Northern Europe,01,Mariehamn,Mariehamn,60.09726,19.93481
AX,Aland Islands,Europe,Northern Europe,05,Saltvik,,,
AX,Aland Islands,Europe,Northern Europe,16,Sottunga,,,
AX,Aland Islands,Europe,Northern Europe,07,Sund,,,
AX,Aland Islands,Europe,Northern Europe,11,Vårdö,,,
