country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
AZ,Azerbaijan,Asia,Western Asia,ABS,Absheron,Ceyranbatan,40.54194,49.66073
AZ,Azerbaijan,Asia,Western Asia,ABS,Absheron,Digah,40.49257,49.87477
AZ,Azerbaijan,Asia,Western Asia,ABS,Absheron,Gyuzdek,40.37444,49.68194
AZ,Azerbaijan,Asia,Western Asia,ABS,Absheron,Khirdalan,40.44808,49.75502
AZ,Azerbaijan,Asia,Western Asia,ABS,Absheron,Qobu,40.40472,49.71306
AZ,Azerbaijan,Asia,Western Asia,ABS,Absheron,Saray,40.53299,49.71681
AZ,Azerbaijan,Asia,Western Asia,AGM,Agdam,Ağdam,39.99096,46.92736
AZ,Azerbaijan,Asia,Western Asia,AGS,Agdash,Ağdaş,40.64699,47.4738
AZ,Azerbaijan,Asia,Western Asia,AGC,Aghjabadi,Agdzhabedy,40.05015,47.45937
AZ,Azerbaijan,Asia,Western Asia,AGC,Aghjabadi,Avşar,39.97389,47.42389
AZ,Azerbaijan,Asia,Western Asia,AGA,Agstafa,Aghstafa,41.11889,45.45389
AZ,Azerbaijan,Asia,Western Asia,AGA,Agstafa,Saloğlu,41.27524,45.35293
AZ,Azerbaijan,Asia,Western Asia,AGA,Agstafa,Vurğun,41.09524,45.47111
AZ,Azerbaijan,Asia,Western Asia,AGU,Agsu,Aghsu,40.57028,48.40087
AZ,Azerbaijan,Asia,Western Asia,AST,Astara,Astara,38.45598,48.87498
AZ,Azerbaijan,Asia,Western Asia,AST,Astara,Kizhaba,38.53461,48.80546
AZ,Azerbaijan,Asia,Western Asia,BAB,Babek,,,
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Amirdzhan,40.42639,49.98361
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Badamdar,40.34024,49.8045
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Bakıxanov,40.41894,49.96693
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Baku,40.37767,49.89201
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Balakhani,40.46344,49.91893
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Bilajari,40.4444,49.80566
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Bilajer,40.56441,50.04002
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Binagadi,40.46602,49.82783
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Biny Selo,40.45076,50.08686
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Buzovna,40.51903,50.11438
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Hövsan,40.37444,50.08528
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Khodzhi-Gasan,40.41293,49.76904
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Korgöz,40.30446,49.6236
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Lökbatan,40.3256,49.73376
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Mardakan,40.49182,50.14292
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Maştağa,40.52983,50.00616
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Nardaran,40.55611,50.00556
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Nizami Rayonu,40.4097,49.91926
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Pirallahı,40.47013,50.32476
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Puta,40.29667,49.66028
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Qala,40.44256,50.16759
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Qaraçuxur,40.39667,49.97361
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Qobustan,40.08238,49.41205
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Ramana,40.44222,49.98056
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Sabunçu,40.4425,49.94806
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Sanqaçal,40.16991,49.46394
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Türkan,40.3646,50.22075
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Yeni Suraxanı,40.43026,50.03598
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Zabrat,40.47746,49.94174
AZ,Azerbaijan,Asia,Western Asia,BA,Baku,Zyrya,40.36613,50.29198
AZ,Azerbaijan,Asia,Western Asia,BAL,Balakan,Belokany,41.72626,46.40478
AZ,Azerbaijan,Asia,Western Asia,BAL,Balakan,Qabaqçöl,41.75259,46.27052
AZ,Azerbaijan,Asia,Western Asia,BAR,Barda,Barda,40.37577,47.12619
AZ,Azerbaijan,Asia,Western Asia,BAR,Barda,Samuxlu,40.50833,47.16917
AZ,Azerbaijan,Asia,Western Asia,BEY,Beylagan,Beylagan,39.77556,47.61861
AZ,Azerbaijan,Asia,Western Asia,BEY,Beylagan,Birinci Aşıqlı,39.81917,47.67944
AZ,Azerbaijan,Asia,Western Asia,BEY,Beylagan,Dünyamalılar,39.77278,47.75889
AZ,Azerbaijan,Asia,Western Asia,BEY,Beylagan,Orjonikidze,39.63571,47.71199
AZ,Azerbaijan,Asia,Western Asia,BEY,Beylagan,Yuxarı Aran,39.73361,47.655
AZ,Azerbaijan,Asia,Western Asia,BIL,Bilasuvar,Pushkino,39.45833,48.545
AZ,Azerbaijan,Asia,Western Asia,DAS,Dashkasan,Verkhniy Dashkesan,40.49357,46.07175
AZ,Azerbaijan,Asia,Western Asia,DAS,Dashkasan,Yukhary-Dashkesan,40.52393,46.08186
AZ,Azerbaijan,Asia,Western Asia,FUZ,Fizuli,Fizuli,39.60094,47.14529
AZ,Azerbaijan,Asia,Western Asia,FUZ,Fizuli,Horadiz,39.45015,47.33496
AZ,Azerbaijan,Asia,Western Asia,GA,Ganja,Ganja,40.68278,46.36056
AZ,Azerbaijan,Asia,Western Asia,GAD,Gədəbəy,Arıqdam,40.59313,45.799
AZ,Azerbaijan,Asia,Western Asia,GAD,Gədəbəy,Arıqıran,40.53971,45.61414
AZ,Azerbaijan,Asia,Western Asia,GAD,Gədəbəy,Böyük Qaramurad,40.57626,45.63727
AZ,Azerbaijan,Asia,Western Asia,GAD,Gədəbəy,Kyadabek,40.57055,45.81229
AZ,Azerbaijan,Asia,Western Asia,GAD,Gədəbəy,Novosaratovka,40.59811,45.60079
AZ,Azerbaijan,Asia,Western Asia,QOB,Gobustan,Qobustan,40.5336,48.92819
AZ,Azerbaijan,Asia,Western Asia,GOR,Goranboy,Goranboy,40.61028,46.78972
AZ,Azerbaijan,Asia,Western Asia,GOR,Goranboy,Qızılhacılı,40.57362,46.849
AZ,Azerbaijan,Asia,Western Asia,GOY,Goychay,Geoktschai,40.65055,47.74219
AZ,Azerbaijan,Asia,Western Asia,GYG,Goygol,Yelenendorf,40.58584,46.3189
AZ,Azerbaijan,Asia,Western Asia,HAC,Hajigabul,Hacıqabul,40.03874,48.94286
AZ,Azerbaijan,Asia,Western Asia,HAC,Hajigabul,Mughan,40.09902,48.81886
AZ,Azerbaijan,Asia,Western Asia,IMI,Imishli,Imishli,39.87095,48.05995
AZ,Azerbaijan,Asia,Western Asia,ISM,Ismailli,Basqal,40.7552,48.39104
AZ,Azerbaijan,Asia,Western Asia,ISM,Ismailli,İsmayıllı,40.78485,48.15141
AZ,Azerbaijan,Asia,Western Asia,CAB,Jabrayil,Jebrail,39.39917,47.02835
AZ,Azerbaijan,Asia,Western Asia,CAL,Jalilabad,Jalilabad,39.20963,48.49186
AZ,Azerbaijan,Asia,Western Asia,CAL,Jalilabad,Prishibinskoye,39.11998,48.59383
AZ,Azerbaijan,Asia,Western Asia,CUL,Julfa,,,
AZ,Azerbaijan,Asia,Western Asia,KAL,Kalbajar,Kerbakhiar,40.10984,46.04446
AZ,Azerbaijan,Asia,Western Asia,KAL,Kalbajar,Vank,40.05275,46.54419
AZ,Azerbaijan,Asia,Western Asia,KAN,Kangarli,,,
AZ,Azerbaijan,Asia,Western Asia,XAC,Khachmaz,Xaçmaz,41.46426,48.80565
AZ,Azerbaijan,Asia,Western Asia,XAC,Khachmaz,Xudat,41.63052,48.68161
AZ,Azerbaijan,Asia,Western Asia,XA,Khankendi,Khankendi,39.8266,46.7556
AZ,Azerbaijan,Asia,Western Asia,XIZ,Khizi,Altıağac,40.85785,48.9354
AZ,Azerbaijan,Asia,Western Asia,XIZ,Khizi,Khyzy,40.90847,49.07481
AZ,Azerbaijan,Asia,Western Asia,XIZ,Khizi,Kilyazi,40.87392,49.34376
AZ,Azerbaijan,Asia,Western Asia,XIZ,Khizi,Şuraabad,40.8199,49.46774
AZ,Azerbaijan,Asia,Western Asia,XCI,Khojali,Askyaran,39.9391,46.83161
AZ,Azerbaijan,Asia,Western Asia,XCI,Khojali,Xocalı,39.91297,46.79028
AZ,Azerbaijan,Asia,Western Asia,KUR,Kurdamir,Kyurdarmir,40.34257,48.15649
AZ,Azerbaijan,Asia,Western Asia,LAC,Lachin,Laçın,39.59881,46.55045
AZ,Azerbaijan,Asia,Western Asia,LAN,Lankaran,,,
AZ,Azerbaijan,Asia,Western Asia,LA,Lankaran,Haftoni,38.76325,48.76223
AZ,Azerbaijan,Asia,Western Asia,LA,Lankaran,Lankaran,38.75428,48.85062
AZ,Azerbaijan,Asia,Western Asia,LER,Lerik,Lerik,38.77388,48.41497
AZ,Azerbaijan,Asia,Western Asia,XVD,Martuni,Hadrut,39.52003,47.0319
AZ,Azerbaijan,Asia,Western Asia,XVD,Martuni,Novyy Karanlug,39.79496,47.1117
AZ,Azerbaijan,Asia,Western Asia,XVD,Martuni,Qırmızı Bazar,39.67669,46.95123
AZ,Azerbaijan,Asia,Western Asia,MAS,Masally,Boradigah,38.93013,48.7092
AZ,Azerbaijan,Asia,Western Asia,MAS,Masally,Masally,39.03532,48.6654
AZ,Azerbaijan,Asia,Western Asia,MI,Mingachevir,Mingelchaur,40.76395,47.05953
AZ,Azerbaijan,Asia,Western Asia,NA,Naftalan,Naftalan,40.5061,46.8244
AZ,Azerbaijan,Asia,Western Asia,NV,Nakhchivan,Nakhchivan,39.20889,45.41222
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Cahri,39.34837,45.41557
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Çalxanqala,39.44167,45.28333
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Culfa,38.95397,45.62961
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Deste,38.88375,45.90963
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Heydarabad,39.72286,44.84846
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Julfa Rayon,39.16667,45.66667
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Oğlanqala,39.58694,45.04611
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Ordubad,38.90961,46.02274
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Ordubad Rayon,39.08333,45.91667
AZ,Azerbaijan,Asia,Western Asia,NX,Nakhchivan,Qıvraq,39.39939,45.11513
