country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AL,Alibori,department,departamento,Banikoara,11.29845,2.43856
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AL,Alibori,department,departamento,Kandi,11.13417,2.93861
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AL,Alibori,department,departamento,Malanville,11.86819,3.38327
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AK,Atakora,department,departamento,Guilmaro,10.56583,1.72444
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AK,Atakora,department,departamento,Natitingou,10.30416,1.37962
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AK,Atakora,department,departamento,Tanguieta,11.03621,1.41757
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AQ,Atlantique,department,departamento,Abomey-Calavi,6.44852,2.35566
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AQ,Atlantique,department,departamento,Allada,6.66547,2.15138
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AQ,Atlantique,department,departamento,Hévié,6.41667,2.25
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AQ,Atlantique,department,departamento,Hinvi,6.76667,2.16667
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,AQ,Atlantique,department,departamento,Ouidah,6.36307,2.08506
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,BO,Borgou,department,departamento,Bembèrèkè,10.22827,2.66335
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,BO,Borgou,department,departamento,Bétérou,9.19916,2.25855
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,BO,Borgou,department,departamento,Nikki,9.94009,3.21075
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,BO,Borgou,department,departamento,Parakou,9.33716,2.63031
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,BO,Borgou,department,departamento,Tchaourou,8.88649,2.59753
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,CO,Collines,department,departamento,Comé,6.40764,1.88198
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,CO,Collines,department,departamento,Dassa-Zoumé,7.75,2.18333
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,CO,Collines,department,departamento,Savalou,7.92807,1.97558
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,CO,Collines,department,departamento,Savé,8.03424,2.4866
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,DO,Donga,department,departamento,Bassila,9.00814,1.6654
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,DO,Donga,department,departamento,Commune of Djougou,9.643,1.896
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,DO,Donga,department,departamento,Djougou,9.70853,1.66598
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,KO,Kouffo,department,departamento,Djakotomey,6.9,1.71667
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,KO,Kouffo,department,departamento,Dogbo,6.79911,1.78073
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,LI,Littoral,department,departamento,Cotonou,6.36536,2.41833
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,MO,Mono,department,departamento,Commune of Athieme,6.56924,1.70259
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,MO,Mono,department,departamento,Lokossa,6.63869,1.71674
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,OU,Ouémé,department,departamento,Porto-Novo,6.49646,2.60359
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,PL,Plateau,department,departamento,Kétou,7.36332,2.59978
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,PL,Plateau,department,departamento,Pobé,6.98008,2.6649
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,PL,Plateau,department,departamento,Sakété,6.73618,2.65866
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,ZO,Zou,department,departamento,Abomey,7.18286,1.99119
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,ZO,Zou,department,departamento,Bohicon,7.17826,2.0667
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,ZO,Zou,department,departamento,Commune of Agbangnizoun,7.076,1.961
BJ,Benin,Benín,Africa,África,Western Africa,África Occidental,ZO,Zou,department,departamento,Cové,7.22097,2.34017
