country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
BO,Bolivia,Americas,South America,B,Beni,Guayaramerín,-10.8258,-65.3581
BO,Bolivia,Americas,South America,B,Beni,Provincia Cercado,-14.5,-64.33333
BO,Bolivia,Americas,South America,B,Beni,Provincia General José Ballivián,-14,-67.08333
BO,Bolivia,Americas,South America,B,Beni,Provincia Iténez,-13.41667,-63.5
BO,Bolivia,Americas,South America,B,Beni,Provincia Mamoré,-13,-64.91667
BO,Bolivia,Americas,South America,B,Beni,Provincia Marbán,-15.66667,-64.33333
BO,Bolivia,Americas,South America,B,Beni,Provincia Moxos,-15.16667,-65.5
BO,Bolivia,Americas,South America,B,Beni,Provincia Vaca Diez,-11.66667,-66
BO,Bolivia,Americas,South America,B,Beni,Provincia Yacuma,-13.5,-66
BO,Bolivia,Americas,South America,B,Beni,Reyes,-14.2952,-67.33624
BO,Bolivia,Americas,South America,B,Beni,Riberalta,-11.00654,-66.06312
BO,Bolivia,Americas,South America,B,Beni,Rurrenabaque,-14.44125,-67.52781
BO,Bolivia,Americas,South America,B,Beni,San Borja,-14.81667,-66.85
BO,Bolivia,Americas,South America,B,Beni,San Ramón,-13.28333,-64.71667
BO,Bolivia,Americas,South America,B,Beni,Santa Ana de Yacuma,-13.74406,-65.42688
BO,Bolivia,Americas,South America,B,Beni,Santa Rosa,-14.16667,-66.88333
BO,Bolivia,Americas,South America,B,Beni,Trinidad,-14.83333,-64.9
BO,Bolivia,Americas,South America,H,Chuquisaca,Camargo,-20.64064,-65.20893
BO,Bolivia,Americas,South America,H,Chuquisaca,Monteagudo,-19.79989,-63.95461
BO,Bolivia,Americas,South America,H,Chuquisaca,Padilla,-19.30878,-64.30273
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Azurduy,-20,-64.5
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Belisario Boeto,-18.91667,-64.33333
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Hernando Siles,-20.16667,-64.25
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Luis Calvo,-20.66667,-63.5
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Nor Cinti,-20.33333,-65
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Oropeza,-18.66667,-65.16667
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Sud Cinti,-20.91667,-64.91667
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Tomina,-19.5,-64.16667
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Yamparáez,-19.16667,-64.91667
BO,Bolivia,Americas,South America,H,Chuquisaca,Provincia Zudáñez,-18.91667,-64.83333
BO,Bolivia,Americas,South America,H,Chuquisaca,Sucre,-19.03332,-65.26274
BO,Bolivia,Americas,South America,H,Chuquisaca,Tarabuco,-19.18168,-64.91517
BO,Bolivia,Americas,South America,C,Cochabamba,Aiquile,-18.20408,-65.18068
BO,Bolivia,Americas,South America,C,Cochabamba,Arani,-17.56854,-65.76883
BO,Bolivia,Americas,South America,C,Cochabamba,Bolivar,-17.96667,-66.53333
BO,Bolivia,Americas,South America,C,Cochabamba,Capinota,-17.71113,-66.26082
BO,Bolivia,Americas,South America,C,Cochabamba,Chimoré,-16.99417,-65.1533
BO,Bolivia,Americas,South America,C,Cochabamba,Cliza,-17.58777,-65.93253
BO,Bolivia,Americas,South America,C,Cochabamba,Cochabamba,-17.3895,-66.1568
BO,Bolivia,Americas,South America,C,Cochabamba,Colchani,-17.31667,-66.71667
BO,Bolivia,Americas,South America,C,Cochabamba,Colomi,-17.35,-65.86667
BO,Bolivia,Americas,South America,C,Cochabamba,Independencia,-17.08389,-66.81804
BO,Bolivia,Americas,South America,C,Cochabamba,Irpa Irpa,-17.71667,-66.26667
BO,Bolivia,Americas,South America,C,Cochabamba,Mizque,-17.94101,-65.34016
BO,Bolivia,Americas,South America,C,Cochabamba,Provincia Arani,-17.5,-65.5
BO,Bolivia,Americas,South America,C,Cochabamba,Provincia Arque,-17.75,-66.66667
