country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
BR,Brazil,Americas,South America,AC,Acre,Acrelândia,-9.98045,-66.84388
BR,Brazil,Americas,South America,AC,Acre,Assis Brasil,-10.88334,-70.01314
BR,Brazil,Americas,South America,AC,Acre,Brasiléia,-11.01611,-68.74806
BR,Brazil,Americas,South America,AC,Acre,Bujari,-9.57859,-68.17197
BR,Brazil,Americas,South America,AC,Acre,Capixaba,-10.48782,-67.84831
BR,Brazil,Americas,South America,AC,Acre,Cruzeiro do Sul,-7.62759,-72.67756
BR,Brazil,Americas,South America,AC,Acre,Epitaciolândia,-10.93542,-68.44411
BR,Brazil,Americas,South America,AC,Acre,Feijó,-8.1654,-70.35486
BR,Brazil,Americas,South America,AC,Acre,Jordão,-9.09166,-71.84069
BR,Brazil,Americas,South America,AC,Acre,Mâncio Lima,-7.61417,-72.89583
BR,Brazil,Americas,South America,AC,Acre,Manoel Urbano,-8.83889,-69.25972
BR,Brazil,Americas,South America,AC,Acre,Marechal Thaumaturgo,-8.94111,-72.79167
BR,Brazil,Americas,South America,AC,Acre,Plácido de Castro,-10.33528,-67.18556
BR,Brazil,Americas,South America,AC,Acre,Porto Acre,-9.65038,-67.77733
BR,Brazil,Americas,South America,AC,Acre,Porto Walter,-8.26861,-72.74389
BR,Brazil,Americas,South America,AC,Acre,Rio Branco,-9.97472,-67.81
BR,Brazil,Americas,South America,AC,Acre,Rodrigues Alves,-7.85286,-73.23613
BR,Brazil,Americas,South America,AC,Acre,Santa Rosa do Purus,-9.4773,-70.39032
BR,Brazil,Americas,South America,AC,Acre,Sena Madureira,-9.06341,-68.67245
BR,Brazil,Americas,South America,AC,Acre,Senador Guiomard,-10.1497,-67.73741
BR,Brazil,Americas,South America,AC,Acre,Tarauacá,-8.16139,-70.76556
BR,Brazil,Americas,South America,AC,Acre,Xapuri,-10.59663,-68.64891
BR,Brazil,Americas,South America,AL,Alagoas,Água Branca,-9.26988,-37.91917
BR,Brazil,Americas,South America,AL,Alagoas,Anadia,-9.67495,-36.3379
BR,Brazil,Americas,South America,AL,Alagoas,Arapiraca,-9.7438,-36.59315
BR,Brazil,Americas,South America,AL,Alagoas,Atalaia,-9.50194,-36.02278
BR,Brazil,Americas,South America,AL,Alagoas,Barra de Santo Antônio,-9.40472,-35.50722
BR,Brazil,Americas,South America,AL,Alagoas,Barra de São Miguel,-9.8123,-35.96087
BR,Brazil,Americas,South America,AL,Alagoas,Batalha,-9.73256,-37.08877
BR,Brazil,Americas,South America,AL,Alagoas,Belém,-9.54424,-36.50196
BR,Brazil,Americas,South America,AL,Alagoas,Belo Monte,-9.80521,-37.19157
BR,Brazil,Americas,South America,AL,Alagoas,Boca da Mata,-9.64651,-36.14134
BR,Brazil,Americas,South America,AL,Alagoas,Branquinha,-9.21168,-36.08956
BR,Brazil,Americas,South America,AL,Alagoas,Cacimbinhas,-9.40028,-36.99028
BR,Brazil,Americas,South America,AL,Alagoas,Cajueiro,-9.71667,-36.45
BR,Brazil,Americas,South America,AL,Alagoas,Campestre,-8.89393,-35.53237
BR,Brazil,Americas,South America,AL,Alagoas,Campo Alegre,-9.78194,-36.35083
BR,Brazil,Americas,South America,AL,Alagoas,Campo Grande,-9.94997,-36.75593
BR,Brazil,Americas,South America,AL,Alagoas,Canapi,-9.17327,-37.51985
BR,Brazil,Americas,South America,AL,Alagoas,Capela,-9.39342,-36.1239
BR,Brazil,Americas,South America,AL,Alagoas,Carneiros,-9.46467,-37.35559
BR,Brazil,Americas,South America,AL,Alagoas,Chã Preta,-9.22921,-36.33049
