country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
BS,The Bahamas,Americas,Caribbean,AK,Acklins,,,
BS,The Bahamas,Americas,Caribbean,BY,Berry Islands,,,
BS,The Bahamas,Americas,Caribbean,BI,Bimini,Alice Town,25.728,-79.29721
BS,The Bahamas,Americas,Caribbean,BP,Black Point,,,
BS,The Bahamas,Americas,Caribbean,CI,Cat Island,Arthur’s Town,24.6224,-75.67151
BS,The Bahamas,Americas,Caribbean,CO,Central Abaco,Marsh Harbour,26.54124,-77.0636
BS,The Bahamas,Americas,Caribbean,CS,Central Andros,,,
BS,The Bahamas,Americas,Caribbean,CE,Central Eleuthera,,,
BS,The Bahamas,Americas,Caribbean,CK,Crooked Island,Colonel Hill,22.7545,-74.20415
BS,The Bahamas,Americas,Caribbean,EG,East Grand Bahama,High Rock,26.60999,-78.27863
BS,The Bahamas,Americas,Caribbean,EX,Exuma,George Town,23.51616,-75.78665
BS,The Bahamas,Americas,Caribbean,FP,Freeport,Freeport,26.53333,-78.7
BS,The Bahamas,Americas,Caribbean,FP,Freeport,Lucaya,26.53333,-78.66667
BS,The Bahamas,Americas,Caribbean,GC,Grand Cay,,,
BS,The Bahamas,Americas,Caribbean,HI,Harbour Island,Dunmore Town,25.50216,-76.63633
BS,The Bahamas,Americas,Caribbean,HT,Hope Town,,,
BS,The Bahamas,Americas,Caribbean,IN,Inagua,Matthew Town,20.94982,-73.67346
BS,The Bahamas,Americas,Caribbean,LI,Long Island,Clarence Town,23.1,-74.98333
BS,The Bahamas,Americas,Caribbean,MC,Mangrove Cay,,,
BS,The Bahamas,Americas,Caribbean,MG,Mayaguana,Abraham’s Bay,22.36667,-72.96667
BS,The Bahamas,Americas,Caribbean,MI,Moore's Island,,,
BS,The Bahamas,Americas,Caribbean,NP,New Providence,Nassau,25.06666667,-77.33333333
BS,The Bahamas,Americas,Caribbean,NO,North Abaco,Cooper’s Town,26.87137,-77.51131
BS,The Bahamas,Americas,Caribbean,NS,North Andros,Andros Town,24.70502,-77.76912
BS,The Bahamas,Americas,Caribbean,NS,North Andros,San Andros,25.06667,-78.05
BS,The Bahamas,Americas,Caribbean,NE,North Eleuthera,,,
BS,The Bahamas,Americas,Caribbean,RI,Ragged Island,Duncan Town,22.19083,-75.72583
BS,The Bahamas,Americas,Caribbean,RC,Rum Cay,Port Nelson,23.64967,-74.84157
BS,The Bahamas,Americas,Caribbean,SS,San Salvador Island,Cockburn Town,24.05179,-74.53138
BS,The Bahamas,Americas,Caribbean,SO,South Abaco,,,
BS,The Bahamas,Americas,Caribbean,SA,South Andros,,,
BS,The Bahamas,Americas,Caribbean,SE,South Eleuthera,,,
BS,The Bahamas,Americas,Caribbean,SW,Spanish Wells,Spanish Wells,25.54717,-76.76405
BS,The Bahamas,Americas,Caribbean,WG,West Grand Bahama,West End,26.68711,-78.97702
