country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Airdrie,51.30011,-114.03528
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Athabasca,54.71687,-113.28537
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Banff,51.17622,-115.56982
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Barrhead,54.13345,-114.40211
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Bassano,50.78342,-112.46854
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Beaumont,53.35013,-113.41871
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Beaverlodge,55.21664,-119.43605
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Black Diamond,50.70011,-114.2353
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Blackfalds,52.38342,-113.7853
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Bon Accord,53.83345,-113.41872
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Bonnyville,54.26684,-110.73505
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Bow Island,49.86676,-111.36843
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Brooks,50.58341,-111.88509
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Calgary,51.05011,-114.08529
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Calmar,53.26683,-113.81874
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Camrose,53.01684,-112.83525
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Canmore,51.08335,-115.35206
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Cardston,49.19998,-113.3019
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Carstairs,51.56681,-114.102
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Chestermere,51.03341,-113.81867
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Claresholm,50.03332,-113.58524
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Coaldale,49.7167,-112.61854
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Coalhurst,49.7464,-112.93246
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Cochrane,51.18341,-114.46871
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Cold Lake,54.46525,-110.18154
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Crossfield,51.43341,-114.03528
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Devon,53.36683,-113.73533
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Diamond Valley,50.672,-114.233
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Didsbury,51.66681,-114.13529
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Drayton Valley,53.21682,-114.98544
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Edmonton,53.55014,-113.46871
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Edson,53.58345,-116.43559
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Elk Point,53.90017,-110.9017
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Fairview,56.06675,-118.38606
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Falher,55.73339,-117.20262
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Fort Macleod,49.71671,-113.41857
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Fort McMurray,56.72676,-111.38103
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Fort Saskatchewan,53.71684,-113.2187
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Fox Creek,54.40007,-116.80238
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Gibbons,53.83345,-113.33531
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Grand Centre,54.41628,-110.21304
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Grande Cache,53.88335,-119.13585
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Grande Prairie,55.16667,-118.80271
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Grimshaw,56.18339,-117.6027
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Hanna,51.63343,-111.90181
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Heritage Pointe,50.84213,-114.00493
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,High Level,58.51688,-117.13605
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,High Prairie,55.4334,-116.4858
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,High River,50.58341,-113.86867
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Hinton,53.40009,-117.58567
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Irricana,51.32372,-113.60475
CA,Canada,Canadá,Americas,América,Northern America,Norteamérica,AB,Alberta,province,provincia,Jasper Park Lodge,52.88633,-118.05625
