country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
CH,Switzerland,Europe,Western Europe,AG,Aargau,Aarau,47.39254,8.04422
CH,Switzerland,Europe,Western Europe,AG,Aargau,Aarburg,47.32067,7.89986
CH,Switzerland,Europe,Western Europe,AG,Aargau,Aristau,47.28692,8.36356
CH,Switzerland,Europe,Western Europe,AG,Aargau,Auw,47.21082,8.36583
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bad Zurzach,47.58764,8.29365
CH,Switzerland,Europe,Western Europe,AG,Aargau,Baden,47.47333,8.30592
CH,Switzerland,Europe,Western Europe,AG,Aargau,Berikon,47.35155,8.37232
CH,Switzerland,Europe,Western Europe,AG,Aargau,Besenbüren,47.31439,8.34586
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Aarau,47.37706,8.05235
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Baden,47.4566,8.30059
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Bremgarten,47.34927,8.33343
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Brugg,47.47776,8.17798
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Kulm,47.28757,8.13302
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Laufenburg,47.51844,8.03878
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Lenzburg,47.37184,8.1891
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Muri,47.25233,8.35362
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Rheinfelden,47.54048,7.83331
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Zofingen,47.28864,7.95697
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bezirk Zurzach,47.56182,8.2802
CH,Switzerland,Europe,Western Europe,AG,Aargau,Birmenstorf,47.46152,8.24816
CH,Switzerland,Europe,Western Europe,AG,Aargau,Birr,47.43432,8.20891
CH,Switzerland,Europe,Western Europe,AG,Aargau,Boniswil,47.31725,8.18963
CH,Switzerland,Europe,Western Europe,AG,Aargau,Bremgarten,47.35109,8.34214
CH,Switzerland,Europe,Western Europe,AG,Aargau,Brittnau,47.25954,7.94689
CH,Switzerland,Europe,Western Europe,AG,Aargau,Brugg,47.48096,8.20869
CH,Switzerland,Europe,Western Europe,AG,Aargau,Buchs,47.39358,8.08233
CH,Switzerland,Europe,Western Europe,AG,Aargau,Buttwil,47.26828,8.31064
CH,Switzerland,Europe,Western Europe,AG,Aargau,Densbüren,47.4526,8.0533
CH,Switzerland,Europe,Western Europe,AG,Aargau,Dottikon,47.38437,8.23981
CH,Switzerland,Europe,Western Europe,AG,Aargau,Dürrenäsch,47.32094,8.15874
CH,Switzerland,Europe,Western Europe,AG,Aargau,Egliswil,47.34922,8.18553
CH,Switzerland,Europe,Western Europe,AG,Aargau,Ehrendingen,47.5025,8.34729
CH,Switzerland,Europe,Western Europe,AG,Aargau,Eiken,47.53361,7.98801
CH,Switzerland,Europe,Western Europe,AG,Aargau,Endingen,47.53742,8.29036
CH,Switzerland,Europe,Western Europe,AG,Aargau,Frick,47.51169,8.02471
CH,Switzerland,Europe,Western Europe,AG,Aargau,Gebenstorf,47.48136,8.23949
CH,Switzerland,Europe,Western Europe,AG,Aargau,Gipf-Oberfrick,47.49875,8.00497
CH,Switzerland,Europe,Western Europe,AG,Aargau,Gontenschwil,47.27166,8.14396
CH,Switzerland,Europe,Western Europe,AG,Aargau,Gränichen,47.3593,8.10243
CH,Switzerland,Europe,Western Europe,AG,Aargau,Hägglingen,47.38851,8.25285
CH,Switzerland,Europe,Western Europe,AG,Aargau,Hausen,47.46396,8.20988
CH,Switzerland,Europe,Western Europe,AG,Aargau,Jonen,47.2975,8.39282
CH,Switzerland,Europe,Western Europe,AG,Aargau,Kaiseraugst,47.53966,7.72605
CH,Switzerland,Europe,Western Europe,AG,Aargau,Kaisten,47.5416,8.04337
CH,Switzerland,Europe,Western Europe,AG,Aargau,Killwangen,47.43223,8.35097
CH,Switzerland,Europe,Western Europe,AG,Aargau,Klingnau,47.58361,8.2488
CH,Switzerland,Europe,Western Europe,AG,Aargau,Koblenz,47.60972,8.2375
CH,Switzerland,Europe,Western Europe,AG,Aargau,Kölliken,47.33337,8.02237
CH,Switzerland,Europe,Western Europe,AG,Aargau,Künten,47.38887,8.33045
CH,Switzerland,Europe,Western Europe,AG,Aargau,Küttigen,47.41484,8.04979
CH,Switzerland,Europe,Western Europe,AG,Aargau,Laufenburg,47.55985,8.06225
CH,Switzerland,Europe,Western Europe,AG,Aargau,Lauffohr (Brugg),47.50154,8.23122
CH,Switzerland,Europe,Western Europe,AG,Aargau,Leibstadt,47.5879,8.17611
CH,Switzerland,Europe,Western Europe,AG,Aargau,Lenzburg,47.38853,8.17503
CH,Switzerland,Europe,Western Europe,AG,Aargau,Magden,47.52868,7.81128
CH,Switzerland,Europe,Western Europe,AG,Aargau,Meisterschwanden,47.29489,8.22867
CH,Switzerland,Europe,Western Europe,AG,Aargau,Mellingen,47.41903,8.27331
CH,Switzerland,Europe,Western Europe,AG,Aargau,Menziken,47.23965,8.18996
CH,Switzerland,Europe,Western Europe,AG,Aargau,Merenschwand,47.25944,8.37633
CH,Switzerland,Europe,Western Europe,AG,Aargau,Möhlin,47.55915,7.84329
CH,Switzerland,Europe,Western Europe,AG,Aargau,Muhen,47.33578,8.05536
CH,Switzerland,Europe,Western Europe,AG,Aargau,Mumpf,47.54563,7.92123
CH,Switzerland,Europe,Western Europe,AG,Aargau,Murgenthal,47.27145,7.83935
CH,Switzerland,Europe,Western Europe,AG,Aargau,Muri,47.27428,8.33854
CH,Switzerland,Europe,Western Europe,AG,Aargau,Neuenhof,47.44985,8.32682
CH,Switzerland,Europe,Western Europe,AG,Aargau,Niederlenz,47.40079,8.1764
CH,Switzerland,Europe,Western Europe,AG,Aargau,Niederrohrdorf,47.42409,8.30404
CH,Switzerland,Europe,Western Europe,AG,Aargau,Oberentfelden,47.35639,8.04594
