country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,AB,Abidjan,autonomous district,distrito autónomo,Abidjan,5.30966,-4.01266
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,AB,Abidjan,autonomous district,distrito autónomo,Abobo,5.41613,-4.0159
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,AB,Abidjan,autonomous district,distrito autónomo,Anyama,5.49462,-4.05183
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,AB,Abidjan,autonomous district,distrito autónomo,Bingerville,5.35581,-3.88537
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,BS,Bas-Sassandra,district,distrito,Gbôklé,4.95712,-6.09372
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,BS,Bas-Sassandra,district,distrito,Nawa,5.80112,-6.60313
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,BS,Bas-Sassandra,district,distrito,San-Pédro,4.76768,-6.65033
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,BS,Bas-Sassandra,district,distrito,Sassandra,4.95384,-6.08531
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,BS,Bas-Sassandra,district,distrito,Tabou,4.42295,-7.3528
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Abengourou,6.72972,-3.49639
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Aboisso,5.46779,-3.20711
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Adiaké,5.28634,-3.30403
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Agnibilékrou,7.13113,-3.20415
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Ayamé,5.6052,-3.15709
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Bonoua,5.27247,-3.59625
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Grand-Bassam,5.2118,-3.73884
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Indénié-Djuablin,6.74434,-3.494
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,CM,Comoé,district,distrito,Sud-Comoé,5.49961,-3.2408
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,DN,Denguélé,district,distrito,Folon,9.81241,-7.51894
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,DN,Denguélé,district,distrito,Kabadougou,9.60571,-7.43774
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,DN,Denguélé,district,distrito,Odienné,9.50511,-7.56433
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,GD,Gôh-Djiboua,district,distrito,Divo,5.83739,-5.35723
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,GD,Gôh-Djiboua,district,distrito,Gagnoa,6.13193,-5.9506
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,GD,Gôh-Djiboua,district,distrito,Gôh,6.14459,-5.92644
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,GD,Gôh-Djiboua,district,distrito,Guibéroua,6.23869,-6.17147
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,GD,Gôh-Djiboua,district,distrito,Lakota,5.84752,-5.682
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,GD,Gôh-Djiboua,district,distrito,Lôh-Djiboua,5.82483,-5.47668
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,GD,Gôh-Djiboua,district,distrito,Oumé,6.38309,-5.41759
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,LC,Lacs,district,distrito,Arrah,6.67342,-3.96938
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,LC,Lacs,district,distrito,Bélier,7.02582,-5.06744
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,LC,Lacs,district,distrito,Bocanda,7.06264,-4.49948
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,LC,Lacs,district,distrito,Bongouanou,6.65175,-4.20406
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,LC,Lacs,district,distrito,Daoukro,7.0591,-3.9631
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,LC,Lacs,district,distrito,Dimbokro,6.64678,-4.70519
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,LC,Lacs,district,distrito,Iffou,7.11509,-3.95027
CI,Ivory Coast,Costa de Marfil,Africa,África,Western Africa,África Occidental,LC,Lacs,district,distrito,Moronou,6.6683,-4.13155
