country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Bankim,6.08303,11.4905
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Banyo,6.75,11.81667
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Bélel,7.05,14.43333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Djohong,6.83333,14.7
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Kontcha,7.96667,12.23333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Mayo-Banyo,6.58138,11.73522
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Meïganga,6.51667,14.3
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Ngaoundéré,7.32765,13.58472
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Somié,6.45843,11.43299
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Tibati,6.46504,12.62843
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Tignère,7.36667,12.65
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,AD,Adamawa,region,región,Vina,7.16365,13.72711
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Akono,3.5,11.33333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Akonolinga,3.76667,12.25
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Bafia,4.75,11.23333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Eséka,3.65,10.76667
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Essé,4.1,11.9
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Évodoula,4.08333,11.2
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Mbalmayo,3.51667,11.5
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Mbam-Et-Inoubou,4.73754,10.96972
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Mbandjok,4.45,11.9
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Mbankomo,3.78333,11.38333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Mefou-et-Akono,3.58706,11.36089
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Mfoundi,3.8667,11.5167
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Minta,4.58333,12.8
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Nanga Eboko,4.68333,12.36667
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Ndikiniméki,4.76667,10.83333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Ngomedzap,3.25,11.2
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Ngoro,4.95,11.38333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Nkoteng,4.51667,12.03333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Ntui,4.45,11.63333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Obala,4.16667,11.53333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Okoa,3.98333,11.6
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Okola,4.01667,11.38333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Ombésa,4.6,11.25
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Saa,4.36667,11.45
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Yaoundé,3.86667,11.51667
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,CE,Centre,region,región,Yoko,5.53333,12.31667
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Abong Mbang,3.98333,13.18333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Batouri,4.43333,14.36667
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Bélabo,4.93333,13.3
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Bertoua,4.57728,13.68459
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Bétaré Oya,5.6,14.08333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Dimako,4.38333,13.56667
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Doumé,4.23333,13.45
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Garoua Boulaï,5.88333,14.55
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Mbang,4.58333,13.33333
CM,Cameroon,Camerún,Africa,África,Middle Africa,África Central,ES,East,region,región,Ndelele,4.04065,14.92501
