country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Alajuela,10.01625,-84.21163
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Atenas,9.98333,-84.38333
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Bijagua,10.73279,-85.05676
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Carrillos,10.02918,-84.27403
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Desamparados,9.94727,-84.50626
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Esquipulas,10.05676,-84.42337
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Grecia,10.06892,-84.31458
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Guatuso,10.66667,-84.83333
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,La Fortuna,10.47089,-84.64535
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Los Chiles,10.86667,-84.66667
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Naranjo,10.11667,-84.4
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Orotina,9.9,-84.56667
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Palmares,10.03333,-84.43333
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Pital,10.45056,-84.27406
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Poás,10.08333,-84.23333
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Pocosol,10.36667,-84.61667
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Quesada,10.32381,-84.42714
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Río Segundo,10.24138,-84.27933
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,Sabanilla,10.07404,-84.21551
CR,Costa Rica,Costa Rica,Americas,América,Central America,Centroamérica,A,Alajuela,province,provincia,San Carlos,10.58333,-84.41667
