country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
CV,Cape Verde,Africa,Western Africa,B,Barlavento Islands,,,
CV,Cape Verde,Africa,Western Africa,BV,Boa Vista,Sal Rei,16.17611,-22.91722
CV,Cape Verde,Africa,Western Africa,BR,Brava,Nova Sintra,14.87139,-24.69556
CV,Cape Verde,Africa,Western Africa,MA,Maio,Vila do Maio,15.13823,-23.21158
CV,Cape Verde,Africa,Western Africa,MO,Mosteiros,Igreja,15.03389,-24.325
CV,Cape Verde,Africa,Western Africa,PA,Paul,Pombas,17.15026,-25.02007
CV,Cape Verde,Africa,Western Africa,PN,Porto Novo,Porto Novo,17.01969,-25.06471
CV,Cape Verde,Africa,Western Africa,PR,Praia,Praia,14.93152,-23.51254
CV,Cape Verde,Africa,Western Africa,RB,Ribeira Brava,Ribeira Brava,16.61583,-24.29833
CV,Cape Verde,Africa,Western Africa,RG,Ribeira Grande,Ponta do Sol,17.20171,-25.09217
CV,Cape Verde,Africa,Western Africa,RG,Ribeira Grande,Ribeira Grande,17.1825,-25.065
CV,Cape Verde,Africa,Western Africa,RS,Ribeira Grande de Santiago,Cidade Velha,14.91531,-23.60527
CV,Cape Verde,Africa,Western Africa,SL,Sal,Espargos,16.75524,-22.9446
CV,Cape Verde,Africa,Western Africa,SL,Sal,Santa Maria,16.59796,-22.90509
CV,Cape Verde,Africa,Western Africa,CA,Santa Catarina,Assomada,15.1,-23.68333
CV,Cape Verde,Africa,Western Africa,CF,Santa Catarina do Fogo,Cova Figueira,14.89054,-24.29343
CV,Cape Verde,Africa,Western Africa,CR,Santa Cruz,Pedra Badejo,15.1375,-23.53083
CV,Cape Verde,Africa,Western Africa,CR,Santa Cruz,Santa Cruz,15.13333,-23.56667
CV,Cape Verde,Africa,Western Africa,SD,São Domingos,São Domingos,15.02438,-23.5625
CV,Cape Verde,Africa,Western Africa,SF,São Filipe,São Filipe,14.8961,-24.49556
CV,Cape Verde,Africa,Western Africa,SO,São Lourenço dos Órgãos,João Teves,15.06694,-23.58917
CV,Cape Verde,Africa,Western Africa,SM,São Miguel,Calheta,15.18613,-23.59228
CV,Cape Verde,Africa,Western Africa,SS,São Salvador do Mundo,Achada Leitão,15.08,-23.64
CV,Cape Verde,Africa,Western Africa,SS,São Salvador do Mundo,Leitão Grande,15.075,-23.645
CV,Cape Verde,Africa,Western Africa,SS,São Salvador do Mundo,Picos,15.083,-23.632
CV,Cape Verde,Africa,Western Africa,SS,São Salvador do Mundo,Picos Acima,15.09,-23.63
CV,Cape Verde,Africa,Western Africa,SV,São Vicente,Mindelo,16.89014,-24.98042
CV,Cape Verde,Africa,Western Africa,S,Sotavento Islands,,,
CV,Cape Verde,Africa,Western Africa,TA,Tarrafal,Tarrafal,15.27881,-23.75192
CV,Cape Verde,Africa,Western Africa,TS,Tarrafal de São Nicolau,Tarrafal de São Nicolau,16.56622,-24.35793
