country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,A Coruña,43.3637626,-8.4103923
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Abegondo,43.21667,-8.28333
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Amés,42.90426,-8.65551
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Aranga,43.23469,-8.01705
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Ares,43.42995,-8.24254
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Arteixo,43.30482,-8.50749
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Arzúa,42.93333,-8.15
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,As Pontes de García Rodríguez,43.45266,-7.85178
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Baña A,42.9616458,-8.7584568
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Bergondo,43.31667,-8.23333
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Betanzos,43.28042,-8.21467
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Boimorto,43,-8.13333
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Boiro,42.64725,-8.88459
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Boqueixón,42.8117839,-8.414741
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Brión,42.8668459,-8.6783689
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cabana de Bergantiños,43.1860734,-8.8914256
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cabanas,43.4397134,-8.1283942
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Camariñas,43.13115,-9.18172
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cambre,43.29438,-8.34736
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Capela A,43.4518469,-8.0247005
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Carballo,43.213,-8.69104
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cariño,43.74134,-7.86715
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Carnota,42.8233,-9.08913
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Carral,43.2286,-8.35545
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cedeira,43.66044,-8.05719
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cee,42.95466,-9.188
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cerceda,43.1896948,-8.4722358
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cerdido,43.62063,-7.99959
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Cesuras,43.17282,-8.20061
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Coirós,43.25,-8.16667
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Corcubión,42.94414,-9.1926
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Coristanco,43.2,-8.75
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Culleredo,43.28788,-8.38858
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Curtis,43.12374,-8.14818
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Dodro,42.7168491,-8.7150831
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Dumbría,43.00836,-9.11328
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Fene,43.45,-8.15
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Ferrol,43.48961,-8.2194
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Fisterra,42.90492,-9.26289
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Frades,43.0486764,-8.2869478
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Irixoa,43.2847,-8.05916
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Laracha A,43.24827,-8.5844049
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Laxe,43.2212167,-9.0063506
ES,Spain,España,Europe,Europa,Southern Europe,Europa del Sur,C,A Coruña,province,provincia,Lousame,42.76477,-8.84926
