country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AA,Addis Ababa,administration,administración,Addis Ababa,9.02497,38.74689
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AF,Afar,region,región,Administrative Zone 2,13.68513,40.05615
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AF,Afar,region,región,Administrative Zone 3,10.00902,40.47394
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AF,Afar,region,región,Asaita,11.56838,41.43869
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AF,Afar,region,región,Āwash,8.98333,40.16667
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AF,Afar,region,región,Dubti,11.73292,41.082
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AF,Afar,region,región,Gewanē,10.16658,40.64689
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AF,Afar,region,región,Semera,11.79342,41.00578
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Abomsa,9.98333,39.98333
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Addiet Canna,11.26667,37.48333
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Ādīs Zemen,12.11667,37.78333
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Bahir Dar,11.59364,37.39077
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Batī,11.19152,40.01675
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Bichena,10.45,38.2
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Burē,10.7,37.06667
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Dabat,12.98417,37.765
ET,Ethiopia,Etiopía,Africa,África,Eastern Africa,África Oriental,AM,Amhara,region,región,Debark’,13.15611,37.89806
