country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,01,Ba,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,02,Bua,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,03,Cakaudrove,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,C,Central,division,división,Naitasiri,-17.83333,178.25
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,C,Central,division,división,Namosi,-18.05,178.13333
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,C,Central,division,división,Rewa,-18.08333,178.33333
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,C,Central,division,división,Serua,-18.16667,178
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,C,Central,division,división,Suva,-18.14161,178.44149
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,C,Central,division,división,Tailevu,-17.83333,178.5
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,E,Eastern,division,división,Kadavu,-18.99331,178.22021
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,E,Eastern,division,división,Lau,-18.20488,-178.79251
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,E,Eastern,division,división,Levuka,-18.06667,179.31667
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,E,Eastern,division,división,Lomaiviti,-17.66667,178.8
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,04,Kadavu,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,05,Lau,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,06,Lomaiviti,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,07,Macuata,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,08,Nadroga-Navosa,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,09,Naitasiri,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,10,Namosi,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,N,Northern,division,división,Bua,-16.83333,178.75
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,N,Northern,division,división,Cakaudrove,-16.66667,179.41667
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,N,Northern,division,división,Labasa,-16.4332,179.36451
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,N,Northern,division,división,Macuata,-16.5,179.25
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,11,Ra,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,12,Rewa,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,R,Rotuma,dependency,dependencia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,13,Serua,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,14,Tailevu,province,provincia,,,
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,W,Western,division,división,Ba,-17.5343,177.67407
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,W,Western,division,división,Ba Province,-17.66667,177.66667
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,W,Western,division,división,Lautoka,-17.61686,177.45049
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,W,Western,division,división,Nadi,-17.80309,177.41617
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,W,Western,division,división,Nandronga and Navosa,-18,177.66667
FJ,Fiji Islands,Fiyi,Oceania,Oceanía,Melanesia,Melanesia,W,Western,division,división,Ra,-17.5,178.16667
