country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
GH,Ghana,Africa,Western Africa,AF,Ahafo,Asunafo North,6.8196891,-2.807705
GH,Ghana,Africa,Western Africa,AF,Ahafo,Asunafo South,6.6821,-2.4399753
GH,Ghana,Africa,Western Africa,AF,Ahafo,Asutifi North,6.9477486,-2.7675716
GH,Ghana,Africa,Western Africa,AF,Ahafo,Asutifi South,6.9321581,-2.3552189
GH,Ghana,Africa,Western Africa,AF,Ahafo,Tano North,7.2260301,-2.3045656
GH,Ghana,Africa,Western Africa,AF,Ahafo,Tano South,7.1953793,-2.1258661
GH,Ghana,Africa,Western Africa,AH,Ashanti,Agogo,6.80004,-1.08193
GH,Ghana,Africa,Western Africa,AH,Ashanti,Bekwai,6.45195,-1.57866
GH,Ghana,Africa,Western Africa,AH,Ashanti,Ejura,7.38558,-1.35617
GH,Ghana,Africa,Western Africa,AH,Ashanti,Konongo,6.61667,-1.21667
GH,Ghana,Africa,Western Africa,AH,Ashanti,Kumasi,6.68848,-1.62443
GH,Ghana,Africa,Western Africa,AH,Ashanti,Mampong,7.06273,-1.4001
GH,Ghana,Africa,Western Africa,AH,Ashanti,Obuase,6.20228,-1.66796
GH,Ghana,Africa,Western Africa,AH,Ashanti,Tafo,6.73156,-1.6137
GH,Ghana,Africa,Western Africa,BO,Bono,Banda,8.1495671,-2.366395
GH,Ghana,Africa,Western Africa,BO,Bono,Berekum East,7.4384619,-2.6029578
GH,Ghana,Africa,Western Africa,BO,Bono,Berekum West,7.4393416,-2.6549705
GH,Ghana,Africa,Western Africa,BO,Bono,Dormaa Central,7.2775,-2.878333
GH,Ghana,Africa,Western Africa,BO,Bono,Dormaa East,7.3,-2.7
GH,Ghana,Africa,Western Africa,BO,Bono,Dormaa West,7.016667,-3.05
GH,Ghana,Africa,Western Africa,BO,Bono,Jaman North,7.9883234,-2.9685869
GH,Ghana,Africa,Western Africa,BO,Bono,Jaman South,7.7084375,-3.075017
GH,Ghana,Africa,Western Africa,BO,Bono,Sunyani,7.3380332,-2.3487146
GH,Ghana,Africa,Western Africa,BO,Bono,Sunyani West,7.3566052,-2.4461862
GH,Ghana,Africa,Western Africa,BO,Bono,Tain,8.1811411,-2.8648762
GH,Ghana,Africa,Western Africa,BO,Bono,Wenchi,7.7405992,-2.1226788
GH,Ghana,Africa,Western Africa,BE,Bono East,Atebubu-Amantin,7.70237,-1.2197943
GH,Ghana,Africa,Western Africa,BE,Bono East,Kintampo North,8.3963579,-1.8200007
GH,Ghana,Africa,Western Africa,BE,Bono East,Kintampo South,7.9897132,-2.0071115
GH,Ghana,Africa,Western Africa,BE,Bono East,Nkoranza North,7.5660331,-1.723652
GH,Ghana,Africa,Western Africa,BE,Bono East,Nkoranza South,7.6240512,-1.7997446
GH,Ghana,Africa,Western Africa,BE,Bono East,Pru East,8.2262,-0.6536
GH,Ghana,Africa,Western Africa,BE,Bono East,Pru West,8.0735993,-1.2905541
GH,Ghana,Africa,Western Africa,BE,Bono East,Sene East,7.783,-0.217
GH,Ghana,Africa,Western Africa,BE,Bono East,Sene West,7.7342,-0.6818
GH,Ghana,Africa,Western Africa,BE,Bono East,Techiman,7.5896856,-1.9512214
GH,Ghana,Africa,Western Africa,BE,Bono East,Techiman North,7.7042802,-2.0814057
GH,Ghana,Africa,Western Africa,CP,Central,Apam,5.28483,-0.73711
GH,Ghana,Africa,Western Africa,CP,Central,Cape Coast,5.10535,-1.2466
GH,Ghana,Africa,Western Africa,CP,Central,Dunkwa,5.95996,-1.77792
GH,Ghana,Africa,Western Africa,CP,Central,Elmina,5.0847,-1.35093
GH,Ghana,Africa,Western Africa,CP,Central,Foso,5.70119,-1.28657
GH,Ghana,Africa,Western Africa,CP,Central,Kasoa,5.53449,-0.41679
GH,Ghana,Africa,Western Africa,CP,Central,Mumford,5.26176,-0.75897
GH,Ghana,Africa,Western Africa,CP,Central,Saltpond,5.20913,-1.06058
GH,Ghana,Africa,Western Africa,CP,Central,Swedru,5.53711,-0.69984
GH,Ghana,Africa,Western Africa,CP,Central,Winneba,5.35113,-0.62313
