country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,B,Banjul,city,ciudad,Bakau,13.47806,-16.68194
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,B,Banjul,city,ciudad,Banjul,13.45274,-16.57803
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,B,Banjul,city,ciudad,Kombo Saint Mary,13.44389,-16.64583
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,B,Banjul,city,ciudad,Serekunda,13.43833,-16.67806
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Bansang,13.43333,-14.65
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Brikama Nding,13.53333,-14.93333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Dankunku,13.56667,-15.31667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Denton,13.5,-14.93333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Fulladu West,13.5,-14.75
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Galleh Manda,13.43333,-14.78333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Georgetown,13.54039,-14.76374
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Jakhaly,13.55,-14.96667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Janjanbureh,13.53564,-14.76515
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Jarreng,13.61667,-15.18333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Karantaba,13.66667,-15.03333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Kass Wollof,13.78333,-14.93333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Kuntaur,13.67085,-14.88977
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Kunting,13.53333,-14.66667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Lower Saloum,13.71667,-15.36667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Niamina East,13.63333,-15.08333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Niamina West,13.58333,-15.25
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Niani,13.66667,-14.91667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Nianija,13.729,-15.091
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Pateh Sam,13.61667,-15.06667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Sami,13.58333,-15.2
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Sami District,13.58333,-14.58333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Saruja,13.55,-14.91667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Sukuta,13.61667,-14.91667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Upper Saloum,13.75,-15.2
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,M,Central River,division,división,Wassu,13.69094,-14.87884
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Baro Kunda,13.48333,-15.26667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Bureng,13.41667,-15.28333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Jali,13.35,-15.96667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Jarra Central,13.41667,-15.41667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Jarra East,13.41667,-15.25
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Jarra West,13.41667,-15.53333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Jenoi,13.48333,-15.56667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Jifarong,13.3,-15.86667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Kaiaf,13.4,-15.61667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Karantaba,13.43333,-15.51667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Keneba,13.32889,-16.015
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Kiang Central,13.4,-15.75
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Kiang East,13.41667,-15.63333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Kiang West,13.33333,-16
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Mansa Konko,13.44325,-15.5357
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Nioro,13.35,-15.75
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Sankwia,13.46667,-15.51667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Si Kunda,13.43333,-15.56667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Soma,13.43333,-15.53333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Sutukung,13.46667,-15.26667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Toniataba,13.43333,-15.58333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,L,Lower River,division,división,Wellingara Ba,13.41667,-15.4
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Bambali,13.48333,-15.33333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Barra,13.48278,-16.54556
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Central Baddibu,13.53333,-15.91667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Chilla,13.55,-16.28333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Daru Rilwan,13.55,-15.98333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Essau,13.48389,-16.53472
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Farafenni,13.56667,-15.6
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Gunjur,13.52278,-16.02778
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Jokadu,13.53333,-16.18333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Katchang,13.5,-15.75
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Kerewan,13.4898,-16.08879
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Lamin,13.35222,-16.43389
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Lower Baddibu,13.5,-16.05
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Lower Niumi,13.53333,-16.41667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,No Kunda,13.56667,-15.83333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Saba,13.51639,-16.04917
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Sara Kunda,13.53333,-15.41667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Upper Baddibu,13.55,-15.66667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,N,North Bank,division,división,Upper Niumi,13.4,-16.33333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Bakadagy,13.3,-14.38333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Basse Santa Su,13.30995,-14.21373
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Brifu,13.5,-13.93333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Daba Kunda,13.31667,-14.3
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Demba Kunda,13.25,-14.26667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Diabugu,13.38333,-14.4
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Diabugu Basilla,13.33333,-13.95
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Fulladu East,13.33333,-14.25
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Gunjur Kuta,13.53333,-14.11667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Kantora,13.41667,-13.91667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Koina,13.48333,-13.86667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Kumbija,13.26667,-14.18333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Nyamanari,13.33333,-13.86667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Perai,13.38333,-14.03333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Sabi,13.23333,-14.2
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Sandu,13.41667,-14.36667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Sudowol,13.36667,-13.96667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Sun Kunda,13.38333,-13.85
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Sutukoba,13.5,-14.01667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,U,Upper River,division,división,Wuli,13.5,-14.08333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Abuko,13.40417,-16.65583
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Brikama,13.27136,-16.64944
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Foni Bondali,13.21667,-15.93333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Foni Brefet,13.21667,-16.33333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Foni Jarrol,13.23333,-15.83333
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Foni Kansala,13.21667,-16.05
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Gunjur,13.20194,-16.73389
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Kombo Central,13.25,-16.66667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Kombo East,13.21667,-16.51667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Kombo North,13.36667,-16.66667
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Kombo South,13.25,-16.75
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Somita,13.20583,-16.30556
GM,The Gambia,Gambia,Africa,África,Western Africa,África Occidental,W,West Coast,division,división,Sukuta,13.41033,-16.70815
