country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,BA,Bafatá,region,región,Bafatá,12.16583,-14.66167
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,BA,Bafatá,region,región,Contuboel Sector,12.555,-14.641
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,BM,Biombo,region,región,Quinhámel,11.88694,-15.85556
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,BS,Bissau,autonomous sector,sector autónomo,Bissau,11.85,-15.56666667
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,BL,Bolama,region,región,Bolama,11.57694,-15.47611
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,BL,Bolama,region,región,Bubaque,11.28333,-15.83333
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,CA,Cacheu,region,región,Cacheu,12.27444,-16.16528
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,CA,Cacheu,region,región,Canchungo,12.06722,-16.03333
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,GA,Gabú,region,región,Gabú,12.28,-14.22222
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,L,Leste,province,provincia,,,
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,N,Norte,province,provincia,,,
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,OI,Oio,region,región,Bissorã,12.22306,-15.4475
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,OI,Oio,region,región,Farim,12.48389,-15.22167
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,OI,Oio,region,región,Mansôa,12.07333,-15.31889
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,QU,Quinara,region,región,Buba,11.58889,-14.99583
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,S,Sul,province,provincia,,,
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,TO,Tombali,region,región,Catió,11.2825,-15.25472
GW,Guinea-Bissau,Guinea-Bisáu,Africa,África,Western Africa,África Occidental,TO,Tombali,region,región,Quebo,11.33333,-14.93333
