country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
HK,Hong Kong S.A.R.,Asia,Eastern Asia,HCW,Central and Western,Admiralty,22.278,114.164
HK,Hong Kong S.A.R.,Asia,Eastern Asia,HCW,Central and Western,Central,22.281,114.159
HK,Hong Kong S.A.R.,Asia,Eastern Asia,HEA,Eastern,,,
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NIS,Islands,Tai O,22.247,113.869
HK,Hong Kong S.A.R.,Asia,Eastern Asia,KKC,Kowloon City,Kowloon Tong,22.337,114.179
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NKT,Kwai Tsing,,,
HK,Hong Kong S.A.R.,Asia,Eastern Asia,KKT,Kwun Tong,Kwun Tong,22.31,114.225
HK,Hong Kong S.A.R.,Asia,Eastern Asia,KKT,Kwun Tong,Lam Tin,22.307,114.235
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NNO,North,Sheung Shui,22.501,114.123
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NSK,Sai Kung,Sai Kung,22.384,114.273
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NSK,Sai Kung,Tseung Kwan O,22.319,114.263
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NST,Sha Tin,Ma On Shan,22.422,114.23
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NST,Sha Tin,Sha Tin,22.383,114.188
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NST,Sha Tin,Sha Tin Wai,22.38,114.191
HK,Hong Kong S.A.R.,Asia,Eastern Asia,KSS,Sham Shui Po,Cheung Sha Wan,22.336,114.151
HK,Hong Kong S.A.R.,Asia,Eastern Asia,KSS,Sham Shui Po,Lai Chi Kok,22.337,114.146
HK,Hong Kong S.A.R.,Asia,Eastern Asia,HSO,Southern,Aberdeen,22.247,114.152
HK,Hong Kong S.A.R.,Asia,Eastern Asia,HSO,Southern,Stanley,22.22,114.214
HK,Hong Kong S.A.R.,Asia,Eastern Asia,HSO,Southern,Stanley Peninsula,22.21,114.217
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NTP,Tai Po,Tai Mei Tuk,22.457,114.184
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NTP,Tai Po,Tai Po,22.449,114.16
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NTW,Tsuen Wan,Tsuen Wan,22.371,114.114
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NTW,Tsuen Wan,Tuen Mun,22.395,113.973
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NTM,Tuen Mun,,,
HK,Hong Kong S.A.R.,Asia,Eastern Asia,HWC,Wan Chai,Causeway Bay,22.28,114.185
HK,Hong Kong S.A.R.,Asia,Eastern Asia,HWC,Wan Chai,Wan Chai,22.278,114.182
HK,Hong Kong S.A.R.,Asia,Eastern Asia,KWT,Wong Tai Sin,Wong Tai Sin,22.341,114.193
HK,Hong Kong S.A.R.,Asia,Eastern Asia,KYT,Yau Tsim Mong,Mong Kok,22.319,114.169
HK,Hong Kong S.A.R.,Asia,Eastern Asia,KYT,Yau Tsim Mong,Tsim Sha Tsui,22.298,114.172
HK,Hong Kong S.A.R.,Asia,Eastern Asia,NYL,Yuen Long,Yuen Long,22.444,114.027
