country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Ágasegyháza,46.84025,19.45208
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Akasztó,46.69167,19.20423
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Apostag,46.88208,18.9621
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Bácsalmás,46.12648,19.3326
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Bácsalmási Járás,46.10167,19.33063
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Bácsbokod,46.125,19.15621
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Baja,46.18299,18.95307
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Bajai Járás,46.14507,19.01359
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Ballószög,46.86216,19.57092
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Bátya,46.488,18.95419
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Bugac,46.68704,19.68074
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Császártöltés,46.42194,19.18361
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Csávoly,46.18917,19.14667
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Csengőd,46.71543,19.26802
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Dávod,45.995,18.91722
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Dunapataj,46.644,18.99632
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Dunavecse,46.91478,18.97127
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Dusnok,46.39085,18.96296
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Érsekcsanád,46.25352,18.98457
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Felsőszentiván,46.19713,19.18686
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Fülöpjakab,46.74221,19.72132
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Fülöpszállás,46.82075,19.23748
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Gara,46.03194,19.04278
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Hajós,46.39861,19.12056
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Harta,46.69758,19.0311
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Helvécia,46.83661,19.62251
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Hercegszántó,45.95,18.93917
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Izsák,46.80454,19.35172
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Jánoshalma,46.29861,19.32583
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Jánoshalmai Járás,46.28283,19.31742
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Jászszentlászló,46.56685,19.76065
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kalocsa,46.52981,18.97283
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kalocsai Járás,46.55646,19.04211
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Katymár,46.03398,19.20935
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kecel,46.52528,19.25194
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kecskemét,46.90618,19.69128
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kecskeméti Járás,46.88283,19.58701
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kelebia,46.1968,19.61659
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kerekegyháza,46.93722,19.47806
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kiskőrös,46.62139,19.28528
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kiskőrösi Járás,46.63309,19.33726
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kiskunfélegyháza,46.71213,19.84458
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kiskunfélegyházi Járás,46.65721,19.77006
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kiskunhalas,46.43402,19.48479
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kiskunhalasi Járás,46.35832,19.53067
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kiskunmajsa,46.49028,19.74
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kiskunmajsai Járás,46.49608,19.72316
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kisszállás,46.28009,19.48954
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kunfehértó,46.36091,19.41454
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kunszentmiklós,47.02699,19.12575
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Kunszentmiklósi Járás,46.9481,19.15563
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Lajosmizse,47.02133,19.56171
HU,Hungary,Hungría,Europe,Europa,Eastern Europe,Europa Oriental,BK,Bács-Kiskun,county,condado,Lakitelek,46.87601,19.99504
