country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,01,Baringo,county,condado,Baringo,0.46667,35.96667
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,01,Baringo,county,condado,Eldama Ravine,0.05196,35.72734
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,01,Baringo,county,condado,Kabarnet,0.49194,35.74303
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,02,Bomet,county,condado,Sotik,-0.69069,35.11102
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,02,Bomet,county,condado,Sotik Post,-0.78129,35.34156
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,03,Bungoma,county,condado,Bungoma,0.5635,34.56055
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,03,Bungoma,county,condado,Malikisi,0.67694,34.42167
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,03,Bungoma,county,condado,Webuye,0.6004,34.77119
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,04,Busia,county,condado,Busia,0.46005,34.11169
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,04,Busia,county,condado,Luanda,0.31354,34.07146
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,04,Busia,county,condado,Lugulu,0.39337,34.30399
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,04,Busia,county,condado,Malaba,0.63513,34.28165
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,04,Busia,county,condado,Nambare,0.45813,34.25353
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,04,Busia,county,condado,Port Victoria,0.09809,33.97248
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Chebiemit,1.05,35.4
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Chepkorio,0.3833,35.45
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Chesoi,1.15,35.65
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Chesongoch,1.0833,35.65
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Flax,0.45,35.4
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Iten,0.6708,35.5083
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Kapcherop,1.2333,35.3833
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Kapsait,1.2167,35.3
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Kapsowar,1.015,35.5225
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Kaptalamwa,1.2,35.45
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Kaptarakwa,0.4333,35.5833
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Kapyego,1.2333,35.6667
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Kipmwarer,0.9167,35.5333
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Kocholwo,0.4167,35.5667
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,05,Elgeyo-Marakwet,county,condado,Tambach,0.7333,35.5833
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,06,Embu,county,condado,Embu,-0.53987,37.45743
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,07,Garissa,county,condado,Garissa,-0.45275,39.64601
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,08,Homa Bay,county,condado,Homa Bay,-0.52731,34.45714
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,08,Homa Bay,county,condado,Oyugis,-0.50974,34.73067
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,08,Homa Bay,county,condado,Rachuonyo,-0.44,34.739
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,09,Isiolo,county,condado,Isiolo,0.35462,37.58218
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,10,Kajiado,county,condado,Kajiado,-1.85238,36.77683
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,10,Kajiado,county,condado,Magadi,-1.90122,36.287
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,10,Kajiado,county,condado,Ngong,-1.3527,36.6699
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,11,Kakamega,county,condado,Butere,0.20694,34.49006
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,11,Kakamega,county,condado,Kakamega,0.28422,34.75229
KE,Kenya,Kenia,Africa,África,Eastern Africa,África Oriental,11,Kakamega,county,condado,Mumias,0.33474,34.48796
