country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,B,Batken,region,región,Aydarken,39.94319,71.34184
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,B,Batken,region,región,Batken,40.06259,70.81939
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,B,Batken,region,región,Iradan,40.26667,72.1
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,B,Batken,region,región,Isfana,39.83895,69.5276
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,B,Batken,region,región,Karavan,40.29513,72.18627
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,B,Batken,region,región,Kyzyl-Kyya,40.25684,72.12793
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,B,Batken,region,región,Suluktu,39.93652,69.56779
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,GB,Bishkek,city,ciudad,Bishkek,42.87,74.59
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Alamudunskiy Rayon,42.81985,74.59398
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Belovodskoye,42.82944,74.1083
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Chuyskiy Rayon,42.66667,75.33333
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Ivanovka,42.88778,75.085
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Kaindy,42.82469,73.67585
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Kant,42.89106,74.85077
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Kara-Balta,42.81423,73.84813
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Kemin,42.78611,75.69167
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Lebedinovka,42.88454,74.67819
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Sokulukskiy Rayon,42.83333,74.33333
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Sosnovka,42.63707,73.89608
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Tokmok,42.84194,75.30149
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,C,Chuy,region,región,Ysyk-Ata,42.72665,75.07444
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,Y,Issyk-Kul,region,región,Ak-Suu,42.49948,78.52702
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,Y,Issyk-Kul,region,región,Balykchy,42.46017,76.18709
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,Y,Issyk-Kul,region,región,Cholpon-Ata,42.64944,77.08225
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,Y,Issyk-Kul,region,región,Kadzhi-Say,42.14107,77.17848
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,Y,Issyk-Kul,region,región,Karakol,42.49068,78.39362
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,Y,Issyk-Kul,region,región,Kyzyl-Suu,42.34211,78.00644
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,Y,Issyk-Kul,region,región,Tyup,42.7276,78.36476
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Ala-Buka,41.40806,71.46306
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Bazar-Korgon,41.0376,72.74586
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Jalal-Abad,40.93333,73
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Kazarman,41.405,74.037
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Kerben,41.49399,71.75826
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Kochkor-Ata,41.03709,72.4832
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Suzak,40.8982,72.90481
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Tash-Kumyr,41.34612,72.21707
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Toktogul,41.87442,72.94192
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,J,Jalal-Abad,region,región,Toktogul District,41.75,73
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,N,Naryn,region,región,At-Bashi,41.16951,75.80099
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,N,Naryn,region,región,Jumgal,41.94924,74.40566
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,N,Naryn,region,región,Naryn,41.42866,75.99111
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,GO,Osh,city,ciudad,,,
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Chong-Alay,39.47614,72.33017
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Daroot-Korgon,39.55274,72.20518
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Kara Kulja,40.64095,73.49411
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Kara Suu,40.7046,72.86666
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Kyzyl-Eshme,39.56559,72.27153
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Nookat,40.26597,72.61834
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Osh,40.52828,72.7985
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Uzgen,40.76994,73.30068
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,O,Osh,region,región,Uzgen District,40.55,73.3
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,T,Talas,region,región,Kara-Buurinskiy Rayon,42.5,71.41667
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,T,Talas,region,región,Talas,42.52277,72.24274
KG,Kyrgyzstan,Kirguizistán,Asia,Asia,Central Asia,Asia Central,T,Talas,region,región,Talasskiy Rayon,42.18647,72.69408
