country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
KN,Saint Kitts and Nevis,Americas,Caribbean,01,Christ Church Nichola Town,Nicola Town,17.37956,-62.75318
KN,Saint Kitts and Nevis,Americas,Caribbean,N,Nevis,,,
KN,Saint Kitts and Nevis,Americas,Caribbean,02,Saint Anne Sandy Point,Sandy Point Town,17.35908,-62.84858
KN,Saint Kitts and Nevis,Americas,Caribbean,03,Saint George Basseterre,,,
KN,Saint Kitts and Nevis,Americas,Caribbean,04,Saint George Gingerland,Market Shop,17.13218,-62.57267
KN,Saint Kitts and Nevis,Americas,Caribbean,05,Saint James Windward,Newcastle,17.2,-62.58333
KN,Saint Kitts and Nevis,Americas,Caribbean,06,Saint John Capisterre,Dieppe Bay Town,17.41473,-62.8139
KN,Saint Kitts and Nevis,Americas,Caribbean,07,Saint John Figtree,Fig Tree,17.12623,-62.60265
KN,Saint Kitts and Nevis,Americas,Caribbean,K,Saint Kitts,,,
KN,Saint Kitts and Nevis,Americas,Caribbean,08,Saint Mary Cayon,Cayon,17.35,-62.73333
KN,Saint Kitts and Nevis,Americas,Caribbean,09,Saint Paul Capisterre,Saint Paul’s,17.40605,-62.83562
KN,Saint Kitts and Nevis,Americas,Caribbean,10,Saint Paul Charlestown,Charlestown,17.13333,-62.61667
KN,Saint Kitts and Nevis,Americas,Caribbean,11,Saint Peter Basseterre,Monkey Hill,17.32327,-62.72914
KN,Saint Kitts and Nevis,Americas,Caribbean,12,Saint Thomas Lowland,Cotton Ground,17.16667,-62.61667
KN,Saint Kitts and Nevis,Americas,Caribbean,13,Saint Thomas Middle Island,Middle Island,17.3259,-62.81055
KN,Saint Kitts and Nevis,Americas,Caribbean,15,Trinity Palmetto Point,Trinity,17.30037,-62.77584
