country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
LB,Lebanon,Asia,Western Asia,AK,Akkar,Caza de Aakkar,34.53333,36.16667
LB,Lebanon,Asia,Western Asia,BH,Baalbek-Hermel,Baalbek,34.00583,36.21806
LB,Lebanon,Asia,Western Asia,BH,Baalbek-Hermel,Caza de Baalbek,34.09822,36.27157
LB,Lebanon,Asia,Western Asia,BA,Beirut,Beirut,33.89332,35.50157
LB,Lebanon,Asia,Western Asia,BA,Beirut,Ra’s Bayrūt,33.9,35.48333
LB,Lebanon,Asia,Western Asia,BI,Beqaa,Aanjar,33.72778,35.93111
LB,Lebanon,Asia,Western Asia,BI,Beqaa,Zahlé,33.84675,35.90203
LB,Lebanon,Asia,Western Asia,JL,Mount Lebanon,Baabda,33.83389,35.54417
LB,Lebanon,Asia,Western Asia,JL,Mount Lebanon,Bhamdoun,33.795,35.65111
LB,Lebanon,Asia,Western Asia,JL,Mount Lebanon,Bhamdoûn el Mhatta,33.80861,35.65972
LB,Lebanon,Asia,Western Asia,JL,Mount Lebanon,Caza de Baabda,33.84592,35.66791
LB,Lebanon,Asia,Western Asia,JL,Mount Lebanon,Jbaïl,34.12111,35.64806
LB,Lebanon,Asia,Western Asia,JL,Mount Lebanon,Jounieh,33.98083,35.61778
LB,Lebanon,Asia,Western Asia,NA,Nabatieh,Ain Ebel,33.11023,35.40251
LB,Lebanon,Asia,Western Asia,NA,Nabatieh,Caza de Bent Jbaïl,33.15964,35.41137
LB,Lebanon,Asia,Western Asia,NA,Nabatieh,Caza de Nabatîyé,33.39435,35.44483
LB,Lebanon,Asia,Western Asia,NA,Nabatieh,Habboûch,33.40729,35.48169
LB,Lebanon,Asia,Western Asia,NA,Nabatieh,Marjayoûn,33.36028,35.59111
LB,Lebanon,Asia,Western Asia,NA,Nabatieh,Nabatîyé et Tahta,33.37889,35.48389
LB,Lebanon,Asia,Western Asia,AS,North,Batroûn,34.25528,35.65806
LB,Lebanon,Asia,Western Asia,AS,North,Bcharré,34.25083,36.01056
LB,Lebanon,Asia,Western Asia,AS,North,Tripoli,34.43352,35.84415
LB,Lebanon,Asia,Western Asia,JA,South,En Nâqoûra,33.11806,35.13972
LB,Lebanon,Asia,Western Asia,JA,South,Ghazieh,33.5175,35.36889
LB,Lebanon,Asia,Western Asia,JA,South,Sidon,33.55751,35.37148
LB,Lebanon,Asia,Western Asia,JA,South,Tyre,33.27333,35.19389
