country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
LR,Liberia,Africa,Western Africa,BM,Bomi,Tubmanburg,6.87064,-10.8211
LR,Liberia,Africa,Western Africa,BG,Bong,Gbarnga,6.99543,-9.47122
LR,Liberia,Africa,Western Africa,GP,Gbarpolu,Bopolu,7.06667,-10.4875
LR,Liberia,Africa,Western Africa,GB,Grand Bassa,Buchanan,5.87693,-10.04964
LR,Liberia,Africa,Western Africa,CM,Grand Cape Mount,Robertsport,6.75329,-11.3671
LR,Liberia,Africa,Western Africa,GG,Grand Gedeh,Zwedru,6.06846,-8.13559
LR,Liberia,Africa,Western Africa,GK,Grand Kru,Barclayville,4.67443,-8.23306
LR,Liberia,Africa,Western Africa,LO,Lofa,Voinjama,8.42194,-9.74778
LR,Liberia,Africa,Western Africa,MG,Margibi,Kakata,6.53104,-10.35368
LR,Liberia,Africa,Western Africa,MY,Maryland,Harper,4.3782,-7.71081
LR,Liberia,Africa,Western Africa,MO,Montserrado,Bensonville,6.44716,-10.61283
LR,Liberia,Africa,Western Africa,MO,Montserrado,Monrovia,6.30054,-10.7969
LR,Liberia,Africa,Western Africa,NI,Nimba,Ganta,7.30222,-8.53083
LR,Liberia,Africa,Western Africa,NI,Nimba,New Yekepa,7.57944,-8.53778
LR,Liberia,Africa,Western Africa,NI,Nimba,Sanniquellie,7.36215,-8.71326
LR,Liberia,Africa,Western Africa,RI,River Cess,Cestos City,5.45683,-9.58167
LR,Liberia,Africa,Western Africa,RG,River Gee,Fish Town,5.19739,-7.87579
LR,Liberia,Africa,Western Africa,SI,Sinoe,Greenville,5.01133,-9.0388
