country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Bascharage,49.56727,5.9073
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Bridel,49.65579,6.07999
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Capellen,49.645,5.99083
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Clemency,49.59667,5.87583
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Dippach,49.58701,5.9833
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Eischen,49.68556,5.87861
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Garnich,49.61667,5.9525
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Hautcharage,49.57499,5.9097
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Hobscheid,49.68861,5.91472
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Käerjeng,49.58311,5.89892
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Kehlen,49.66833,6.03583
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Koerich,49.67,5.95
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Kopstal,49.66444,6.07306
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Mamer,49.6275,6.02333
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Schouweiler,49.5825,5.95639
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Septfontaines,49.70111,5.96722
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CA,Capellen,canton,cantón,Steinfort,49.66139,5.91917
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CL,Clervaux,canton,cantón,Clervaux,50.05472,6.03139
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CL,Clervaux,canton,cantón,Hosingen,50.01218,6.09089
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CL,Clervaux,canton,cantón,Parc Hosingen,49.99744,6.09067
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CL,Clervaux,canton,cantón,Troisvierges,50.12111,6.00028
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CL,Clervaux,canton,cantón,Weiswampach,50.13722,6.075
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,CL,Clervaux,canton,cantón,Wincrange,50.05333,5.91917
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Bettendorf,49.87667,6.21806
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Bourscheid,49.90862,6.0675
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Commune de la Vallée de l’Ernz,49.82149,6.21746
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Diekirch,49.86778,6.15583
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Erpeldange,49.86472,6.11472
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Ettelbruck,49.8475,6.10417
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Feulen,49.85,6.01667
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Medernach,49.80955,6.21521
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Mertzig,49.83389,6.0075
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Niederfeulen,49.85556,6.04722
LU,Luxembourg,Luxemburgo,Europe,Europa,Western Europe,Europa Occidental,DI,Diekirch,canton,cantón,Reisdorf,49.86861,6.26778
