country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
LV,Latvia,Europe,Northern Europe,011,Ādaži,Carnikava,57.12935,24.28423
LV,Latvia,Europe,Northern Europe,002,Aizkraukle,Aizkraukle,56.60477,25.25534
LV,Latvia,Europe,Northern Europe,002,Aizkraukle,Jaunjelgava,56.61319,25.08316
LV,Latvia,Europe,Northern Europe,002,Aizkraukle,Koknese,56.65163,25.43637
LV,Latvia,Europe,Northern Europe,002,Aizkraukle,Nereta,56.20279,25.30752
LV,Latvia,Europe,Northern Europe,002,Aizkraukle,Pļaviņas,56.6178,25.72552
LV,Latvia,Europe,Northern Europe,002,Aizkraukle,Skrīveri,56.645,25.12058
LV,Latvia,Europe,Northern Europe,007,Alūksne,Alūksne,57.42162,27.04662
LV,Latvia,Europe,Northern Europe,111,Augšdaugava,Daugavpils,55.88333,26.53333
LV,Latvia,Europe,Northern Europe,111,Augšdaugava,Ilūkste,55.97754,26.29655
LV,Latvia,Europe,Northern Europe,015,Balvi,Baltinava,56.94394,27.64401
LV,Latvia,Europe,Northern Europe,015,Balvi,Balvi,57.1313,27.26583
LV,Latvia,Europe,Northern Europe,015,Balvi,Rugāji,57.00325,27.13371
LV,Latvia,Europe,Northern Europe,015,Balvi,Viļaka,57.18458,27.6722
LV,Latvia,Europe,Northern Europe,016,Bauska,Bauska,56.40794,24.19443
LV,Latvia,Europe,Northern Europe,016,Bauska,Iecava,56.59766,24.20763
LV,Latvia,Europe,Northern Europe,016,Bauska,Pilsrundāle,56.41812,24.01625
LV,Latvia,Europe,Northern Europe,016,Bauska,Vecumnieki,56.60608,24.52232
LV,Latvia,Europe,Northern Europe,022,Cēsis,Cēsis,57.31188,25.27456
LV,Latvia,Europe,Northern Europe,022,Cēsis,Līgatne,57.23429,25.04059
LV,Latvia,Europe,Northern Europe,022,Cēsis,Priekuļi,57.315,25.36147
LV,Latvia,Europe,Northern Europe,022,Cēsis,Stalbe,57.37065,25.03106
LV,Latvia,Europe,Northern Europe,022,Cēsis,Vecpiebalga,57.0609,25.81624
LV,Latvia,Europe,Northern Europe,DGV,Daugavpils,,,
LV,Latvia,Europe,Northern Europe,112,Dienvidkurzemes,Aizpute,56.72108,21.60156
LV,Latvia,Europe,Northern Europe,112,Dienvidkurzemes,Grobiņa,56.53521,21.16782
LV,Latvia,Europe,Northern Europe,112,Dienvidkurzemes,Lieģi,56.58173,21.33399
LV,Latvia,Europe,Northern Europe,112,Dienvidkurzemes,Nīca,56.34601,21.06401
LV,Latvia,Europe,Northern Europe,112,Dienvidkurzemes,Pāvilosta,56.88791,21.18593
LV,Latvia,Europe,Northern Europe,112,Dienvidkurzemes,Priekule,56.44679,21.58968
LV,Latvia,Europe,Northern Europe,112,Dienvidkurzemes,Rucava,56.16314,21.16156
LV,Latvia,Europe,Northern Europe,112,Dienvidkurzemes,Vaiņode,56.41848,21.85405
LV,Latvia,Europe,Northern Europe,026,Dobele,Auce,56.45981,22.90169
LV,Latvia,Europe,Northern Europe,026,Dobele,Dobele,56.62372,23.2751
LV,Latvia,Europe,Northern Europe,026,Dobele,Tērvete,56.47989,23.38895
LV,Latvia,Europe,Northern Europe,026,Dobele,Zelmeņi,56.45167,23.35194
LV,Latvia,Europe,Northern Europe,033,Gulbene,Gulbene,57.17767,26.75291
LV,Latvia,Europe,Northern Europe,042,Jēkabpils,Aknīste,56.16152,25.74783
LV,Latvia,Europe,Northern Europe,042,Jēkabpils,Jēkabpils,56.49903,25.85735
LV,Latvia,Europe,Northern Europe,042,Jēkabpils,Krustpils,56.51068,25.86117
LV,Latvia,Europe,Northern Europe,042,Jēkabpils,Viesīte,56.34751,25.55514
LV,Latvia,Europe,Northern Europe,041,Jelgava,Ozolnieki,56.68986,23.7761
LV,Latvia,Europe,Northern Europe,041,Jelgava,Tīreļi,56.83991,23.58902
LV,Latvia,Europe,Northern Europe,JEL,Jelgava,Jelgava,56.65,23.71278
LV,Latvia,Europe,Northern Europe,JUR,Jūrmala,Jūrmala,56.968,23.77038
LV,Latvia,Europe,Northern Europe,052,Ķekava,Baldone,56.74451,24.40078
LV,Latvia,Europe,Northern Europe,052,Ķekava,Baloži,56.87643,24.11825
LV,Latvia,Europe,Northern Europe,052,Ķekava,Ķekava,56.82662,24.23
LV,Latvia,Europe,Northern Europe,047,Krāslava,Dagda,56.09512,27.53723
LV,Latvia,Europe,Northern Europe,047,Krāslava,Krāslava,55.89514,27.16799
LV,Latvia,Europe,Northern Europe,050,Kuldīga,Alsunga,56.98194,21.55938
LV,Latvia,Europe,Northern Europe,050,Kuldīga,Kuldīga,56.97399,21.95721
LV,Latvia,Europe,Northern Europe,050,Kuldīga,Skrunda,56.67749,22.01649
LV,Latvia,Europe,Northern Europe,LPX,Liepāja,Karosta,56.55128,21.01287
LV,Latvia,Europe,Northern Europe,LPX,Liepāja,Liepāja,56.50474,21.01085
LV,Latvia,Europe,Northern Europe,054,Limbaži,Ainaži,57.86348,24.35853
LV,Latvia,Europe,Northern Europe,054,Limbaži,Aloja,57.76723,24.87743
LV,Latvia,Europe,Northern Europe,054,Limbaži,Limbaži,57.51287,24.71941
LV,Latvia,Europe,Northern Europe,054,Limbaži,Salacgrīva,57.75312,24.35895
LV,Latvia,Europe,Northern Europe,054,Limbaži,Staicele,57.83579,24.74706
LV,Latvia,Europe,Northern Europe,056,Līvāni,Līvāni,56.35431,26.17579
LV,Latvia,Europe,Northern Europe,058,Ludza,Cibla,56.5498,27.8837
LV,Latvia,Europe,Northern Europe,058,Ludza,Kārsava,56.78405,27.68829
LV,Latvia,Europe,Northern Europe,058,Ludza,Ludza,56.53958,27.71891
LV,Latvia,Europe,Northern Europe,058,Ludza,Zilupe,56.38616,28.12165
LV,Latvia,Europe,Northern Europe,059,Madona,Cesvaine,56.96754,26.30764
LV,Latvia,Europe,Northern Europe,059,Madona,Ērgļi,56.89752,25.63668
LV,Latvia,Europe,Northern Europe,059,Madona,Lubāna,56.90425,26.71606
LV,Latvia,Europe,Northern Europe,059,Madona,Madona,56.85329,26.21698
LV,Latvia,Europe,Northern Europe,062,Mārupe,Mārupe,56.90544,24.05113
LV,Latvia,Europe,Northern Europe,062,Mārupe,Piņķi,56.94189,23.91365
LV,Latvia,Europe,Northern Europe,067,Ogre,Ikšķile,56.83399,24.49679
LV,Latvia,Europe,Northern Europe,067,Ogre,Jumprava,56.67613,24.9721
LV,Latvia,Europe,Northern Europe,067,Ogre,Ķegums,56.7451,24.72439
LV,Latvia,Europe,Northern Europe,067,Ogre,Lielvārde,56.72066,24.80743
LV,Latvia,Europe,Northern Europe,067,Ogre,Ogre,56.8162,24.61401
LV,Latvia,Europe,Northern Europe,068,Olaine,Olaine,56.79472,23.9358
LV,Latvia,Europe,Northern Europe,073,Preiļi,Aglona,56.13274,27.00682
LV,Latvia,Europe,Northern Europe,073,Preiļi,Jaunaglona,56.16066,27.00714
LV,Latvia,Europe,Northern Europe,073,Preiļi,Preiļi,56.29444,26.72459
LV,Latvia,Europe,Northern Europe,073,Preiļi,Riebiņi,56.3428,26.79995
LV,Latvia,Europe,Northern Europe,073,Preiļi,Vecvārkava,56.19838,26.50811
LV,Latvia,Europe,Northern Europe,REZ,Rēzekne,Rēzekne,56.51028,27.34
LV,Latvia,Europe,Northern Europe,077,Rēzekne,Viļāni,56.55253,26.92449
LV,Latvia,Europe,Northern Europe,RIX,Riga,Bolderaja,57.03132,24.05571
LV,Latvia,Europe,Northern Europe,RIX,Riga,Daugavgrīva,57.04315,24.03613
LV,Latvia,Europe,Northern Europe,RIX,Riga,Jaunciems,57.0391,24.17413
LV,Latvia,Europe,Northern Europe,RIX,Riga,Mežaparks,57.00008,24.15997
LV,Latvia,Europe,Northern Europe,RIX,Riga,Riga,56.946,24.10589
LV,Latvia,Europe,Northern Europe,080,Ropaži,Garkalne,57.04486,24.41951
LV,Latvia,Europe,Northern Europe,080,Ropaži,Ropaži,56.9747,24.63295
LV,Latvia,Europe,Northern Europe,080,Ropaži,Ulbroka,56.9363,24.30387
LV,Latvia,Europe,Northern Europe,080,Ropaži,Vangaži,57.09358,24.54468
LV,Latvia,Europe,Northern Europe,087,Salaspils,Salaspils,56.86014,24.36544
LV,Latvia,Europe,Northern Europe,088,Saldus,Brocēni,56.6789,22.56945
LV,Latvia,Europe,Northern Europe,088,Saldus,Saldus,56.66363,22.48807
LV,Latvia,Europe,Northern Europe,089,Saulkrasti,Saulkrasti,57.26224,24.41471
LV,Latvia,Europe,Northern Europe,091,Sigulda,Inčukalns,57.09867,24.6863
LV,Latvia,Europe,Northern Europe,091,Sigulda,Mālpils,57.0101,24.95783
LV,Latvia,Europe,Northern Europe,091,Sigulda,Sigulda,57.15375,24.85953
LV,Latvia,Europe,Northern Europe,094,Smiltene,Ape,57.53928,26.69291
LV,Latvia,Europe,Northern Europe,094,Smiltene,Rauna,57.33173,25.60947
LV,Latvia,Europe,Northern Europe,094,Smiltene,Smiltene,57.42444,25.90164
LV,Latvia,Europe,Northern Europe,097,Talsi,Dundaga,57.50498,22.35041
LV,Latvia,Europe,Northern Europe,097,Talsi,Roja,57.50146,22.80881
LV,Latvia,Europe,Northern Europe,097,Talsi,Sabile,57.04577,22.57261
LV,Latvia,Europe,Northern Europe,097,Talsi,Stende,57.14497,22.53482
LV,Latvia,Europe,Northern Europe,097,Talsi,Talsi,57.24562,22.58137
LV,Latvia,Europe,Northern Europe,097,Talsi,Valdemārpils,57.37068,22.59188
LV,Latvia,Europe,Northern Europe,099,Tukums,Engure,57.16061,23.22527
LV,Latvia,Europe,Northern Europe,099,Tukums,Jaunpils,56.73137,23.01247
LV,Latvia,Europe,Northern Europe,099,Tukums,Kandava,57.04087,22.77466
LV,Latvia,Europe,Northern Europe,099,Tukums,Smārde,56.9542,23.33736
LV,Latvia,Europe,Northern Europe,099,Tukums,Tukums,56.96764,23.15554
LV,Latvia,Europe,Northern Europe,101,Valka,Valka,57.7752,26.01013
LV,Latvia,Europe,Northern Europe,113,Valmiera,Kocēni,57.52057,25.33821
LV,Latvia,Europe,Northern Europe,113,Valmiera,Mazsalaca,57.86329,25.05475
LV,Latvia,Europe,Northern Europe,113,Valmiera,Mūrmuiža,57.47312,25.49174
LV,Latvia,Europe,Northern Europe,113,Valmiera,Naukšēni,57.88349,25.45609
LV,Latvia,Europe,Northern Europe,113,Valmiera,Rūjiena,57.89752,25.33155
LV,Latvia,Europe,Northern Europe,113,Valmiera,Seda,57.65042,25.75089
LV,Latvia,Europe,Northern Europe,113,Valmiera,Strenči,57.62574,25.68535
LV,Latvia,Europe,Northern Europe,113,Valmiera,Valmiera,57.54108,25.42751
LV,Latvia,Europe,Northern Europe,102,Varakļāni,Varakļāni,56.60826,26.75377
