country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
LY,Libya,Africa,Northern Africa,BU,Al Butnan,Bardia,31.76,25.075
LY,Libya,Africa,Northern Africa,BU,Al Butnan,Jaghbub,29.7425,24.51694444
LY,Libya,Africa,Northern Africa,BU,Al Butnan,Tobruk,32.07611111,23.96138889
LY,Libya,Africa,Northern Africa,WA,Al Wahat,Ajdabiya,30.75545,20.22625
LY,Libya,Africa,Northern Africa,WA,Al Wahat,Al Burayqah,30.40624,19.57386
LY,Libya,Africa,Northern Africa,WA,Al Wahat,Awjilah,29.10806,21.28694
LY,Libya,Africa,Northern Africa,WA,Al Wahat,Az Zuwaytīnah,30.9522,20.12022
LY,Libya,Africa,Northern Africa,WA,Al Wahat,Gialo,29.03333,21.55
LY,Libya,Africa,Northern Africa,WA,Al Wahat,Marādah,29.22054,19.20454
LY,Libya,Africa,Northern Africa,BA,Benghazi,Benghazi,32.11486,20.06859
LY,Libya,Africa,Northern Africa,BA,Benghazi,Qaryat Sulūq,31.66818,20.25205
LY,Libya,Africa,Northern Africa,DR,Derna,Al Qubbah,32.75684,22.24106
LY,Libya,Africa,Northern Africa,DR,Derna,Darnah,32.76704,22.63669
LY,Libya,Africa,Northern Africa,GT,Ghat,Ghat,24.96334,10.18003
LY,Libya,Africa,Northern Africa,JA,Jabal al Akhdar,Al Bayḑā’,32.76272,21.75506
LY,Libya,Africa,Northern Africa,JG,Jabal al Gharbi,Gharyan,32.17222,13.02028
LY,Libya,Africa,Northern Africa,JG,Jabal al Gharbi,Giado,31.95506,12.02901
LY,Libya,Africa,Northern Africa,JG,Jabal al Gharbi,Mizdah,31.44934,12.9853
LY,Libya,Africa,Northern Africa,JG,Jabal al Gharbi,Yafran,32.06329,12.52859
LY,Libya,Africa,Northern Africa,JG,Jabal al Gharbi,Zintan,31.93155,12.25291
LY,Libya,Africa,Northern Africa,JI,Jafara,Al ‘Azīzīyah,32.53194,13.0175
LY,Libya,Africa,Northern Africa,JU,Jufra,Hūn,29.12684,15.94772
LY,Libya,Africa,Northern Africa,JU,Jufra,Waddān,29.1614,16.13904
LY,Libya,Africa,Northern Africa,KF,Kufra,Al Jawf,24.1989,23.29093
LY,Libya,Africa,Northern Africa,KF,Kufra,At Tāj,24.20487,23.2857
LY,Libya,Africa,Northern Africa,MJ,Marj,Al Abyār,32.19,20.59653
LY,Libya,Africa,Northern Africa,MJ,Marj,Al Marj,32.49257,20.82909
LY,Libya,Africa,Northern Africa,MJ,Marj,Tūkrah,32.53414,20.57911
LY,Libya,Africa,Northern Africa,MI,Misrata,Bani Walid,31.74554,13.98354
LY,Libya,Africa,Northern Africa,MI,Misrata,Mişrātah,32.37535,15.09254
LY,Libya,Africa,Northern Africa,MI,Misrata,Zliten,32.46739,14.56874
LY,Libya,Africa,Northern Africa,MB,Murqub,Al Khums,32.64861,14.26191
LY,Libya,Africa,Northern Africa,MB,Murqub,Masallātah,32.61667,14
LY,Libya,Africa,Northern Africa,MB,Murqub,Tarhuna,32.43501,13.6332
LY,Libya,Africa,Northern Africa,MQ,Murzuq,Al Qaţrūn,24.95139,14.64861
LY,Libya,Africa,Northern Africa,MQ,Murzuq,Murzuq,25.91552,13.91839
LY,Libya,Africa,Northern Africa,NL,Nalut,Ghadāmis,30.13366,9.50072
LY,Libya,Africa,Northern Africa,NL,Nalut,Nālūt,31.86848,10.9812
LY,Libya,Africa,Northern Africa,NQ,Nuqat al Khams,Al Ajaylat,32.75718,12.37633
LY,Libya,Africa,Northern Africa,NQ,Nuqat al Khams,Zalţan,32.94699,11.86668
LY,Libya,Africa,Northern Africa,NQ,Nuqat al Khams,Zuwārah,32.9312,12.08199
LY,Libya,Africa,Northern Africa,SB,Sabha,Al Jadīd,27.05,14.4
LY,Libya,Africa,Northern Africa,SB,Sabha,Sabhā,27.03766,14.42832
LY,Libya,Africa,Northern Africa,SR,Sirte,Qasr Abu Hadi,31.05926,16.65905
LY,Libya,Africa,Northern Africa,SR,Sirte,Sirte,31.20892,16.58866
LY,Libya,Africa,Northern Africa,TB,Tripoli,Tagiura,32.88167,13.35056
LY,Libya,Africa,Northern Africa,TB,Tripoli,Tripoli,32.88743,13.18733
LY,Libya,Africa,Northern Africa,WD,Wadi al Hayaa,Ubari,26.59034,12.77511
LY,Libya,Africa,Northern Africa,WS,Wadi al Shatii,Brak,27.54956,14.27139
LY,Libya,Africa,Northern Africa,WS,Wadi al Shatii,Idrī,27.44707,13.05173
LY,Libya,Africa,Northern Africa,ZA,Zawiya,Az Zāwīyah,32.7571,12.72764
LY,Libya,Africa,Northern Africa,ZA,Zawiya,Şabrātah,32.79335,12.48845
LY,Libya,Africa,Northern Africa,ZA,Zawiya,Şurmān,32.75668,12.57159
LY,Libya,Africa,Northern Africa,ZA,Zawiya,Zawiya,32.75222,12.72778
