country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,AGD,Agadir-Ida-Ou-Tanane,prefecture,prefectura,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,HAO,Al Haouz,province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,HOC,Al Hoceïma,province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,AOU,Aousserd (EH),province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Agadir,30.42018,-9.59815
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Agadir Melloul,30.22492,-7.79601
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Agadir-Ida-ou-Tnan,30.58333,-9.5
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Aoulouz,30.67307,-8.18087
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Aourir,30.49238,-9.6355
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Arazane,30.50346,-8.60637
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Argana,30.7825,-9.11968
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Bigoudine,30.72376,-9.21097
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Chtouka-Ait-Baha,30.02948,-9.30909
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Inezgane,30.35535,-9.53639
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Inezgane-Ait Melloul,30.1,-9.03333
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Ouijjane,29.62777,-9.53959
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Oulad Teïma,30.39467,-9.20897
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Reggada,29.58016,-9.70086
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Sidi Ifni,29.37975,-10.17299
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Tadrart,30.77477,-9.45951
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Tafraout,29.72449,-8.9747
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Taghazout,30.54259,-9.71115
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Taliouine,30.52917,-7.91262
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Tamri,30.69602,-9.82972
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Tanalt,29.77548,-9.16796
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Taroudannt,30.5,-8.41667
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Taroudant,30.47028,-8.87695
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Tarsouat,29.58153,-9.02664
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Tata,29.66667,-7.83333
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,ASZ,Assa-Zag (EH-partial),province,provincia,Tiznit,29.58333,-9.5
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,AZI,Azilal,province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,BEM,Béni Mellal,province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,05,Béni Mellal-Khénifra,region,región,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,BES,Benslimane,province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,BER,Berkane,province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,BRR,Berrechid,province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,BOD,Boujdour (EH),province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,BOM,Boulemane,province,provincia,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,CAS,Casablanca,prefecture,prefectura,,,
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Azemmour,33.28952,-8.3425
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Benslimane,33.5,-7.16667
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Berrechid,33.26553,-7.58754
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Berrechid Province,33.26582,-7.58142
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Boulaouane,32.85995,-8.05555
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Bouskoura,33.44976,-7.65239
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Bouznika,33.78942,-7.15968
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Casablanca,33.5884,-7.55785
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,El Jadid,33.25682,-8.50882
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,El-Jadida,32.9,-8.5
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Mediouna,33.52012,-7.5035
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Mohammedia,33.68607,-7.38298
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Nouaceur,33.45839,-7.64726
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Oualidia,32.73372,-9.03059
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Oulad Frej,32.95956,-8.2274
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Settat,33.00103,-7.61662
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Settat Province,33.08333,-7.41667
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Sidi Bennour,32.64896,-8.42686
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Sidi Smai’il,32.82461,-8.51122
MA,Morocco,Marruecos,Africa,África,Northern Africa,África del Norte,06,Casablanca-Settat,region,región,Tit Mellil,33.55808,-7.48647
