country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,T,Antananarivo,province,provincia,,,
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Ampasimanolotra,-18.81667,49.06667
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Andovoranto,-18.95443,49.1094
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Mahanoro,-19.9,48.8
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Mahavelona,-17.68475,49.50869
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Marolambo,-20.05,48.11667
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Toamasina,-18.1492,49.40234
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Toamasina I,-18.13863,49.39203
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Toamasina II,-17.94053,49.14608
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,D,Antsiranana,province,provincia,Vohibinany,-17.35,49.03333
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,F,Fianarantsoa,province,provincia,,,
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,M,Mahajanga,province,provincia,,,
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,A,Toamasina,province,provincia,,,
MG,Madagascar,Madagascar,Africa,África,Eastern Africa,África Oriental,U,Toliara,province,provincia,,,
