country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
MK,North Macedonia,Europe,Southern Europe,801,Aerodrom,Usje,41.95871,21.45835
MK,North Macedonia,Europe,Southern Europe,802,Aračinovo,Арачиново,42.02639,21.56194
MK,North Macedonia,Europe,Southern Europe,201,Berovo,Berovo,41.70306,22.85778
MK,North Macedonia,Europe,Southern Europe,201,Berovo,Rusinovo,41.68728,22.80849
MK,North Macedonia,Europe,Southern Europe,201,Berovo,Vladimirovo,41.71,22.79278
MK,North Macedonia,Europe,Southern Europe,501,Bitola,Bistrica,40.97892,21.3658
MK,North Macedonia,Europe,Southern Europe,501,Bitola,Bitola,41.03143,21.33474
MK,North Macedonia,Europe,Southern Europe,501,Bitola,Capari,41.05656,21.17884
MK,North Macedonia,Europe,Southern Europe,501,Bitola,Dolno Orizari,41.05028,21.37944
MK,North Macedonia,Europe,Southern Europe,501,Bitola,Kukurečani,41.09562,21.32454
MK,North Macedonia,Europe,Southern Europe,501,Bitola,Logovardi,41.03096,21.40967
MK,North Macedonia,Europe,Southern Europe,401,Bogdanci,Bogdanci,41.20306,22.57556
MK,North Macedonia,Europe,Southern Europe,401,Bogdanci,Stojakovo,41.15556,22.5775
MK,North Macedonia,Europe,Southern Europe,601,Bogovinje,Bogovinje,41.92361,20.91361
MK,North Macedonia,Europe,Southern Europe,601,Bogovinje,Dolno Palčište,41.96859,20.92899
MK,North Macedonia,Europe,Southern Europe,601,Bogovinje,Kamenjane,41.94568,20.92894
MK,North Macedonia,Europe,Southern Europe,402,Bosilovo,Bosilovo,41.44056,22.72778
MK,North Macedonia,Europe,Southern Europe,402,Bosilovo,Ilovica,41.47224,22.8048
MK,North Macedonia,Europe,Southern Europe,402,Bosilovo,Sekirnik,41.43999,22.79536
MK,North Macedonia,Europe,Southern Europe,602,Brvenica,Brvenica,41.96722,20.98083
MK,North Macedonia,Europe,Southern Europe,602,Brvenica,Čelopek,41.93167,21.01333
MK,North Macedonia,Europe,Southern Europe,602,Brvenica,Gurgurnica,41.84508,21.10538
MK,North Macedonia,Europe,Southern Europe,602,Brvenica,Miletino,41.90753,21.01601
MK,North Macedonia,Europe,Southern Europe,803,Butel,Butel,42.03083,21.44667
MK,North Macedonia,Europe,Southern Europe,803,Butel,Radishani,42.06111,21.44778
MK,North Macedonia,Europe,Southern Europe,815,Čair,Čair,42.01528,21.44111
MK,North Macedonia,Europe,Southern Europe,109,Čaška,Bogomila,41.59306,21.47167
MK,North Macedonia,Europe,Southern Europe,109,Čaška,Čaška,41.65056,21.66222
MK,North Macedonia,Europe,Southern Europe,814,Centar,,,
MK,North Macedonia,Europe,Southern Europe,313,Centar Župa,Centar Župa,41.47849,20.55945
MK,North Macedonia,Europe,Southern Europe,210,Češinovo-Obleševo,Češinovo,41.87148,22.28961
MK,North Macedonia,Europe,Southern Europe,210,Češinovo-Obleševo,Oblesevo,41.88333,22.33389
MK,North Macedonia,Europe,Southern Europe,816,Čučer-Sandevo,Чучер - Сандево,42.10361,21.38222
MK,North Macedonia,Europe,Southern Europe,303,Debar,,,
MK,North Macedonia,Europe,Southern Europe,304,Debarca,Belčišta,41.30278,20.83028
MK,North Macedonia,Europe,Southern Europe,304,Debarca,Mešeišta,41.23814,20.77414
MK,North Macedonia,Europe,Southern Europe,203,Delčevo,Delcevo,41.96722,22.76944
MK,North Macedonia,Europe,Southern Europe,502,Demir Hisar,Demir Hisar,41.22097,21.20302
MK,North Macedonia,Europe,Southern Europe,502,Demir Hisar,Slepče,41.23333,21.175
MK,North Macedonia,Europe,Southern Europe,502,Demir Hisar,Sopotnica,41.29594,21.15357
MK,North Macedonia,Europe,Southern Europe,103,Demir Kapija,Demir Kapija,41.40613,22.24631
MK,North Macedonia,Europe,Southern Europe,406,Dojran,Star Dojran,41.18647,22.7203
MK,North Macedonia,Europe,Southern Europe,503,Dolneni,Crnilište,41.53025,21.41416
MK,North Macedonia,Europe,Southern Europe,503,Dolneni,Desovo,41.46278,21.49111
MK,North Macedonia,Europe,Southern Europe,503,Dolneni,Dolneni,41.42579,21.45402
MK,North Macedonia,Europe,Southern Europe,503,Dolneni,Lažani,41.44222,21.31583
