country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Bogale,16.29415,95.39742
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Hinthada,17.64944,95.45705
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Kyaiklat,16.44502,95.72373
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Maubin,16.73148,95.65441
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Mawlamyinegyunn,16.3772,95.26488
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Myanaung,18.28651,95.32014
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Nyaungdon,17.04459,95.63957
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Pathein,16.77919,94.73212
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Pyapon,16.28543,95.67882
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,07,Ayeyarwady,region,región,Wakema,16.60333,95.18278
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Bago,17.33521,96.48135
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Letpandan,17.78664,95.75076
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Nyaunglebin,17.95363,96.72247
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Paungde,18.49167,95.50591
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Pyay,18.82464,95.22216
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Pyu,18.4813,96.43742
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Taungoo,18.94291,96.43408
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Thanatpin,17.29136,96.57523
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,02,Bago,region,región,Tharyarwady,17.65399,95.78813
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,14,Chin,state,estado,Falam,22.91335,93.67779
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,14,Chin,state,estado,Hakha,22.64452,93.61076
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,11,Kachin,state,estado,Bhamo,24.25256,97.23357
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,11,Kachin,state,estado,Myitkyina,25.38327,97.39637
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,12,Kayah,state,estado,Loikaw,19.67798,97.20975
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,13,Kayin,state,estado,Dellok,16.04072,97.91773
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,13,Kayin,state,estado,Hpa-An,16.88953,97.63482
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,13,Kayin,state,estado,Klonhtoug,15.95411,98.4325
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,13,Kayin,state,estado,Kyain Seikgyi Township,15.82288,98.25257
MM,Myanmar,Myanmar,Asia,Asia,South-Eastern Asia,Sudeste Asiático,13,Kayin,state,estado,Mikenaungea,15.95846,98.42721
