country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,01,Attard,local council,consejo local,Attard,35.88972,14.4425
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,02,Balzan,local council,consejo local,Balzan,35.90028,14.455
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,03,Birgu,local council,consejo local,Birgu (Vittoriosa),35.89222,14.51833
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,04,Birkirkara,local council,consejo local,Birkirkara,35.89722,14.46111
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,04,Birkirkara,local council,consejo local,Fleur De Lys,35.8953,14.4656
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,04,Birkirkara,local council,consejo local,Swatar,35.898778,14.476592
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,05,Birżebbuġa,local council,consejo local,Birżebbuġa,35.82583,14.52694
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,05,Birżebbuġa,local council,consejo local,Ħal Far,35.811349,14.510686
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,06,Cospicua,local council,consejo local,Cospicua,35.88556,14.5275
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,07,Dingli,local council,consejo local,Dingli,35.86139,14.38222
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,08,Fgura,local council,consejo local,Fgura,35.87028,14.51333
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,09,Floriana,local council,consejo local,Floriana,35.89583,14.50833
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,10,Fontana,local council,consejo local,Fontana,36.0375,14.23611
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,13,Għajnsielem,local council,consejo local,Għajnsielem,36.02639,14.285
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,13,Għajnsielem,local council,consejo local,Ħal Għargħur,35.92409,14.45118
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,14,Għarb,local council,consejo local,,,
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,15,Għargħur,local council,consejo local,Ħal Għaxaq,35.84889,14.51667
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,16,Għasri,local council,consejo local,Gudja,35.84917,14.50306
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,17,Għaxaq,local council,consejo local,Gżira,35.90583,14.48806
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,11,Gudja,local council,consejo local,,,
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,12,Gżira,local council,consejo local,Għarb,36.06,14.20889
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,18,Ħamrun,local council,consejo local,Blata l' Bajda,35.8875,14.498611
MT,Malta,Malta,Europe,Europa,Southern Europe,Europa del Sur,18,Ħamrun,local council,consejo local,Ħamrun,35.88472,14.48444
