country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,01,Addu,city,ciudad,Hithadhoo,-0.6,73.08333
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,01,Addu,city,ciudad,Meedhoo,-0.58333,73.23333
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,02,Alif Alif,administrative atoll,atolón administrativo,,,
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,00,Alif Dhaal,administrative atoll,atolón administrativo,Mahibadhoo,3.75713,72.96893
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,20,Baa,administrative atoll,atolón administrativo,,,
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,17,Dhaalu,administrative atoll,atolón administrativo,Kudahuvadhoo,2.67075,72.89437
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,14,Faafu,administrative atoll,atolón administrativo,,,
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,27,Gaafu Alif,administrative atoll,atolón administrativo,Viligili,0.75906,73.43296
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,28,Gaafu Dhaalu,administrative atoll,atolón administrativo,Thinadhoo,0.5306,72.99969
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,29,Gnaviyani,administrative atoll,atolón administrativo,Fuvahmulah,-0.29878,73.42403
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,07,Haa Alif,administrative atoll,atolón administrativo,Dhidhdhoo,6.88744,73.11402
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,23,Haa Dhaalu,administrative atoll,atolón administrativo,Kulhudhuffushi,6.62207,73.06998
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,26,Kaafu,administrative atoll,atolón administrativo,Guraidhoo,3.90045,73.46623
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,26,Kaafu,administrative atoll,atolón administrativo,Hulhumale,4.21169,73.54008
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,26,Kaafu,administrative atoll,atolón administrativo,Maafushi,3.94231,73.4907
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,26,Kaafu,administrative atoll,atolón administrativo,Male,4.17521,73.50916
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,05,Laamu,administrative atoll,atolón administrativo,Fonadhoo,1.83243,73.50257
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,03,Lhaviyani,administrative atoll,atolón administrativo,Naifaru,5.44438,73.36571
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,MLE,Malé,administrative atoll,atolón administrativo,,,
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,12,Meemu,administrative atoll,atolón administrativo,Muli,2.91667,73.56667
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,25,Noonu,administrative atoll,atolón administrativo,Manadhoo,5.76687,73.4136
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,13,Raa,administrative atoll,atolón administrativo,Ugoofaaru,5.66812,73.03017
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,24,Shaviyani,administrative atoll,atolón administrativo,Funadhoo,6.15091,73.29013
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,08,Thaa,administrative atoll,atolón administrativo,Veymandoo,2.18772,73.09556
MV,Maldives,Maldivas,Asia,Asia,Southern Asia,Asia del Sur,04,Vaavu,administrative atoll,atolón administrativo,Felidhoo,3.47182,73.54699
