country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
MW,Malawi,Africa,Eastern Africa,BA,Balaka,,,
MW,Malawi,Africa,Eastern Africa,BL,Blantyre,,,
MW,Malawi,Africa,Eastern Africa,C,Central,Chipoka,-13.99329,34.51566
MW,Malawi,Africa,Eastern Africa,C,Central,Dedza,-14.3779,34.33322
MW,Malawi,Africa,Eastern Africa,C,Central,Dedza District,-14.26273,34.18559
MW,Malawi,Africa,Eastern Africa,C,Central,Dowa,-13.65399,33.93754
MW,Malawi,Africa,Eastern Africa,C,Central,Dowa District,-13.60098,33.82378
MW,Malawi,Africa,Eastern Africa,C,Central,Kasungu,-13.03333,33.48333
MW,Malawi,Africa,Eastern Africa,C,Central,Kasungu District,-13,33.41667
MW,Malawi,Africa,Eastern Africa,C,Central,Lilongwe,-13.96692,33.78725
MW,Malawi,Africa,Eastern Africa,C,Central,Lilongwe District,-14.01962,33.68407
MW,Malawi,Africa,Eastern Africa,C,Central,Mchinji,-13.79841,32.88019
MW,Malawi,Africa,Eastern Africa,C,Central,Mchinji District,-13.7623,33.07998
MW,Malawi,Africa,Eastern Africa,C,Central,Mponela,-13.53194,33.74008
MW,Malawi,Africa,Eastern Africa,C,Central,Nkhotakota,-12.92744,34.29614
MW,Malawi,Africa,Eastern Africa,C,Central,Nkhotakota District,-12.80417,34.08298
MW,Malawi,Africa,Eastern Africa,C,Central,Ntcheu,-14.82027,34.63586
MW,Malawi,Africa,Eastern Africa,C,Central,Ntcheu District,-14.75,34.75
MW,Malawi,Africa,Eastern Africa,C,Central,Ntchisi,-13.52775,33.9149
MW,Malawi,Africa,Eastern Africa,C,Central,Ntchisi District,-13.29574,33.90798
MW,Malawi,Africa,Eastern Africa,C,Central,Salima,-13.7804,34.4587
MW,Malawi,Africa,Eastern Africa,C,Central,Salima District,-13.71959,34.40184
MW,Malawi,Africa,Eastern Africa,CK,Chikwawa,,,
MW,Malawi,Africa,Eastern Africa,CR,Chiradzulu,,,
MW,Malawi,Africa,Eastern Africa,CT,Chitipa,,,
MW,Malawi,Africa,Eastern Africa,DE,Dedza,,,
MW,Malawi,Africa,Eastern Africa,DO,Dowa,,,
MW,Malawi,Africa,Eastern Africa,KR,Karonga,,,
MW,Malawi,Africa,Eastern Africa,KS,Kasungu,,,
MW,Malawi,Africa,Eastern Africa,LK,Likoma,,,
MW,Malawi,Africa,Eastern Africa,LI,Lilongwe,,,
MW,Malawi,Africa,Eastern Africa,MH,Machinga,,,
MW,Malawi,Africa,Eastern Africa,MG,Mangochi,,,
MW,Malawi,Africa,Eastern Africa,MC,Mchinji,,,
MW,Malawi,Africa,Eastern Africa,MU,Mulanje,,,
MW,Malawi,Africa,Eastern Africa,MW,Mwanza,,,
MW,Malawi,Africa,Eastern Africa,MZ,Mzimba,,,
MW,Malawi,Africa,Eastern Africa,NE,Neno,,,
MW,Malawi,Africa,Eastern Africa,NB,Nkhata Bay,,,
MW,Malawi,Africa,Eastern Africa,NK,Nkhotakota,,,
MW,Malawi,Africa,Eastern Africa,N,Northern,Chitipa,-9.70237,33.26969
MW,Malawi,Africa,Eastern Africa,N,Northern,Chitipa District,-9.92727,33.42541
MW,Malawi,Africa,Eastern Africa,N,Northern,Karonga,-9.93333,33.93333
MW,Malawi,Africa,Eastern Africa,N,Northern,Karonga District,-10.11153,33.88151
MW,Malawi,Africa,Eastern Africa,N,Northern,Likoma,-12.06065,34.73608
MW,Malawi,Africa,Eastern Africa,N,Northern,Livingstonia,-10.60602,34.10628
MW,Malawi,Africa,Eastern Africa,N,Northern,Mzimba,-11.9,33.6
MW,Malawi,Africa,Eastern Africa,N,Northern,Mzimba District,-11.85428,33.60778
MW,Malawi,Africa,Eastern Africa,N,Northern,Mzuzu,-11.46556,34.02071
MW,Malawi,Africa,Eastern Africa,N,Northern,Nkhata Bay,-11.60659,34.29073
MW,Malawi,Africa,Eastern Africa,N,Northern,Nkhata Bay District,-11.65304,34.05322
MW,Malawi,Africa,Eastern Africa,N,Northern,Rumphi,-11.01863,33.85746
MW,Malawi,Africa,Eastern Africa,N,Northern,Rumphi District,-10.80292,33.80524
MW,Malawi,Africa,Eastern Africa,NS,Nsanje,,,
MW,Malawi,Africa,Eastern Africa,NU,Ntcheu,,,
MW,Malawi,Africa,Eastern Africa,NI,Ntchisi,,,
MW,Malawi,Africa,Eastern Africa,PH,Phalombe,,,
MW,Malawi,Africa,Eastern Africa,RU,Rumphi,,,
MW,Malawi,Africa,Eastern Africa,SA,Salima,,,
MW,Malawi,Africa,Eastern Africa,S,Southern,Balaka,-14.97928,34.95575
MW,Malawi,Africa,Eastern Africa,S,Southern,Balaka District,-15.04839,35.0591
MW,Malawi,Africa,Eastern Africa,S,Southern,Blantyre,-15.78499,35.00854
MW,Malawi,Africa,Eastern Africa,S,Southern,Blantyre District,-15.64732,34.93956
MW,Malawi,Africa,Eastern Africa,S,Southern,Chikwawa,-16.03352,34.80091
MW,Malawi,Africa,Eastern Africa,S,Southern,Chikwawa District,-16.16667,34.75
MW,Malawi,Africa,Eastern Africa,S,Southern,Chiradzulu,-15.67461,35.14071
MW,Malawi,Africa,Eastern Africa,S,Southern,Chiradzulu District,-15.75268,35.21576
MW,Malawi,Africa,Eastern Africa,S,Southern,Liwonde,-15.06665,35.22543
MW,Malawi,Africa,Eastern Africa,S,Southern,Luchenza,-16.00693,35.30947
MW,Malawi,Africa,Eastern Africa,S,Southern,Machinga,-15.16849,35.30002
MW,Malawi,Africa,Eastern Africa,S,Southern,Machinga District,-14.94583,35.57367
MW,Malawi,Africa,Eastern Africa,S,Southern,Mangochi,-14.47815,35.26448
MW,Malawi,Africa,Eastern Africa,S,Southern,Mangochi District,-14.39296,35.34658
MW,Malawi,Africa,Eastern Africa,S,Southern,Monkey Bay,-14.08239,34.91652
MW,Malawi,Africa,Eastern Africa,S,Southern,Mulanje,-16.03163,35.5
MW,Malawi,Africa,Eastern Africa,S,Southern,Mulanje District,-15.9344,35.4999
MW,Malawi,Africa,Eastern Africa,S,Southern,Mwanza,-15.60262,34.52479
MW,Malawi,Africa,Eastern Africa,S,Southern,Mwanza District,-15.63337,34.51682
MW,Malawi,Africa,Eastern Africa,S,Southern,Neno,-15.45051,34.70034
MW,Malawi,Africa,Eastern Africa,S,Southern,Nsanje,-16.91995,35.26199
MW,Malawi,Africa,Eastern Africa,S,Southern,Nsanje District,-16.75,35.16667
MW,Malawi,Africa,Eastern Africa,S,Southern,Phalombe,-15.80635,35.65067
MW,Malawi,Africa,Eastern Africa,S,Southern,Phalombe District,-15.66667,35.66667
MW,Malawi,Africa,Eastern Africa,S,Southern,Thyolo,-16.06775,35.14046
MW,Malawi,Africa,Eastern Africa,S,Southern,Thyolo District,-16.10583,35.1506
MW,Malawi,Africa,Eastern Africa,S,Southern,Zomba,-15.38596,35.3188
MW,Malawi,Africa,Eastern Africa,S,Southern,Zomba District,-15.43007,35.41829
MW,Malawi,Africa,Eastern Africa,TH,Thyolo,,,
MW,Malawi,Africa,Eastern Africa,ZO,Zomba,,,
