country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Aguascalientes,21.88333,-102.3
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Arboledas Paso Blanco [Fraccionamiento],21.96361,-102.30194
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Arellano,21.80106,-102.27384
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Asientos,22.23333,-102.08333
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Bimbaletes Aguascalientes (El Álamo),22.23444,-102.01917
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Calvillo,21.85,-102.71666
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Carboneras,22.18311,-102.24601
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Cartagena [Fraccionamiento],21.95639,-102.27639
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Centro de Arriba,21.73123,-102.49888
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Ciénega Grande,22.19434,-102.0194
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Corral de Barrancos,21.95028,-102.33222
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Cosío,22.36667,-102.3
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Cotorina,21.75154,-102.26832
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Crucero Las Pilas,21.82722,-102.76033
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Cumbres III,21.92222,-102.2375
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,Ejido la Guayana (Rancho Seco),21.98028,-102.27306
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,El Bajío,22.24558,-102.30825
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,El Chayote,22.28667,-102.239
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,El Cuervero (Cuerveros),21.86056,-102.68389
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,El Llano,21.91667,-101.96666
MX,Mexico,México,Americas,América,Northern America,Norteamérica,AGU,Aguascalientes,state,estado,El Refugio de Peñuelas,21.71635,-102.28941
