country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Arandis,-22.41667,14.96667
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Hentiesbaai,-22.11667,14.28333
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Karibib,-21.93333,15.83333
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Omaruru,-21.43333,15.93333
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Otjimbingwe,-22.35,16.13333
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Swakopmund,-22.67842,14.52663
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Swakopmund Constituency,-22.63199,14.60119
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Usakos,-22,15.6
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,ER,Erongo,region,región,Walvis Bay,-22.9575,14.50528
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,HA,Hardap,region,región,Aranos,-24.13333,19.11667
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,HA,Hardap,region,región,Hoachanas,-23.91667,18.05
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,HA,Hardap,region,región,Maltahöhe,-24.83333,16.98333
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,HA,Hardap,region,región,Mariental,-24.63333,17.96667
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,HA,Hardap,region,región,Rehoboth,-23.317,17.09
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KA,Karas,region,región,Bethanie,-26.48333,17.15
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KA,Karas,region,región,Karasburg,-28.01667,18.75
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KA,Karas,region,región,Keetmanshoop,-26.58333,18.13333
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KA,Karas,region,región,Lüderitz,-26.64807,15.15383
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KA,Karas,region,región,Oranjemund,-28.55,16.43333
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KA,Karas,region,región,Tses,-25.88333,18
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KA,Karas,region,región,Warmbad,-28.45,18.73333
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KE,Kavango East,region,región,Rundu,-17.93333,19.76667
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KW,Kavango West,region,región,,,
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KH,Khomas,region,región,Katutura,-22.52306,17.06028
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KH,Khomas,region,región,Windhoek,-22.55941,17.08323
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KU,Kunene,region,región,Epupa Constituency,-17.00388,13.24825
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KU,Kunene,region,región,Khorixas,-20.36667,14.96667
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KU,Kunene,region,región,Khorixas Constituency,-20.36792,14.95996
NA,Namibia,Namibia,Africa,África,Southern Africa,África Austral,KU,Kunene,region,región,Opuwo,-18.06068,13.83998
