country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
NR,Nauru,Oceania,Micronesia,01,Aiwo,Arijejen,-0.52545,166.91247
NR,Nauru,Oceania,Micronesia,02,Anabar,Anabar,-0.50845,166.95326
NR,Nauru,Oceania,Micronesia,03,Anetan,,,
NR,Nauru,Oceania,Micronesia,04,Anibare,,,
NR,Nauru,Oceania,Micronesia,05,Baiti,Baiti,-0.50803,166.92945
NR,Nauru,Oceania,Micronesia,06,Boe,,,
NR,Nauru,Oceania,Micronesia,07,Buada,,,
NR,Nauru,Oceania,Micronesia,08,Denigomodu,,,
NR,Nauru,Oceania,Micronesia,09,Ewa,,,
NR,Nauru,Oceania,Micronesia,10,Ijuw,Ijuw,-0.521,166.95813
NR,Nauru,Oceania,Micronesia,11,Meneng,Menen,-0.54539,166.94871
NR,Nauru,Oceania,Micronesia,12,Nibok,,,
NR,Nauru,Oceania,Micronesia,13,Uaboe,Uaboe,-0.51393,166.92384
NR,Nauru,Oceania,Micronesia,14,Yaren,Yaren,-0.55085,166.9252
