country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Auckland,-36.84853,174.76349
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Mangere,-36.96807,174.79875
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Manukau City,-36.99282,174.87986
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Muriwai Beach,-36.81667,174.45
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Murrays Bay,-36.72819,174.75019
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,North Shore,-36.8,174.75
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Pakuranga,-36.88333,174.91667
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Papakura,-37.06573,174.94393
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Parakai,-36.65,174.43333
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Pukekohe East,-37.2,174.95
NZ,New Zealand,Nueva Zelanda,Oceania,Oceanía,Australia and New Zealand,Australia y Nueva Zelanda,AUK,Auckland,region,región,Red Hill,-37.0582,174.97019
