country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Alac,15.98777778,120.80638889
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Allangigan Primero,17.17388889,120.49194444
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Aloleng,16.13083333,119.7825
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Amagbagan,16.09138889,120.52333333
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Anambongan,15.86638889,120.38861111
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Angatel,15.80583333,120.34333333
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Anulid,15.82555556,120.48833333
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Baay,18.11888889,120.57527778
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Bacag,15.93,120.58222222
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Bacnar,15.88638889,120.34416667
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Bactad Proper,15.97833333,120.61027778
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Bacundao Weste,15.91527778,120.47666667
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Bail,16.28666667,120.40027778
PH,Philippines,Filipinas,Asia,Asia,South-Eastern Asia,Sudeste Asiático,ABR,Abra,province,provincia,Balingasay,16.35722222,119.85638889
