country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,001,Adjuntas,municipality,municipio,Adjuntas,18.1634848,-66.723158
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,003,Aguada,municipality,municipio,Aguada,18.3801579,-67.188704
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,005,Aguadilla,municipality,municipio,Aguadilla,18.4274454,-67.1540698
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,007,Aguas Buenas,municipality,municipio,Aguas Buenas,18.2568989,-66.1029442
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,009,Aibonito,municipality,municipio,Aibonito,18.1399594,-66.2660016
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,011,Añasco,municipality,municipio,Añasco,18.2854476,-67.1402935
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,AR,Arecibo,region,región,Arecibo,18.4705137,-66.7218472
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,015,Arroyo,municipality,municipio,Arroyo,17.996422,-66.0924879
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,017,Barceloneta,municipality,municipio,Barceloneta,41.3801061,2.1896957
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,019,Barranquitas,municipality,municipio,Barranquitas,18.1866242,-66.3062802
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,BY,Bayamon,region,región,Bayamón,18.389396,-66.1653224
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,023,Cabo Rojo,municipality,municipio,Cabo Rojo,18.0866265,-67.1457347
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,CG,Caguas,region,región,Caguas,18.2387995,-66.035249
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,027,Camuy,municipality,municipio,Camuy,18.483833,-66.8448994
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,029,Canóvanas,municipality,municipio,Canóvanas,18.3748748,-65.8997533
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,CL,Carolina,region,región,Carolina,18.3680877,-66.0424734
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,033,Cataño,municipality,municipio,Cataño,18.4465355,-66.1355775
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,035,Cayey,municipality,municipio,Cayey,18.1119051,-66.166
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,037,Ceiba,municipality,municipio,Ceiba,18.2475177,-65.9084953
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,039,Ciales,municipality,municipio,Ciales,18.3360622,-66.4687823
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,041,Cidra,municipality,municipio,Cidra,18.1757914,-66.1612779
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,043,Coamo,municipality,municipio,Coamo,18.0799616,-66.3579473
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,045,Comerío,municipality,municipio,Comerío,18.2192001,-66.2256022
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,047,Corozal,municipality,municipio,Corozal,18.4030802,-88.3967536
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,049,Culebra,municipality,municipio,Culebra,18.310394,-65.3030705
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,051,Dorado,municipality,municipio,Dorado,43.1480556,-77.5772222
PR,Puerto Rico,Puerto Rico,Americas,América,Caribbean,Caribe,053,Fajardo,municipality,municipio,Fajardo,18.3252148,-65.6539356
