country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,01,Saint-Benoît,district,distrito,Bras-Panon,-21.0315816,55.5441634
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,01,Saint-Benoît,district,distrito,La Plaine-des-Palmistes,-21.1529507,55.5618014
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,01,Saint-Benoît,district,distrito,Saint-André,-20.9567727,55.5548674
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,01,Saint-Benoît,district,distrito,Saint-Benoît,-21.0885946,55.4664076
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,01,Saint-Benoît,district,distrito,Sainte-Rose,-21.1778289,55.6593981
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,01,Saint-Benoît,district,distrito,Salazie,-21.0524097,55.4321337
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,02,Saint-Denis,district,distrito,Saint-Denis,-20.9645672,55.418353
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,02,Saint-Denis,district,distrito,Sainte-Marie,-20.9462842,55.4409587
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,02,Saint-Denis,district,distrito,Sainte-Suzanne,-20.9506379,55.5111475
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,03,Saint-Paul,district,distrito,La Possession,-20.9966715,55.3094196
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,03,Saint-Paul,district,distrito,Le Port,-20.9459981,55.2625839
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,03,Saint-Paul,district,distrito,Les Trois-Bassins,-21.1138065,55.2553467
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,03,Saint-Paul,district,distrito,Saint-Leu,-21.1815374,55.2607553
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,03,Saint-Paul,district,distrito,Saint-Paul,-21.0365634,55.1754223
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Cilaos,-21.1402675,55.3731415
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Entre-Deux,-21.2107387,55.4112594
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,L'Étang-Salé,-21.2347408,55.3163686
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Le Tampon,-21.2250092,55.4876541
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Les Avirons,-21.2018683,55.3216609
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Petite-Île,-21.3329678,55.5294205
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Saint-Joseph,-21.2921186,55.5616173
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Saint-Louis,-21.2254829,55.340044
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Saint-Philippe,-21.308375,55.6611834
RE,Reunion,Reunión,Africa,África,Eastern Africa,África Oriental,04,Saint-Pierre,district,distrito,Saint-Pierre,-21.3089303,55.3395313
