country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Barič,44.6507,20.25941
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Bečmen,44.77983,20.20577
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Dobanovci,44.82631,20.22487
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Lazarevac,44.38534,20.2557
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Mala Moštanica,44.63834,20.306
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Obrenovac,44.65486,20.20017
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Ostružnica,44.72769,20.31845
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Ovča,44.88349,20.53336
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Rušanj,44.68477,20.44993
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Sremčica,44.67653,20.39232
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Stepojevac,44.51278,20.295
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Stubline,44.57476,20.13477
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Surčin,44.79306,20.28028
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Tabanović,44.82018,19.64128
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Ugrinovci,44.87635,20.18763
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Umka,44.67806,20.30472
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Velika Moštanica,44.66486,20.35395
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Vranić,44.60237,20.32872
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Zemun,44.8458,20.40116
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,00,Belgrade,city,ciudad,Zvečka,44.64025,20.16432
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,14,Bor,district,distrito,Bor,44.36667,22.25
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,14,Bor,district,distrito,Donji Milanovac,44.46593,22.1517
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,14,Bor,district,distrito,Kladovo,44.6043989,22.5081942
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,14,Bor,district,distrito,Majdanpek,44.4252547,21.8092733
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,14,Bor,district,distrito,Negotin,44.2181618,22.4516206
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Golubac,44.6355216,21.5952559
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Klenje,44.80794,19.43508
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Kučevo,44.4893875,21.6349977
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Malo Crniće,44.5401398,21.1980262
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Petrovac na Mlavi,44.3539737,21.2805067
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Požarevac,44.62133,21.18782
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Radenka,44.58345,21.76469
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Ševica,44.50883,21.72296
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Veliko Gradište,44.7519641,21.4628213
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Žabari,44.3852213,21.0449872
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,11,Braničevo,district,distrito,Žagubica,44.1554445,21.6931799
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Aradac,45.38346,20.30137
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Banatski Despotovac,45.36606,20.66407
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Banatski Dvor,45.51866,20.51146
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Banatsko Karađorđevo,45.58693,20.56421
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Belo Blato,45.27278,20.375
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Bočar,45.76994,20.2839
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Boka,45.3554,20.82987
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Botoš,45.30837,20.63514
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Čenta,45.10814,20.38947
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Čestereg,45.56361,20.53194
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Ečka,45.32328,20.44294
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Elemir,45.44263,20.30003
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Farkaždin,45.19172,20.47239
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Hetin,45.66202,20.79138
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Jarkovac,45.26985,20.76078
RS,Serbia,Serbia,Europe,Europa,Southern Europe,Europa del Sur,02,Central Banat,district,distrito,Jaša Tomić,45.44725,20.85546
