country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Barma,8.34959,-11.33059
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Blama,7.87481,-11.34548
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Boajibu,8.18763,-11.34026
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Buedu,8.2796,-10.37135
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Bunumbu,8.17421,-10.86432
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Daru,7.98976,-10.84223
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Giehun,7.88405,-11.04908
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Gorahun,7.46439,-11.23952
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Hangha,7.93974,-11.14132
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Jojoima,7.87815,-10.78976
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Kailahun,8.2789,-10.573
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Kailahun District,8.10768,-10.75146
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Kayima,8.8879,-11.15932
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Kenema,7.87687,-11.19025
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Kenema District,7.95171,-11.19004
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Koidu,8.64387,-10.9714
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Kono,8.70687,-10.93368
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Koyima,8.70552,-11.02241
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Manowa,8.17392,-10.74834
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Mobai,7.99343,-10.75355
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Motema,8.61427,-11.01252
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Panguma,8.18507,-11.1329
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Pendembu,8.09807,-10.69429
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Segbwema,7.99471,-10.9502
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Simbakoro,8.61243,-11.00755
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Tefeya,8.70395,-11.2126
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Tombodu,8.13526,-10.6196
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Tombu,8.53991,-10.73132
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Wima,8.30052,-11.20455
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,E,Eastern,province,provincia,Yengema,8.71441,-11.17057
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,NW,North Western,province,provincia,Kamakwie,9.49689,-12.24061
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,NW,North Western,province,provincia,Kambia,9.12504,-12.91816
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,NW,North Western,province,provincia,Lunsar,8.68439,-12.53499
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,NW,North Western,province,provincia,Pepel,8.58611,-13.05444
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,NW,North Western,province,provincia,Port Loko,8.76666667,-12.7875
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,NW,North Western,province,provincia,Rokupr,8.67121,-12.38497
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,N,Northern,province,provincia,Alikalia,9.15356,-11.38712
SL,Sierra Leone,Sierra Leone,Africa,África,Western Africa,África Occidental,N,Northern,province,provincia,Bindi,9.91376,-11.44669
