country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
SN,Senegal,Africa,Western Africa,DK,Dakar,Dakar,14.6937,-17.44406
SN,Senegal,Africa,Western Africa,DK,Dakar,Dakar Department,14.71403,-17.45534
SN,Senegal,Africa,Western Africa,DK,Dakar,Guédiawaye Department,14.7761,-17.3956
SN,Senegal,Africa,Western Africa,DK,Dakar,Mermoz Boabab,14.70649,-17.47581
SN,Senegal,Africa,Western Africa,DK,Dakar,N’diareme limamoulaye,14.78148,-17.3841
SN,Senegal,Africa,Western Africa,DK,Dakar,Pikine,14.76457,-17.39071
SN,Senegal,Africa,Western Africa,DK,Dakar,Pikine Department,14.76515,-17.35198
SN,Senegal,Africa,Western Africa,DK,Dakar,Rufisque Department,14.74339,-17.19841
SN,Senegal,Africa,Western Africa,DB,Diourbel Region,Mbacké,14.80828,-15.86454
SN,Senegal,Africa,Western Africa,DB,Diourbel Region,Mbaké,14.79032,-15.90803
SN,Senegal,Africa,Western Africa,DB,Diourbel Region,Tiébo,14.63333,-16.23333
SN,Senegal,Africa,Western Africa,DB,Diourbel Region,Touba,14.85,-15.88333
SN,Senegal,Africa,Western Africa,FK,Fatick,Diofior,14.18333,-16.66667
SN,Senegal,Africa,Western Africa,FK,Fatick,Fatick Department,14.25909,-16.49884
SN,Senegal,Africa,Western Africa,FK,Fatick,Foundiougne,14.13333,-16.46667
SN,Senegal,Africa,Western Africa,FK,Fatick,Guinguinéo,14.26667,-15.95
SN,Senegal,Africa,Western Africa,FK,Fatick,Passi,13.98333,-16.26667
SN,Senegal,Africa,Western Africa,FK,Fatick,Pourham,14.35,-16.41667
SN,Senegal,Africa,Western Africa,FK,Fatick,Sokone,13.88333,-16.36667
SN,Senegal,Africa,Western Africa,KA,Kaffrine,Kaffrine,14.10594,-15.5508
SN,Senegal,Africa,Western Africa,KA,Kaffrine,Koungheul,13.98333,-14.8
SN,Senegal,Africa,Western Africa,KL,Kaolack,Gandiaye,14.23333,-16.26667
SN,Senegal,Africa,Western Africa,KL,Kaolack,Kaolack,14.15197,-16.07259
SN,Senegal,Africa,Western Africa,KL,Kaolack,Ndofane,13.91667,-15.93333
SN,Senegal,Africa,Western Africa,KL,Kaolack,Nioro du Rip,13.75,-15.8
SN,Senegal,Africa,Western Africa,KE,Kédougou,Département de Salémata,12.59971,-12.77619
SN,Senegal,Africa,Western Africa,KE,Kédougou,Kédougou,12.55561,-12.18076
SN,Senegal,Africa,Western Africa,KE,Kédougou,Kédougou Department,12.81716,-12.17834
SN,Senegal,Africa,Western Africa,KE,Kédougou,Saraya,13.0015,-11.79627
SN,Senegal,Africa,Western Africa,KD,Kolda,Kolda,12.8939,-14.94125
SN,Senegal,Africa,Western Africa,KD,Kolda,Kolda Department,12.883,-14.95
SN,Senegal,Africa,Western Africa,KD,Kolda,Marsassoum,12.8275,-15.98056
SN,Senegal,Africa,Western Africa,KD,Kolda,Vélingara,13.15,-14.11667
SN,Senegal,Africa,Western Africa,LG,Louga,Dara,15.34844,-15.47993
SN,Senegal,Africa,Western Africa,LG,Louga,Guéoul,15.48333,-16.35
SN,Senegal,Africa,Western Africa,LG,Louga,Linguere Department,15.359,-15.158
SN,Senegal,Africa,Western Africa,LG,Louga,Louga,15.61867,-16.22436
SN,Senegal,Africa,Western Africa,LG,Louga,Ndibène Dahra,15.3338,-15.4766
SN,Senegal,Africa,Western Africa,MT,Matam,Diawara,15.02196,-12.54374
SN,Senegal,Africa,Western Africa,MT,Matam,Kanel,15.4916,-13.17627
SN,Senegal,Africa,Western Africa,MT,Matam,Matam,15.65587,-13.25544
SN,Senegal,Africa,Western Africa,MT,Matam,Matam Department,15.73191,-13.63393
SN,Senegal,Africa,Western Africa,MT,Matam,Ouro Sogui,15.60588,-13.3223
SN,Senegal,Africa,Western Africa,MT,Matam,Ranérou,15.3,-13.96667
SN,Senegal,Africa,Western Africa,MT,Matam,Sémé,15.19422,-12.94482
SN,Senegal,Africa,Western Africa,MT,Matam,Waoundé,15.26367,-12.86821
SN,Senegal,Africa,Western Africa,SL,Saint-Louis,Goléré,16.25575,-14.10165
SN,Senegal,Africa,Western Africa,SL,Saint-Louis,Ndioum,16.51293,-14.64706
SN,Senegal,Africa,Western Africa,SL,Saint-Louis,Polel Diaoubé,15.26667,-13
SN,Senegal,Africa,Western Africa,SL,Saint-Louis,Richard-Toll,16.4625,-15.70083
SN,Senegal,Africa,Western Africa,SL,Saint-Louis,Rosso,16.42028,-15.79834
SN,Senegal,Africa,Western Africa,SL,Saint-Louis,Saint-Louis,16.01793,-16.48962
SN,Senegal,Africa,Western Africa,SE,Sédhiou,Goudomp Department,12.57778,-15.87222
SN,Senegal,Africa,Western Africa,SE,Sédhiou,Sédhiou,12.70806,-15.55694
SN,Senegal,Africa,Western Africa,TC,Tambacounda Region,Tambacounda,13.77073,-13.66734
SN,Senegal,Africa,Western Africa,TC,Tambacounda Region,Tambacounda Department,13.605,-13.647
SN,Senegal,Africa,Western Africa,TH,Thiès Region,Joal-Fadiout,14.16667,-16.83333
SN,Senegal,Africa,Western Africa,TH,Thiès Region,Kayar,14.91893,-17.11978
