country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HA,Al-Hasakah,province,provincia,Ad Darbāsīyah,37.07279,40.65199
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HA,Al-Hasakah,province,provincia,Al Ḩasakah,36.50237,40.74772
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HA,Al-Hasakah,province,provincia,Al Mālikīyah,37.17701,42.14006
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HA,Al-Hasakah,province,provincia,Al Qāmishlī,37.05215,41.23142
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HA,Al-Hasakah,province,provincia,Al-Malikiyah,36.94113,41.90157
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HA,Al-Hasakah,province,provincia,Amude,37.10417,40.93
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,RA,Al-Raqqah,province,provincia,Al-Thawrah,35.79843,38.3455
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,RA,Al-Raqqah,province,provincia,Ar Raqqah,35.95283,39.00788
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,RA,Al-Raqqah,province,provincia,Ar-Raqqah,35.87204,39.04706
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,RA,Al-Raqqah,province,provincia,Ath Thawrah,35.83758,38.54828
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,RA,Al-Raqqah,province,provincia,Tall Abyaḑ,36.69648,38.95382
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,RA,Al-Raqqah,province,provincia,Tell Abyad,36.4828,39.2136
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,‘Afrīn,36.51194,36.86954
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,‘Ayn al ‘Arab,36.89095,38.35347
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Afrin,36.54891,36.79295
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Al Atārib,36.13907,36.82504
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Al Bāb,36.37051,37.5157
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Al-Bab,36.30946,37.53277
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Aleppo,36.20124,37.16117
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,As Safīrah,36.07696,37.37251
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Azaz,36.49986,37.18382
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Dayr Ḩāfir,36.15694,37.70778
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,I‘zāz,36.58662,37.04628
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Jarābulus,36.8175,38.01111
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Kafr Şaghīr,36.29264,37.2559
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Khanāşir,35.78159,37.49919
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Manbij,36.52815,37.95495
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Manbij District,36.06687,37.91735
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Mount Simeon,35.99956,37.08473
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Nubl,36.37867,36.99294
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Şūrān,36.56579,37.2127
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Tādif,36.34814,37.5309
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HL,Aleppo,province,provincia,Tall Rif‘at,36.47229,37.09471
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,SU,As-Suwayda,province,provincia,As-Suwayda,32.70896,36.56951
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,SU,As-Suwayda,province,provincia,As-Suwayda District,32.78127,36.86502
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,SU,As-Suwayda,province,provincia,Şalākhid,32.87271,36.57271
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,SU,As-Suwayda,province,provincia,Şalkhad,32.492,36.71114
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,SU,As-Suwayda,province,provincia,Salkhad District,32.51779,36.91954
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,SU,As-Suwayda,province,provincia,Shahbā,32.85514,36.62896
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,SU,As-Suwayda,province,provincia,Shahba District,33.04282,36.72034
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DI,Damascus,province,provincia,Damascus,33.5102,36.29128
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Al Ḩarāk,32.74932,36.30994
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Al Muzayrīb,32.71084,36.02751
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Al-Sanamayn,33.12559,36.2754
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Aş Şanamayn,33.07186,36.18316
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Ash Shaykh Miskīn,32.82944,36.15933
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Buşrá ash Shām,32.52013,36.48256
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Dar‘ā,32.61889,36.10213
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Ghabāghib,33.18235,36.22534
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Inkhil,33.01809,36.12828
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Izra,32.90121,36.16144
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Izra‘,32.8706,36.25453
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Jāsim,32.99233,36.06018
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Nawá,32.89044,36.0399
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Ţafas,32.73709,36.06654
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DR,Daraa,province,provincia,Tasīl,32.83395,35.96973
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DY,Deir ez-Zor,province,provincia,Al Mayādīn,35.01982,40.45154
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DY,Deir ez-Zor,province,provincia,Ālbū Kamāl,34.45226,40.91854
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DY,Deir ez-Zor,province,provincia,Deir ez-Zor,35.33588,40.14084
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DY,Deir ez-Zor,province,provincia,Hajīn,34.69508,40.83138
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,DY,Deir ez-Zor,province,provincia,Subaykhān,34.85305,40.59987
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Al-Salamiyah,35.14398,37.59235
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,As Salamīyah,35.01127,37.05324
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,As Suqaylibīyah,35.36674,36.39359
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Ḩalfāyā,35.26014,36.60581
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Hama,35.28577,37.12626
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Ḩamāh,35.13179,36.75783
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Kafr Zaytā,35.37425,36.6033
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Maşyāf,35.0653,36.3406
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Masyaf District,35.10335,36.3392
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Mūrak,35.37615,36.6897
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Souran,35.29193,36.74848
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Tall Salḩab,35.25884,36.38461
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Ţayyibat al Imām,35.26592,36.71219
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HM,Hama,province,provincia,Tremseh,35.27181,36.50395
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Al Ghanţū,34.82202,36.69613
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Al Qaryatayn,34.22956,37.24066
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Al Quşayr,34.5078,36.58029
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Al-Rastan,34.871,36.77245
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Ar Rastan,34.92667,36.73241
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Hisya,34.41197,36.75867
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Homs,34.72682,36.72339
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Kafr Lāhā,34.89469,36.49582
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Mukharram al Fawqānī,34.81521,37.08677
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Şadad,34.31248,36.92562
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Tadmur,34.5624,38.28402
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Tadmur District,34.42401,38.6458
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Tallbīsah,34.84072,36.73092
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,HI,Homs,province,provincia,Tallkalakh,34.66842,36.25995
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Ad Dānā,36.21254,36.76998
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Arīḩā,35.81374,36.60964
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Armanāz,36.08363,36.5031
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Binnish,35.95664,36.7138
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Darkūsh,35.9918,36.39361
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Harem,36.14014,36.56535
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Ḩārim,36.21176,36.52078
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Idlib,35.93062,36.63393
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Jisr al-Shughur,35.87756,36.32901
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Jisr ash Shughūr,35.81418,36.31983
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Kafr Takhārīm,36.1168,36.51522
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Kafranbel,35.61376,36.56449
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Khān Shaykhūn,35.44208,36.65095
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Ma‘arratmişrīn,36.01152,36.67183
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Maarrat al-Nu'man,35.53858,36.79193
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Salqīn,36.13865,36.45244
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Sarāqib,35.86447,36.80591
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Sarmīn,35.90403,36.72501
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,ID,Idlib,province,provincia,Taftanāz,35.99832,36.78579
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,LA,Latakia,province,provincia,Al-Haffah,35.59687,36.11198
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,LA,Latakia,province,provincia,Jablah,35.36211,35.92759
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,LA,Latakia,province,provincia,Jableh,35.29048,36.0449
SY,Syria,Siria,Asia,Asia,Western Asia,Asia Occidental,LA,Latakia,province,provincia,Kassab,35.92639,35.9897
