country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,HH,Hhohho,region,región,Bulembu,-25.96667,31.13333
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,HH,Hhohho,region,región,Hhukwini,-26.31972,31.22222
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,HH,Hhohho,region,región,Lobamba,-26.46667,31.2
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,HH,Hhohho,region,región,Mbabane,-26.31667,31.13333
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,HH,Hhohho,region,región,Nkhaba,-26.15728,31.16391
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,HH,Hhohho,region,región,Piggs Peak,-25.96082,31.24666
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,LU,Lubombo,region,región,Big Bend,-26.81667,31.93333
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,LU,Lubombo,region,región,Dvokodvweni Inkhundla,-26.45398,31.76456
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,LU,Lubombo,region,región,Lomashasha,-26.06644,32.00768
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,LU,Lubombo,region,región,Mhlume,-26.03333,31.85
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,LU,Lubombo,region,región,Nsoko,-27.03333,31.95
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,LU,Lubombo,region,región,Siteki,-26.4525,31.94722
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,LU,Lubombo,region,región,Tshaneni,-25.98333,31.71667
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,LU,Lubombo,region,región,Vuvulane,-26.07427,31.87672
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Bhunya,-26.55,31.01667
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Ekukhanyeni,-26.3875,31.52806
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Kwaluseni,-26.48333,31.33333
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Malkerns,-26.56667,31.18333
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Manzini,-26.49884,31.38004
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Manzini South,-26.48333,31.36667
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Mhlambanyatsi,-26.45,31.01667
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Ngwempisi,-26.6999,31.28876
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Ntondozi,-26.635,31.22556
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,MA,Manzini,region,región,Sidvokodvo,-26.6282,31.42021
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Hlatikulu,-26.97917,31.32444
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Hluti,-27.21667,31.61667
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Kubuta,-26.88333,31.48333
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Lavumisa,-27.31005,31.89198
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Matsanjeni,-27.21585,31.72309
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Ngudzeni,-27.03583,31.55111
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Nhlangano,-27.11222,31.19833
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Nkwene,-26.89778,31.24972
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Sigwe Inkhundla,-27.05821,31.64543
SZ,Eswatini,Suazilandia,Africa,África,Southern Africa,África Austral,SH,Shiselweni,region,región,Zombodze Ikhundla,-27.22746,31.33799
