country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
TD,Chad,Chad,Africa,África,Middle Africa,África Central,BG,Bahr el Gazel,province,provincia,Moussoro,13.64143,16.48941
TD,Chad,Chad,Africa,África,Middle Africa,África Central,BA,Batha,province,provincia,Ati,13.2154,18.3353
TD,Chad,Chad,Africa,África,Middle Africa,África Central,BA,Batha,province,provincia,Oum Hadjer,13.2954,19.6966
TD,Chad,Chad,Africa,África,Middle Africa,África Central,BO,Borkou,province,provincia,Faya-Largeau,17.9257,19.10428
TD,Chad,Chad,Africa,África,Middle Africa,África Central,CB,Chari-Baguirmi,province,provincia,Baguirmi Department,11.39833333,16.1675
TD,Chad,Chad,Africa,África,Middle Africa,África Central,CB,Chari-Baguirmi,province,provincia,Bousso,10.4825,16.71611111
TD,Chad,Chad,Africa,África,Middle Africa,África Central,CB,Chari-Baguirmi,province,provincia,Dababa,12.38,17.06
TD,Chad,Chad,Africa,África,Middle Africa,África Central,CB,Chari-Baguirmi,province,provincia,Gaoui,12.1807,15.1476
TD,Chad,Chad,Africa,África,Middle Africa,África Central,CB,Chari-Baguirmi,province,provincia,Linia,12.0562141,15.3037987
TD,Chad,Chad,Africa,África,Middle Africa,África Central,CB,Chari-Baguirmi,province,provincia,Mandjafa,11.19861111,15.36111111
TD,Chad,Chad,Africa,África,Middle Africa,África Central,CB,Chari-Baguirmi,province,provincia,Massenya,11.40277778,16.17
TD,Chad,Chad,Africa,África,Middle Africa,África Central,EE,Ennedi-Est,province,provincia,,,
TD,Chad,Chad,Africa,África,Middle Africa,África Central,EO,Ennedi-Ouest,province,provincia,Fada,17.18535,21.58114
TD,Chad,Chad,Africa,África,Middle Africa,África Central,GR,Guéra,province,provincia,Bitkine,11.9801,18.2138
TD,Chad,Chad,Africa,África,Middle Africa,África Central,GR,Guéra,province,provincia,Melfi,11.0598,17.9355
TD,Chad,Chad,Africa,África,Middle Africa,África Central,GR,Guéra,province,provincia,Mongo,12.18441,18.69303
TD,Chad,Chad,Africa,África,Middle Africa,África Central,HL,Hadjer-Lamis,province,provincia,Bokoro,12.37813,17.05876
TD,Chad,Chad,Africa,África,Middle Africa,África Central,HL,Hadjer-Lamis,province,provincia,Massaguet,12.47554,15.43647
TD,Chad,Chad,Africa,África,Middle Africa,África Central,HL,Hadjer-Lamis,province,provincia,Massakory,12.996,15.72927
TD,Chad,Chad,Africa,África,Middle Africa,África Central,KA,Kanem,province,provincia,Mao,14.12116,15.3103
TD,Chad,Chad,Africa,África,Middle Africa,África Central,LC,Lac,province,provincia,Bol,13.46706,14.71363
TD,Chad,Chad,Africa,África,Middle Africa,África Central,LO,Logone Occidental,province,provincia,Beïnamar,8.6698,15.3813
TD,Chad,Chad,Africa,África,Middle Africa,África Central,LO,Logone Occidental,province,provincia,Benoy,8.98327,16.31991
TD,Chad,Chad,Africa,África,Middle Africa,África Central,LO,Logone Occidental,province,provincia,Lac Wey,8.70502,15.98303
TD,Chad,Chad,Africa,África,Middle Africa,África Central,LO,Logone Occidental,province,provincia,Moundou,8.56667,16.08333
TD,Chad,Chad,Africa,África,Middle Africa,África Central,LR,Logone Oriental,province,provincia,Bébédja,8.6761,16.566
TD,Chad,Chad,Africa,África,Middle Africa,África Central,LR,Logone Oriental,province,provincia,Béboto,8.26681,16.93898
TD,Chad,Chad,Africa,África,Middle Africa,África Central,LR,Logone Oriental,province,provincia,Doba,8.65,16.85
TD,Chad,Chad,Africa,África,Middle Africa,África Central,MA,Mandoul,province,provincia,Goundi,9.36267,17.36597
TD,Chad,Chad,Africa,África,Middle Africa,África Central,MA,Mandoul,province,provincia,Koumra,8.91256,17.55392
TD,Chad,Chad,Africa,África,Middle Africa,África Central,MA,Mandoul,province,provincia,Moïssala,8.3404,17.7663
TD,Chad,Chad,Africa,África,Middle Africa,África Central,ME,Mayo-Kebbi Est,province,provincia,Bongor,10.28056,15.37222
TD,Chad,Chad,Africa,África,Middle Africa,África Central,ME,Mayo-Kebbi Est,province,provincia,Gounou Gaya,9.6294,15.5132
TD,Chad,Chad,Africa,África,Middle Africa,África Central,ME,Mayo-Kebbi Est,province,provincia,Guelendeng,10.91762,15.55011
TD,Chad,Chad,Africa,África,Middle Africa,África Central,MO,Mayo-Kebbi Ouest,province,provincia,Mboursou Léré,9.7639,14.1539
TD,Chad,Chad,Africa,África,Middle Africa,África Central,MO,Mayo-Kebbi Ouest,province,provincia,Pala,9.3642,14.9046
TD,Chad,Chad,Africa,África,Middle Africa,África Central,MC,Moyen-Chari,province,provincia,Kyabé,9.45149,18.94493
TD,Chad,Chad,Africa,África,Middle Africa,África Central,MC,Moyen-Chari,province,provincia,Sarh,9.1429,18.3923
TD,Chad,Chad,Africa,África,Middle Africa,África Central,ND,N'Djamena,province,provincia,N'Djamena,12.11,15.05
TD,Chad,Chad,Africa,África,Middle Africa,África Central,OD,Ouaddaï,province,provincia,Abéché,13.82916,20.8324
