country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,CHA,Changhua,county,condado,Changhua,23.95361,120.49083
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,CHA,Changhua,county,condado,Yuanlin,23.95671,120.57608
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,CYI,Chiayi,city,ciudad,Chiayi,23.47722,120.44527
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,CYI,Chiayi,city,ciudad,Pizitou,23.48556,120.44472
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,CYQ,Chiayi County,county,condado,Budai,23.36,120.17
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,CYQ,Chiayi County,county,condado,Chiayi,23.46333,120.58166
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,CYQ,Chiayi County,county,condado,Dalin,23.59888889,120.47
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,CYQ,Chiayi County,county,condado,Minxiong,23.550399,120.445696
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,HSZ,Hsinchu,city,ciudad,Hsinchu,24.67416,121.16111
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,HSQ,Hsinchu County,county,condado,Hsinchu,24.80361,120.96861
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,HSQ,Hsinchu County,county,condado,Hukou,24.9,121.05
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,HSQ,Hsinchu County,county,condado,Zhubei,24.83333333,121.01194444
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,HUA,Hualien,county,condado,Hualien,23.78166,121.39333
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,KHH,Kaohsiung,special municipality,municipio especial,Kaohsiung,22.61626,120.31333
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,KEE,Keelung,city,ciudad,,,
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,KIN,Kinmen,county,condado,Jincheng,24.43415,118.31712
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,KIN,Kinmen,county,condado,Kinmen,24.45333,118.38861
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,LIE,Lienchiang,county,condado,Lienchiang,26.37004,120.49545
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,LIE,Lienchiang,county,condado,Nangan,26.15039,119.93284
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,MIA,Miaoli,county,condado,Miaoli,24.48972,120.90638
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,NAN,Nantou,county,condado,Lugu,23.74639,120.7525
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,NAN,Nantou,county,condado,Nantou,23.83419,120.92704
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,NAN,Nantou,county,condado,Puli,23.96639,120.96952
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,NAN,Nantou,county,condado,Zhongxing New Village,23.95908,120.68516
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,NWT,New Taipei,special municipality,municipio especial,,,
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,PEN,Penghu,county,condado,Magong,23.5654,119.58627
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,PEN,Penghu,county,condado,Penghu,23.57111,119.61138
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,PIF,Pingtung,county,condado,Donggang,22.46515,120.44927
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,PIF,Pingtung,county,condado,Hengchun,22.00417,120.74389
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,PIF,Pingtung,county,condado,Pingtung,22.49555,120.61444
TW,Taiwan,Taiwán,Asia,Asia,Eastern Asia,Asia Oriental,TXG,Taichung,special municipality,municipio especial,Taichung,24.1469,120.6839
