country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Abrikosovka,45.10759,35.10139
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Abrikosovo,45.69236,34.10156
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Aeroflotskiy,45.01816,33.99961
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Agrarnoye,45.01596,34.05725
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Akimovka,45.51981,34.82438
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Aleksandrovka,45.57654,34.09947
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Alekseyevka,45.58194,33.6298
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Alupka,44.41808,34.04531
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Alushta,44.67728,34.4097
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Amurskoye,45.27822,34.12823
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Armyansk,46.10919,33.69206
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Aromatnoye,45.03678,34.39921
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Azovskoye,45.58604,34.5668
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Baherove,45.37417,36.29705
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Bakhchysarai,44.75525,33.85782
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Bakhchysarai Raion,44.75002,33.8633
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Batal’noye,45.19402,35.61583
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Belinskoye,45.37465,36.08212
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Beloglinka,44.9949,34.04167
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Belogorskiy rayon,45.063,34.55675
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Beregovoye,45.0947,35.43385
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Berezovka,45.57471,33.34397
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Bilohirsk,45.05462,34.60185
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Blizhneye,45.05694,35.33056
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Bogatoye,45.02933,34.76732
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Botanicheskoye,45.78656,33.54856
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Bratskoye,45.8317,33.92151
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chapayevka,45.28119,34.89428
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chaykino,45.08223,34.08673
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chelyadinovo,45.20729,36.3762
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chernomorskiy rayon,45.48798,32.92614
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chernomorskoye,45.50657,32.69776
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chernopolye,45.04399,34.63916
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chernovo,45.50833,33.93397
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chernozemnoye,45.40808,34.8199
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chernyshevo,45.78202,33.42825
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chervonoye,45.12294,33.68662
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chisten’koye,44.88152,34.04716
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chistopolye,45.36541,36.18312
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Chkalovo,45.60474,34.83395
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dachnoye,44.88448,34.98333
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dalekoye,45.66006,33.08059
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dmitrovka,45.48411,35.0588
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dneprovka,45.71373,34.36256
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dobroye,44.86632,34.22661
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dobrushino,45.37441,33.36547
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dolinnoye,44.7532,33.77766
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Donskoye,45.04509,34.21413
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Drofino,45.28629,34.61589
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dubki,44.93581,34.02355
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dzhankoy,45.71168,34.39274
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Dzhankoyskiy rayon,45.78706,34.39197
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Feodosiya,45.03677,35.37789
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Filatovka,46.08192,33.7851
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Fontany,44.89717,34.07297
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Foros,44.39214,33.78798
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Frunze,45.02688,33.62956
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Gaspra,44.43364,34.10297
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Geroyskoye,45.13857,33.74675
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Glazovka,45.38792,36.57965
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Golubinka,44.59382,33.91521
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Gornostayevka,45.27819,36.18601
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Gorodskoy okrug Alushta,44.67256,34.41467
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Gorodskoy okrug Armyansk,46.10871,33.69095
UA,Ukraine,Ucrania,Europe,Europa,Eastern Europe,Europa Oriental,43,Autonomous Republic of Crimea,republic,república,Gorodskoy okrug Dzhankoy,45.7081,34.39407
