country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Abbeville,31.57184,-85.25049
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Adamsville,33.60094,-86.95611
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Alabaster,33.24428,-86.81638
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Albertville,34.26783,-86.20878
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Alexander City,32.94401,-85.95385
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Alexandria,33.77399,-85.88552
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Aliceville,33.12957,-88.15142
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Andalusia,31.30808,-86.48243
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Anniston,33.65983,-85.83163
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Arab,34.31815,-86.49582
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Argo,33.68778,-86.50051
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Ashford,31.18296,-85.23632
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Ashland,33.27373,-85.83607
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Ashville,33.83704,-86.25442
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Athens,34.80243,-86.97219
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Atmore,31.02379,-87.49387
US,United States,Estados Unidos,Americas,América,Northern America,Norteamérica,AL,Alabama,state,estado,Attalla,34.02176,-86.08859
