country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
YE,Yemen,Asia,Western Asia,AB,Abyan,Ahwar,13.6853,46.7556
YE,Yemen,Asia,Western Asia,AB,Abyan,Al Mahfad,13.9705,46.756
YE,Yemen,Asia,Western Asia,AB,Abyan,Al Wade'a,13.7136,46.0122
YE,Yemen,Asia,Western Asia,AB,Abyan,Jawf al Maqbābah,13.83783,45.83488
YE,Yemen,Asia,Western Asia,AB,Abyan,Jayshan,14.1662,46.1723
YE,Yemen,Asia,Western Asia,AB,Abyan,Khanfir,13.42049,45.68707
YE,Yemen,Asia,Western Asia,AB,Abyan,Lawdar,13.8059,45.8008
YE,Yemen,Asia,Western Asia,AB,Abyan,Mudiyah,13.9096,46.2196
YE,Yemen,Asia,Western Asia,AB,Abyan,Rasad,13.7231,45.2814
YE,Yemen,Asia,Western Asia,AB,Abyan,Sarar,13.583,45.3508
YE,Yemen,Asia,Western Asia,AB,Abyan,Sibah,13.8091,45.4023
YE,Yemen,Asia,Western Asia,AB,Abyan,Zingibar,13.1342,45.4304
YE,Yemen,Asia,Western Asia,AB,Abyan,Zinjibār,13.12871,45.38073
YE,Yemen,Asia,Western Asia,DA,Ad Dali',Ad Dali',13.7,44.73
YE,Yemen,Asia,Western Asia,AD,Adan,Aden,12.77944,45.03667
YE,Yemen,Asia,Western Asia,AD,Adan,Al Buraiqeh,12.80377,44.77615
YE,Yemen,Asia,Western Asia,AD,Adan,Al Mansura,12.8532,44.9724
YE,Yemen,Asia,Western Asia,AD,Adan,Al Mualla,12.65843,43.42743
YE,Yemen,Asia,Western Asia,AD,Adan,Ash Shaikh Outhman,12.8864,45.0156
YE,Yemen,Asia,Western Asia,AD,Adan,Attawahi,12.7741,44.9941
YE,Yemen,Asia,Western Asia,AD,Adan,Craiter,12.7731,45.0381
YE,Yemen,Asia,Western Asia,AD,Adan,Dar Sad,12.907,44.9784
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Al A'rsh,14.3656,44.7778
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Al Bayda,13.98523,45.57272
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Al Bayḑā’,13.93666,45.54822
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Al Malagim,14.3654,45.3851
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Al Quraishyah,14.605,44.8896
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Ar Ryashyyah,14.2424,44.7754
YE,Yemen,Asia,Western Asia,BA,Al Bayda',As Sawadiyah,14.45198,45.36973
YE,Yemen,Asia,Western Asia,BA,Al Bayda',As Sawma'ah,14.1667,45.8311
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Ash Sharafayn,14.30697,45.12634
YE,Yemen,Asia,Western Asia,BA,Al Bayda',At Taffah,14.1983,45.3581
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Az Zahir,13.9918,45.4218
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Dhi Na'im,14.1111,45.4642
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Maswarah,14.4027,45.7033
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Mukayras,14.032,45.7964
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Na'man,14.5939,45.5286
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Nati',14.5539,45.585
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Radā‘,14.34,44.90874
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Radman Al Awad,14.4836,45.2744
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Sabah,14.2759,44.67
YE,Yemen,Asia,Western Asia,BA,Al Bayda',Wald Rabi',14.55574,44.90596
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Ad Dahi,15.2232,43.1935
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Ad Durayhimi,14.6046,43.0718
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Garrahi,14.1058,43.4094
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Hajjaylah,14.9907,43.5823
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Hali,14.825,43.0014
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Hawak,14.7601,42.9978
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Ḩudaydah,14.79781,42.95452
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Mansuriyah,14.6903,43.3682
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Marawi'ah,14.8346,43.1965
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Mighlaf,15.3111,43.1836
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Mina,14.80775,42.93732
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Munirah,15.3528,42.9062
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Al Qanawis,15.49206,43.13782
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Alluheyah,15.63628,42.87157
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,As Salif,15.22882,42.72542
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,As Sukhnah,14.7484,43.3342
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,At Tuhayat,14.10994,43.15979
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Az Zaydīyah,15.29586,43.06452
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Az Zuhrah,15.7173,43.0637
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Bājil,15.07561,43.1735
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Bayt al Faqīh,14.48738,43.27815
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Bura,14.8982,43.4753
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Hays,13.9332,43.4984
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Jabal Ra's,14.0309,43.6278
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Kamaran,15.3605,42.5854
YE,Yemen,Asia,Western Asia,HU,Al Hudaydah,Zabīd,14.27742,43.36841
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Al ‘Inān,16.72189,44.31252
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Al Ghayl,16.0914,44.6852
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Al Hazm,16.0378,44.9585
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Al Humaydat,16.4667,44.4299
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Al Khalq,16.0681,44.797
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Al Maslub,16.0961,44.5667
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Al Matammah,16.1984,44.3902
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Al Maton,16.2872,44.6389
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Barţ al ‘Anān,16.91972,44.51882
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Khabb wa ash Sha'af,16.5975,45.7853
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Kharab Al Marashi,16.6107,44.2255
YE,Yemen,Asia,Western Asia,JA,Al Jawf,Rajuzah,16.6342,44.5042
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Al Ghaydah,16.2618,52.0816
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Al Ghayz̧ah,16.20787,52.17605
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Al Masilah,15.6399,50.6445
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Hat,17.8031,51.675
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Hawf,16.6953,52.8182
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Huswain,15.723,51.9124
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Man'ar,16.5505,50.9879
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Qishn,15.6999,51.324
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Sayhut,15.5345,51.2869
YE,Yemen,Asia,Western Asia,MR,Al Mahrah,Shahan,17.5923,52.594
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Al Khabt,15.4817,43.3677
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Al Mahwait,15.4117,43.5663
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Al Maḩwīt,15.47007,43.54481
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Ar Rujum,15.4101,43.6606
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Aţ Ţawīlah,15.44165,43.77484
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Bani Sa'd,15.2355,43.5156
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Hufash,15.3747,43.4265
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Milhan,15.3224,43.3318
YE,Yemen,Asia,Western Asia,MW,Al Mahwit,Shibām Kawkabān,15.50277,43.84237
YE,Yemen,Asia,Western Asia,SA,Amanat Al Asimah,Sanaa,15.35472,44.20667
YE,Yemen,Asia,Western Asia,AM,Amran,‘Amrān,15.6594,43.94385
YE,Yemen,Asia,Western Asia,AM,Amran,Al Ashah,16.324,43.7874
YE,Yemen,Asia,Western Asia,AM,Amran,Al Madan,16.2328,43.639
YE,Yemen,Asia,Western Asia,AM,Amran,Al Qaflah,16.33859,43.70361
YE,Yemen,Asia,Western Asia,AM,Amran,As Sawd,15.8134,43.777
YE,Yemen,Asia,Western Asia,AM,Amran,As Sudah,15.9664,43.7756
YE,Yemen,Asia,Western Asia,AM,Amran,Bani Suraim,16.1253,43.9602
YE,Yemen,Asia,Western Asia,AM,Amran,Dhi Bin,16.0276,44.1515
YE,Yemen,Asia,Western Asia,AM,Amran,Habur Zulaymah,16.035,43.7338
YE,Yemen,Asia,Western Asia,AM,Amran,Harf Sufyan,16.41389,43.98571
YE,Yemen,Asia,Western Asia,AM,Amran,Hooth,16.28397,43.97811
YE,Yemen,Asia,Western Asia,AM,Amran,Iyal Surayh,15.7146,43.9974
YE,Yemen,Asia,Western Asia,AM,Amran,Jabal Iyal Yazid,15.7717,43.9051
