country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
YT,Mayotte,Africa,Eastern Africa,14,Acoua,Acoua,-12.72391,45.05819
YT,Mayotte,Africa,Eastern Africa,14,Acoua,Mtsangadoua,-12.71112,45.05118
YT,Mayotte,Africa,Eastern Africa,16,Bandraboua,Bandraboua,-12.7044,45.12231
YT,Mayotte,Africa,Eastern Africa,16,Bandraboua,Bouyouni,-12.73462,45.13914
YT,Mayotte,Africa,Eastern Africa,16,Bandraboua,Dzumogne,-12.71667,45.11667
YT,Mayotte,Africa,Eastern Africa,16,Bandraboua,Handréma,-12.68112,45.09965
YT,Mayotte,Africa,Eastern Africa,16,Bandraboua,Mtsangamboua,-12.69033,45.10926
YT,Mayotte,Africa,Eastern Africa,05,Bandrélé,Bandrele,-12.91276,45.19256
YT,Mayotte,Africa,Eastern Africa,05,Bandrélé,Hamouro,-12.8813,45.21494
YT,Mayotte,Africa,Eastern Africa,05,Bandrélé,Mtsamoudou,-12.96232,45.17449
YT,Mayotte,Africa,Eastern Africa,05,Bandrélé,Nyambadao,-12.89346,45.20214
YT,Mayotte,Africa,Eastern Africa,07,Boueni,Bouéni,-12.9025,45.07611
YT,Mayotte,Africa,Eastern Africa,07,Boueni,Mouanatrindri,-12.8996,45.09792
YT,Mayotte,Africa,Eastern Africa,07,Boueni,Mzouazia,-12.92717,45.10336
YT,Mayotte,Africa,Eastern Africa,11,Chiconi,Chiconi,-12.83333,45.11056
YT,Mayotte,Africa,Eastern Africa,11,Chiconi,Sohoa,-12.82233,45.10552
YT,Mayotte,Africa,Eastern Africa,08,Chirongui,Chirongui,-12.93194,45.14833
YT,Mayotte,Africa,Eastern Africa,08,Chirongui,Miréréni,-12.90708,45.15295
YT,Mayotte,Africa,Eastern Africa,08,Chirongui,Mramadoudou,-12.92846,45.15324
YT,Mayotte,Africa,Eastern Africa,08,Chirongui,Poroani,-12.89226,45.14121
YT,Mayotte,Africa,Eastern Africa,08,Chirongui,Tsimkoura,-12.93934,45.13739
YT,Mayotte,Africa,Eastern Africa,04,Dembeni,Dembeni,-12.8436,45.18436
YT,Mayotte,Africa,Eastern Africa,04,Dembeni,Hajangoua,-12.86607,45.19857
YT,Mayotte,Africa,Eastern Africa,04,Dembeni,Iloni,-12.84553,45.19037
YT,Mayotte,Africa,Eastern Africa,04,Dembeni,Ongojou,-12.83883,45.16012
YT,Mayotte,Africa,Eastern Africa,04,Dembeni,Tsararano,-12.83528,45.17355
YT,Mayotte,Africa,Eastern Africa,01,Dzaoudzi,Dzaoudzi,-12.78339,45.25693
YT,Mayotte,Africa,Eastern Africa,01,Dzaoudzi,Labattoir,-12.77698,45.28234
YT,Mayotte,Africa,Eastern Africa,06,Kani Keli,Kani-Kéli,-12.95361,45.10333
YT,Mayotte,Africa,Eastern Africa,17,Koungou,Kangani,-12.73186,45.18694
YT,Mayotte,Africa,Eastern Africa,17,Koungou,Koungou,-12.73361,45.20417
YT,Mayotte,Africa,Eastern Africa,17,Koungou,Longoni,-12.73426,45.16298
YT,Mayotte,Africa,Eastern Africa,17,Koungou,Majikavo Koropa,-12.74701,45.22058
YT,Mayotte,Africa,Eastern Africa,17,Koungou,Trévani,-12.73437,45.19861
YT,Mayotte,Africa,Eastern Africa,13,M'Tsangamouji,Chembényoumba,-12.76472,45.07793
YT,Mayotte,Africa,Eastern Africa,13,M'Tsangamouji,M'Tsangamouji,-12.75944,45.08361
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Combani,-12.8,45.16667
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Kaouéni,-12.77121,45.22419
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Kavani,-12.78447,45.22299
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Majikavo Lamir,-12.75572,45.22968
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Mamoudzou,-12.78234,45.22878
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Mtsapéré,-12.78636,45.21732
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Passamainty,-12.80201,45.20818
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Tsoundzou 1,-12.80615,45.2023
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Tsoundzou 2,-12.81845,45.1972
YT,Mayotte,Africa,Eastern Africa,03,Mamoudzou,Vahibé,-12.79024,45.17707
YT,Mayotte,Africa,Eastern Africa,15,Mtsamboro,Hamjago,-12.68832,45.0745
YT,Mayotte,Africa,Eastern Africa,15,Mtsamboro,Mtsahara,-12.68137,45.08274
YT,Mayotte,Africa,Eastern Africa,15,Mtsamboro,Mtsamboro,-12.69982,45.06894
YT,Mayotte,Africa,Eastern Africa,10,Ouangani,Barakani,-12.83799,45.1312
YT,Mayotte,Africa,Eastern Africa,10,Ouangani,Kahani,-12.82385,45.13141
YT,Mayotte,Africa,Eastern Africa,10,Ouangani,Ouangani,-12.84639,45.13611
YT,Mayotte,Africa,Eastern Africa,02,Pamandzi,Pamandzi,-12.79674,45.27938
YT,Mayotte,Africa,Eastern Africa,09,Sada,Mangajou,-12.84404,45.11716
YT,Mayotte,Africa,Eastern Africa,09,Sada,Sada,-12.85055,45.10205
YT,Mayotte,Africa,Eastern Africa,12,Tsingoni,Miréréni,-12.78867,45.14113
YT,Mayotte,Africa,Eastern Africa,12,Tsingoni,Tsingoni,-12.78722,45.10278
