country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
ZW,Zimbabwe,Africa,Eastern Africa,BU,Bulawayo,Bulawayo,-20.15,28.58333
ZW,Zimbabwe,Africa,Eastern Africa,HA,Harare,Chitungwiza,-18.01274,31.07555
ZW,Zimbabwe,Africa,Eastern Africa,HA,Harare,Epworth,-17.89,31.1475
ZW,Zimbabwe,Africa,Eastern Africa,HA,Harare,Harare,-17.82772,31.05337
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Buhera,-19.45658,31.93156
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Chimanimani,-19.8,32.86667
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Chimanimani District,-19.78295,32.73338
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Chipinge,-20.18833,32.62365
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Chipinge District,-20.54959,32.4311
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Dorowa Mining Lease,-19.06667,31.75
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Headlands,-18.27733,32.0515
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Makoni,-18.3355,32.1465
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Mutare,-18.9707,32.67086
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Mutare District,-19.25512,32.44327
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Mutasa,-18.66283,32.74547
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Nyanga,-18.21667,32.75
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Nyanga District,-17.92951,32.76561
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Nyazura,-18.70587,32.16796
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Odzi,-18.96167,32.40557
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Penhalonga,-18.89112,32.69781
ZW,Zimbabwe,Africa,Eastern Africa,MA,Manicaland,Rusape,-18.52785,32.12843
