city_name,latitude,longitude
Acton,-35.27767,149.11829
Ainslie,-35.26255,149.1437
Amaroo,-35.16959,149.12802
Aranda,-35.25817,149.0804
Banks,-35.47194,149.09965
Barton,-35.30489,149.14121
Belconnen,-35.23798,149.06627
Bonner,-35.16225,149.13855
Bonython,-35.43326,149.07822
Braddon,-35.27078,149.13569
Bruce,-35.24405,149.09083
Calwell,-35.44042,149.10707
Campbell,-35.28907,149.15382
Canberra,-35.28346,149.12807
Casey,-35.16701,149.0947
Chapman,-35.35621,149.03742
Charnwood,-35.20019,149.03412
Chifley,-35.3534,149.07684
Chisholm,-35.41249,149.12825
Conder,-35.45926,149.10422
Cook,-35.26014,149.06566
Coombs,-35.31634,149.03941
Crace,-35.20282,149.10736
Curtin,-35.32464,149.07763
Deakin,-35.31927,149.10308
Dickson,-35.25082,149.13932
Downer,-35.24457,149.14468
Duffy,-35.33459,149.03188
Dunlop,-35.19402,149.01984
Evatt,-35.21191,149.06891
Fadden,-35.405,149.11662
Farrer,-35.37673,149.105
Fisher,-35.36126,149.05704
Florey,-35.22588,149.05
Flynn,-35.20593,149.04389
Forde,-35.16823,149.14607
Forrest,-35.31499,149.12859
Franklin,-35.19946,149.14329
Fraser,-35.1917,149.04534
Garran,-35.34206,149.10846
Gilmore,-35.41994,149.13481
Giralang,-35.21093,149.096
Gordon,-35.45676,149.08498
Gowrie,-35.41187,149.10903
Greenway,-35.41829,149.06658
Griffith,-35.32533,149.13714
Gungahlin,-35.18674,149.13619
Hackett,-35.24948,149.16352
Harrison,-35.19906,149.15631
Hawker,-35.24707,149.03666
Higgins,-35.23242,149.0272
Holder,-35.33439,149.04614
Holt,-35.22441,149.01188
Hughes,-35.33269,149.09491
Isaacs,-35.36862,149.11555
Isabella Plains,-35.42829,149.08795
Kaleen,-35.21814,149.10516
Kambah,-35.38624,149.05804
Kingston,-35.31525,149.14658
Latham,-35.21652,149.03144
Lyneham,-35.2398,149.13074
Lyons,-35.3406,149.07396
Macarthur,-35.40885,149.12696
Macgregor,-35.2098,149.01101
Macquarie,-35.25126,149.06363
Mawson,-35.3634,149.09863
McKellar,-35.21752,149.07704
Melba,-35.21016,149.05405
Monash,-35.41577,149.09063
Narrabundah,-35.3357,149.14924
Ngunnawal,-35.1728,149.11147
Nicholls,-35.18733,149.09648
O'Connor,-35.25645,149.11248
Oxley,-35.40952,149.0786
Page,-35.23864,149.04988
Palmerston,-35.19447,149.1194
Pearce,-35.36222,149.08338
Phillip,-35.35035,149.09151
Red Hill,-35.32624,149.11906
Reid,-35.28578,149.13905
Richardson,-35.42787,149.11377
Rivett,-35.34709,149.0379
Scullin,-35.23462,149.039
Spence,-35.19873,149.06438
Stirling,-35.34969,149.0493
Theodore,-35.44962,149.11971
Torrens,-35.37203,149.08773
Turner,-35.26881,149.12465
Wanniassa,-35.39783,149.09086
Waramanga,-35.35297,149.06214
Watson,-35.23815,149.15271
Weetangera,-35.25,149.05
Weston,-35.33582,149.05929
Wright,-35.32239,149.03456
Yarralumla,-35.2998,149.10585
