city_name,latitude,longitude
Abbey,-33.66364,115.25635
Albany,-34.7099,118.12345
Albany city centre,-35.02479,117.88472
Alexander Heights,-31.82758,115.86501
Alfred Cove,-32.03316,115.81259
Alkimos,-31.63039,115.68638
Applecross,-32.01667,115.83333
Ardross,-32.02696,115.83548
Armadale,-32.17887,116.1275
Ascot,-31.93818,115.92258
Ashburton,-22.27674,116.90057
Ashby,-31.73255,115.79768
Ashfield,-31.91721,115.93796
Attadale,-32.02489,115.802
Atwell,-32.14346,115.86528
Aubin Grove,-32.16714,115.86264
Augusta,-34.31566,115.15922
Augusta-Margaret River Shire,-34.1152,115.32277
Australind,-33.2792,115.71504
Aveley,-31.78132,115.98959
Badgingarra,-30.4436733,115.4747145
Bakers Hill,-31.74692,116.45866
Balcatta,-31.87501,115.82839
Baldivis,-32.32889,115.83047
Balga,-31.85497,115.83986
Ballajura,-31.84062,115.89549
Banjup,-32.14179,115.88671
Banksia Grove,-31.69615,115.80501
Bassendean,-31.90584,115.94501
Bateman,-32.05547,115.84737
Baynton,-20.75164,116.80139
Bayonet Head,-34.97305,117.93446
Bayswater,-31.91181,115.9087
Beachlands,-28.7857,114.60192
Beaconsfield,-32.06748,115.76401
Beckenham,-32.02481,115.95989
Bedford,-31.91132,115.8892
Bedfordale,-32.17406,116.0504
Beechboro,-31.86515,115.93661
Beeliar,-32.13339,115.80637
Beldon,-31.77466,115.7627
Bellevue,-31.90116,116.02762
Belmont,-31.95458,115.94218
Bennett Springs,-31.85941,115.94512
Bentley,-32.00224,115.92473
Beresford,-28.75754,114.61965
Bertram,-32.24369,115.84572
Beverley,-32.10839,116.92736
Bibra Lake,-32.09764,115.81921
Bicton,-32.02778,115.78333
Bilingurr,-17.90909,122.22921
Bindoon,-31.38663,116.09664
Binningup,-33.1483,115.69519
Bluff Point,-28.7374,114.62278
Boddington,-32.79195,116.41883
Booragoon,-32.03945,115.83369
Boulder,-30.78204,121.4912
Boyanup,-33.48295,115.72838
Boyup Brook,-33.88555,116.51885
Brabham,-31.82728,115.97417
Brentwood,-32.04347,115.85246
Bridgetown,-33.96242,116.13598
Bridgetown-Greenbushes,-33.99234,116.22502
Broadwater,-33.66304,115.2842
Brockman,-24.88126,113.65365
Brookdale,-32.16696,116.00193
Brookton,-32.35533,116.99994
Broome,-17.94041,122.64038
Broomehill-Tambellup,-34.0132,117.65297
Bruce Rock,-31.96651,118.02385
Brunswick,-33.2324,115.86282
Bulgarra,-20.72584,116.85673
Bull Creek,-32.05625,115.86242
Bullsbrook,-31.66905,115.9999
Bunbury,-33.32711,115.64137
Burns Beach,-31.7206,115.7205
Burswood,-31.95872,115.90396
Busselton,-33.68477,115.3708
Busselton city cenre,-33.65078,115.34932
Butler,-31.64298,115.70431
Byford,-32.22099,116.009
Cable Beach,-17.96098,122.21269
Calista,-32.241,115.79763
