city_name,latitude,longitude
Afonso Cláudio,-20.10512,-41.12422
Água Doce do Norte,-18.50646,-40.9919
Águia Branca,-18.98306,-40.74028
Alegre,-20.70897,-41.51937
Alfredo Chaves,-20.54245,-40.82368
Alto Rio Novo,-19.03248,-40.99144
Anchieta,-20.7342,-40.70056
Apiacá,-21.08025,-41.561
Aracruz,-19.81952,-40.19097
Atílio Vivacqua,-20.95472,-41.19096
Baixo Guandu,-19.51889,-41.01583
Barra de São Francisco,-18.755,-40.89083
Boa Esperança,-18.54,-40.29583
Bom Jesus do Norte,-21.08831,-41.63939
Brejetuba,-20.15621,-41.3065
Cachoeiro de Itapemirim,-20.84889,-41.11278
Cariacica,-20.3005,-40.46919
Castelo,-20.60361,-41.18472
Colatina,-19.53944,-40.63056
Conceição da Barra,-18.5854,-39.73618
Conceição do Castelo,-20.36226,-41.26622
Divino de São Lourenço,-20.59751,-41.72185
Domingos Martins,-20.36333,-40.65917
Dores do Rio Preto,-20.63511,-41.81208
Ecoporanga,-18.37333,-40.83056
Fundão,-19.98985,-40.31579
Governador Lindenberg,-19.20034,-40.4951
Guaçuí,-20.76804,-41.71116
Guarapari,-20.67182,-40.50196
Ibatiba,-20.23389,-41.51056
Ibiraçu,-19.83194,-40.36972
Ibitirama,-20.51148,-41.66962
Iconha,-20.74759,-40.8657
Irupi,-20.34528,-41.64111
Itaguaçu,-19.80194,-40.85556
Itapemirim,-21.01111,-40.83389
Itarana,-19.87389,-40.87528
Iúna,-20.34583,-41.53583
Jaguaré,-18.99187,-39.97521
Jerônimo Monteiro,-20.81243,-41.39536
Jetibá,-20.02069,-40.68145
João Neiva,-19.7575,-40.38556
Laranja da Terra,-19.89889,-41.05667
Linhares,-19.39111,-40.07222
Mantenópolis,-18.8625,-41.12278
Marataizes,-21.04333,-40.82444
Marechal Floriano,-20.41278,-40.68306
Marilândia,-19.42199,-40.52021
Mimoso do Sul,-21.10474,-41.37566
Montanha,-18.12694,-40.36333
Mucurici,-18.09333,-40.51583
Muniz Freire,-20.46417,-41.41306
Muqui,-20.91522,-41.30089
Nova Venécia,-18.71056,-40.40056
Pancas,-19.225,-40.85139
Pedro Canário,-18.20359,-40.03155
Pinheiros,-18.34486,-40.20984
Piúma,-20.83106,-40.72932
Ponto Belo,-18.25222,-40.49863
Presidente Kennedy,-21.14995,-41.07293
Rio Bananal,-19.265,-40.33333
Rio Novo do Sul,-20.78326,-40.93976
Santa Leopoldina,-20.10056,-40.52972
Santa Maria de Jetibá,-20.02745,-40.74336
Santa Teresa,-19.93556,-40.60028
São Domingos do Norte,-19.1297,-40.55454
São Gabriel da Palha,-18.97356,-40.52522
São José do Calçado,-20.98599,-41.66419
São Mateus,-18.72011,-39.85891
São Roque do Canaã,-19.73027,-40.67143
Serra,-20.10822,-40.30186
Sooretama,-19.08218,-40.14134
Vargem Alta,-20.64727,-41.00855
Venda Nova do Imigrante,-20.38487,-41.13539
Viana,-20.36757,-40.51413
Vila Pavão,-18.61186,-40.65163
Vila Valério,-18.97995,-40.36633
Vila Velha,-20.32972,-40.2925
Vitória,-20.31944,-40.33778
