city_name,latitude,longitude
Abadia de Goiás,-16.77762,-49.46841
Abadiânia,-16.22632,-48.62681
Acreúna,-17.43605,-50.26696
Adelândia,-16.38577,-50.18846
Água Fria de Goiás,-14.96056,-47.84963
Água Limpa,-18.07999,-48.79951
Águas Lindas de Goiás,-15.76613,-48.28611
Alexânia,-16.14926,-48.45973
Aloândia,-17.69411,-49.44985
Alto Horizonte,-14.20236,-49.435
Alto Paraíso de Goiás,-14.18198,-47.45902
Alvorada do Norte,-14.52424,-46.64133
Amaralina,-13.8139,-49.63205
Americano do Brasil,-16.26498,-49.99408
Amorinópolis,-16.6342,-51.09852
Anápolis,-16.32667,-48.95278
Anhanguera,-18.31505,-48.2219
Anicuns,-16.38582,-49.97942
Aparecida de Goiânia,-16.82333,-49.24389
Aparecida do Rio Doce,-18.22963,-51.2414
Aporé,-18.74325,-52.06942
Araçu,-16.38304,-49.70782
Aragarças,-15.94743,-52.08069
Aragoiânia,-16.95418,-49.40598
Araguapaz,-15.12986,-50.4984
Arenópolis,-16.36096,-51.60464
Aruanã,-14.8102,-50.94501
Aurilândia,-16.67681,-50.52582
Avelinópolis,-16.49121,-49.76368
Baliza,-16.36672,-52.43611
Barro Alto,-14.91276,-48.87739
Bela Vista de Goiás,-16.97278,-48.95333
Bom Jardim de Goiás,-16.27033,-52.05682
Bom Jesus de Goiás,-18.19213,-49.89536
Bonfinópolis,-16.59726,-49.01486
Bonópolis,-13.57725,-49.89702
Brazabrantes,-16.37909,-49.38445
Britânia,-15.21115,-51.14785
Buriti Alegre,-18.14,-49.04028
Buriti de Goiás,-16.16439,-50.42918
Buritinópolis,-14.40974,-46.31759
Cabeceiras,-15.73747,-47.03428
Cachoeira Alta,-18.54284,-50.98208
Cachoeira de Goiás,-16.72507,-50.68613
Cachoeira Dourada,-18.49516,-49.65104
Caçu,-18.55667,-51.13083
Caiapônia,-16.95987,-51.79148
Caldas Novas,-17.73126,-48.65479
Caldazinha,-16.74858,-49.00064
Campestre de Goiás,-16.78337,-49.70958
Campinaçu,-13.86371,-48.56754
Campinorte,-14.045,-48.97524
Campo Alegre de Goiás,-17.67336,-47.77801
Campo Limpo de Goiás,-16.30048,-49.09041
Campos Belos,-13.03667,-46.77167
Campos Verdes,-14.19022,-49.65835
Carmo do Rio Verde,-15.35361,-49.7075
Castelândia,-18.15581,-50.34
Catalão,-18.16583,-47.94639
Caturaí,-16.46981,-49.59556
Cavalcante,-13.7975,-47.45833
Ceres,-15.2735,-49.64455
Cezarina,-17.11818,-49.72995
