city_name,latitude,longitude
Água Clara,-19.89787,-52.95089
Alcinópolis,-18.19955,-53.75814
Amambai,-23.1271,-54.9579
Anastácio,-20.76269,-55.73052
Anaurilândia,-22.14199,-52.72011
Angélica,-22.0278,-53.86668
Antônio João,-22.20114,-55.93897
Aparecida do Taboado,-20.00909,-51.34632
Aquidauana,-20.4579,-55.83801
Aral Moreira,-22.90946,-55.37007
Bandeirantes,-19.80863,-54.33095
Bataguassu,-21.7855,-52.56542
Bataiporã,-22.29528,-53.27111
Batayporã,-22.46496,-53.17683
Bela Vista,-22.10889,-56.52111
Bodoquena,-20.48226,-56.65893
Bonito,-21.12111,-56.48194
Brasilândia,-21.11993,-52.43829
Caarapó,-22.63417,-54.82222
Camapuã,-19.05769,-53.85781
Campo Grande,-20.44278,-54.64639
Campo Verde,-20.41667,-54.06667
Caracol,-21.96712,-57.12672
Cassilândia,-19.11333,-51.73417
Chapadão do Sul,-19.06696,-52.74056
Corguinho,-19.81861,-55.00199
Coronel Sapucaia,-23.33759,-55.38899
Corumbá,-19.00917,-57.65333
Costa Rica,-18.63739,-53.27361
Coxim,-18.50667,-54.76
Deodápolis,-22.0804,-54.20322
Dois Irmãos do Buriti,-20.57189,-55.36839
Douradina,-21.98525,-54.58145
Dourados,-22.22111,-54.80556
Eldorado,-23.78694,-54.28361
Fátima do Sul,-22.34424,-54.37064
Figueirão,-18.675,-53.6425
Glória de Dourados,-22.48388,-54.09006
Guia Lopes da Laguna,-21.61081,-55.93458
Iguatemi,-23.42596,-54.55844
Inocência,-19.6715,-52.04393
Itaporã,-21.92184,-54.81409
Itaquiraí,-23.4708,-54.19281
Ivinhema,-22.38076,-53.75565
Japorã,-23.7941,-54.54402
Jaraguari,-20.27238,-54.23743
Jardim,-21.48028,-56.13806
Jateí,-22.73989,-53.81496
Juti,-22.85356,-54.52155
Ladário,-19.10505,-57.58416
Laguna Carapã,-22.71043,-55.08248
Maracaju,-21.61444,-55.16833
Miranda,-20.24056,-56.37833
Mundo Novo,-23.92628,-54.25746
Naviraí,-23.065,-54.19056
Nioaque,-21.18151,-55.75856
Nova Alvorada do Sul,-21.48079,-54.1526
Nova Andradina,-21.88205,-53.46637
Novo Horizonte do Sul,-22.63068,-53.73643
Paraíso das Águas,-19.0175,-53.01222
Paranaíba,-19.67722,-51.19083
Paranhos,-23.89278,-55.43111
Pedro Gomes,-17.83882,-54.12943
Ponta Porã,-22.53611,-55.72556
Pôrto Barra do Ivinheima,-22.96667,-53.66667
Porto Murtinho,-21.69889,-57.8825
Ribas do Rio Pardo,-20.44306,-53.75917
Rio Brilhante,-21.80194,-54.54639
Rio Negro,-19.4462,-54.97947
Rio Verde de Mato Grosso,-18.91806,-54.84417
Rochedo,-19.98799,-54.78184
Santa Rita do Pardo,-21.35479,-52.69315
São Gabriel do Oeste,-19.1317,-54.44865
Selvíria,-20.24958,-51.83228
Sete Quedas,-23.88066,-55.02727
Sidrolândia,-20.93194,-54.96139
Sonora,-17.67403,-54.45326
Tacuru,-23.68722,-54.91099
Taquarussu,-22.73419,-53.48002
Terenos,-20.42068,-55.10602
Três Lagoas,-20.37964,-52.25961
Vicentina,-22.49155,-54.46183
