city_name,latitude,longitude
Abatiá,-23.29903,-50.32176
Adrianópolis,-24.76632,-48.79998
Agudos do Sul,-26.04616,-49.31186
Almirante Tamandaré,-25.32472,-49.31
Altamira do Paraná,-24.81257,-52.7074
Altãnia,-23.87444,-53.90167
Alto Paraíso,-23.55498,-53.8077
Alto Paraná,-23.06783,-52.31196
Alto Piquiri,-24.12973,-53.34661
Altônia,-23.88648,-53.96852
Alvorada do Sul,-22.80928,-51.27421
Amaporã,-23.13633,-52.8381
Ampére,-25.91242,-53.49366
Anahy,-24.66517,-53.13229
Andirá,-23.03931,-50.27404
Ângulo,-23.21625,-51.93851
Antonina,-25.28425,-48.72037
Antônio Olinto,-25.96435,-50.12992
Apucarana,-23.56159,-51.45358
Arapongas,-23.41944,-51.42444
Arapoti,-24.06902,-50.03733
Arapuã,-24.31991,-51.81138
Araruna,-23.97219,-52.59131
Araucária,-25.59306,-49.41028
Ariranha do Ivaí,-24.35185,-51.53194
Assaí,-23.37333,-50.84139
Assis Chateaubriand,-24.40824,-53.53328
Astorga,-23.24011,-51.69541
Atalaia,-23.12728,-52.04286
Balsa Nova,-25.52151,-49.67738
Bandeirantes,-23.15516,-50.33873
Barbosa Ferraz,-24.06134,-52.05494
Barra do Jacaré,-23.11066,-50.15719
Barracão,-26.24009,-53.52586
Bela Vista da Caroba,-25.87398,-53.62755
Bela Vista do Paraíso,-22.99667,-51.19056
Bituruna,-26.18538,-51.54497
Boa Esperança,-24.24372,-52.73574
Boa Esperança do Iguaçu,-25.6352,-53.22621
Boa Ventura de São Roque,-24.84082,-51.55638
Boa Vista da Aparecida,-25.43709,-53.41293
Bocaiúva do Sul,-25.1004,-48.87116
Bom Jesus do Sul,-26.1528,-53.54963
Bom Sucesso,-23.69506,-51.81945
Bom Sucesso do Sul,-26.08239,-52.85103
Borrazópolis,-23.93931,-51.60141
Braganey,-24.79019,-53.08864
Brasilândia do Sul,-24.21682,-53.5725
Cafeara,-22.7998,-51.71428
Cafelândia,-24.69297,-53.3509
Cafezal do Sul,-23.95645,-53.6091
Califórnia,-23.6634,-51.32824
Cambará,-23.0042,-50.08819
Cambé,-23.27583,-51.27833
Cambira,-23.63164,-51.56671
Campina da Lagoa,-24.60154,-52.78545
Campina do Simão,-25.08478,-51.78423
Campina Grande do Sul,-25.30556,-49.05528
Campo Bonito,-24.88808,-53.01009
Campo do Tenente,-25.95791,-49.65936
Campo Largo,-25.45955,-49.53014
Campo Magro,-25.26822,-49.4758
Campo Mourão,-24.04309,-52.37929
Cândido de Abreu,-24.56694,-51.33333
Candói,-25.51315,-52.02243
Cantagalo,-25.2953,-52.15269
Capanema,-25.61839,-53.79262
Capitão Leônidas Marques,-25.47998,-53.58797
Carambeí,-24.9526,-50.1159
Carlópolis,-23.44971,-49.70142
Cascavel,-24.95583,-53.45528
Castro,-24.8304,-49.85535
Catanduvas,-25.26047,-53.17016
Centenário do Sul,-22.82111,-51.59528
Cerro Azul,-24.85878,-49.29561
Céu Azul,-25.29831,-53.74848
Chopinzinho,-25.81428,-52.45682
Cianorte,-23.66333,-52.605
Cidade Gaúcha,-23.36535,-52.97466
Clevelândia,-26.39583,-52.47083
Colombo,-25.30126,-49.16965
Colorado,-22.8375,-51.97306
Congonhinhas,-23.62943,-50.49858
Conselheiro Mairinck,-23.58771,-50.11629
Contenda,-25.71409,-49.50798
Corbélia,-24.79889,-53.30667
Cornélio Procópio,-23.18111,-50.64667
Coronel Domingos Soares,-26.1829,-51.97777
Coronel Vivida,-25.97972,-52.56778
Corumbataí do Sul,-24.12007,-52.14622
Cruz Machado,-25.91086,-51.22563
Cruzeiro do Iguaçu,-25.60303,-53.12736
Cruzeiro do Oeste,-23.785,-53.07333
Cruzeiro do Sul,-22.97418,-52.15969
Cruzmaltina,-24.02357,-51.48481
Curitiba,-25.42778,-49.27306
Curiúva,-24.00386,-50.46541
Diamante d'Oeste,-24.94559,-54.10349
Diamante do Norte,-22.63752,-52.8728
Diamante do Sul,-24.9868,-52.70134
Dois Vizinhos,-25.73361,-53.05722
Douradina,-23.3404,-53.27489
Doutor Camargo,-23.56158,-52.22341
Doutor Ulysses,-24.635,-49.4002
Enéas Marques,-25.86454,-53.15902
Engenheiro Beltrão,-23.79722,-52.26917
Entre Rios do Oeste,-24.70408,-54.21562
Esperança Nova,-23.71008,-53.79362
Espigão Alto do Iguaçu,-25.35011,-52.77923
Farol,-24.10348,-52.66314
Faxinal,-24.00028,-51.31944
Fazenda Rio Grande,-25.66466,-49.30426
Fênix,-23.90551,-52.03998
Fernandes Pinheiro,-25.44403,-50.51811
Figueira,-23.86125,-50.42076
Flor da Serra do Sul,-26.23081,-53.30368
Floraí,-23.3283,-52.32422
Floresta,-23.63014,-52.0763
Florestópolis,-22.86333,-51.38722
Flórida,-23.11265,-51.97861
Formosa do Oeste,-24.30836,-53.32776
Foz do Iguaçu,-25.54778,-54.58806
Foz do Jordão,-25.69523,-52.06075
Francisco Alves,-24.0651,-53.88444
Francisco Beltrão,-26.08111,-53.055
General Carneiro,-26.43749,-51.40075
Godoy Moreira,-24.14813,-51.91555
Goioerê,-24.18868,-53.09916
Goioxim,-25.09533,-52.00812
Grandes Rios,-24.18645,-51.4346
Guaíra,-24.26175,-54.23821
Guairaçá,-22.90548,-52.74878
Guamiranga,-25.15028,-50.86182
Guapirama,-23.4684,-50.09128
Guaporema,-23.31022,-52.82479
Guaraci,-22.97343,-51.69739
Guaraniaçu,-25.10083,-52.87806
Guarapuava,-25.39048,-51.46541
Guaraqueçaba,-25.15156,-48.35949
Guaratuba,-25.88278,-48.57472
Honório Serpa,-26.13779,-52.39614
Ibaiti,-23.84861,-50.18778
Ibema,-25.16493,-53.01268
Ibiporã,-23.26917,-51.04806
Icaraíma,-23.37235,-53.59492
Iguaraçu,-23.23375,-51.85341
Iguatu,-24.68784,-53.08691
Imbaú,-24.44336,-50.73882
Imbituva,-25.23,-50.60444
Inácio Martins,-25.64,-51.22
Inajá,-22.71509,-52.24126
Indianópolis,-23.47975,-52.64153
Ipiranga,-25.0159,-50.55475
Iporã,-24.04512,-53.71983
Iracema do Oeste,-24.43665,-53.33842
Irati,-25.46722,-50.65111
Iretama,-24.34412,-52.10655
Itaguajé,-22.66099,-51.98288
Itaipulândia,-25.16335,-54.34354
Itambaracá,-22.98385,-50.42715
Itambé,-23.68805,-52.01227
Itapejara d'Oeste,-25.97797,-52.82583
Itaperuçu,-25.22,-49.34778
Itaúna do Sul,-22.73684,-52.89236
Ivaí,-24.99384,-50.86192
Ivaiporã,-24.2823,-51.63284
Ivaté,-23.33716,-53.42407
Ivatuba,-23.59716,-52.19434
Jaboti,-23.69532,-50.07376
Jacarezinho,-23.19072,-49.9541
Jaguapitã,-23.07631,-51.58296
Jaguariaíva,-24.24423,-49.70932
Jandaia do Sul,-23.60306,-51.64333
Janiópolis,-24.08843,-52.80294
Japira,-23.69047,-50.18011
Japurá,-23.4186,-52.5622
Jardim Alegre,-24.21451,-51.7227
Jardim Olinda,-22.56938,-52.0652
Jataizinho,-23.25417,-50.98
Jesuítas,-24.41301,-53.41344
Joaquim Távora,-23.42218,-49.90251
Jundiaí do Sul,-23.47919,-50.18065
Juranda,-24.41323,-52.8273
Jussara,-23.62121,-52.47084
Kaloré,-23.86713,-51.68029
Lapa,-25.76972,-49.71583
Laranjal,-24.92573,-52.45952
Laranjeiras do Sul,-25.40778,-52.41611
Leópolis,-23.02502,-50.72558
Lidianópolis,-24.08135,-51.64406
Lindoeste,-25.26796,-53.5687
Loanda,-22.92306,-53.13722
Lobato,-22.96387,-52.00714
Londrina,-23.31028,-51.16278
Luiziana,-24.34081,-52.27043
Lunardelli,-24.07214,-51.76003
Lupionópolis,-22.73847,-51.68386
Mallet,-25.90209,-50.8305
Mamborê,-24.40607,-52.61692
Mandaguaçu,-23.34722,-52.09528
Mandaguari,-23.5475,-51.67083
Mandirituba,-25.84677,-49.32704
Manfrinópolis,-26.10011,-53.35828
Mangueirinha,-26.03649,-52.22257
Manoel Ribas,-24.52402,-51.63111
Marechal Cândido Rondon,-24.55611,-54.05667
Maria Helena,-23.55348,-53.23153
Marialva,-23.485,-51.79167
Marilândia do Sul,-23.7438,-51.2941
Marilena,-22.72742,-53.0817
Mariluz,-24.06183,-53.22984
Maringá,-23.42528,-51.93861
Mariópolis,-26.3163,-52.57421
Maripá,-24.46267,-53.80179
Marmeleiro,-26.23791,-53.09751
Marquinho,-25.1057,-52.25677
Marumbi,-23.76658,-51.66062
Matelândia,-25.24083,-53.99639
Matinhos,-25.76114,-48.5729
Mato Rico,-24.70689,-52.24085
Mauá da Serra,-23.91107,-51.18026
Medianeira,-25.29528,-54.09389
Mercedes,-24.426,-54.17683
Mirador,-23.21282,-52.75351
Miraselva,-22.9766,-51.47042
Missal,-25.11125,-54.25786
Moreira Sales,-24.06222,-53.00694
Morretes,-25.53075,-48.87427
Munhoz de Melo,-23.11288,-51.73192
Nossa Senhora das Graças,-22.93036,-51.8024
Nova Aliança do Ivaí,-23.1867,-52.62571
Nova América da Colina,-23.33377,-50.69624
Nova Aurora,-22.86667,-52.56667
Nova Cantu,-24.65652,-52.56315
Nova Esperança,-23.18311,-52.25446
Nova Esperança do Sudoeste,-25.88851,-53.2603
Nova Fátima,-23.39579,-50.53565
Nova Laranjeiras,-25.21942,-52.57752
Nova Londrina,-22.76583,-52.985
Nova Olímpia,-23.43206,-53.03895
Nova Prata do Iguaçu,-25.60849,-53.38052
Nova Santa Bárbara,-23.60238,-50.7545
