city_name,latitude,longitude
Abreu e Lima,-7.86865,-35.08171
Afogados da Ingazeira,-7.72298,-37.61781
Afrânio,-8.62589,-41.05768
Agrestina,-8.45191,-35.93238
Água Preta,-8.7075,-35.53056
Águas Belas,-9.11139,-37.12306
Alagoinha,-8.53497,-36.75607
Aliança,-7.59698,-35.16536
Altinho,-8.45151,-36.08155
Amaraji,-8.37192,-35.48991
Angelim,-8.89154,-36.27674
Araçoiaba,-7.79387,-35.07645
Araripina,-7.57611,-40.49833
Arcoverde,-8.41889,-37.05389
Barra de Guabiraba,-8.3945,-35.62054
Barreiros,-8.81833,-35.18639
Belém de Maria,-8.57849,-35.82495
Belém de São Francisco,-8.75389,-38.96583
Belém do São Francisco,-8.53386,-38.98166
Belo Jardim,-8.33556,-36.42417
Betânia,-8.28789,-37.97622
Bezerros,-8.23333,-35.79694
Bodocó,-7.78881,-39.95255
Bom Conselho,-9.16972,-36.67972
Bom Jardim,-7.79583,-35.58722
Bonito,-8.47028,-35.72861
Brejão,-9.036,-36.56056
Brejinho,-7.34462,-37.33463
Brejo da Madre de Deus,-8.14583,-36.37111
Buenos Aires,-7.72,-35.32
Buíque,-8.62306,-37.15583
Cabo,-8.28333,-35.03333
Cabo de Santo Agostinho,-8.27727,-35.0909
Cabrobó,-8.51417,-39.31
Cachoeirinha,-8.48639,-36.23306
Caetés,-8.77306,-36.6225
Calçado,-8.7358,-36.33149
Calumbi,-8.0191,-38.09799
Camaragibe,-7.9878,-34.99136
Camocim de São Félix,-8.35861,-35.76194
Camutanga,-7.43515,-35.30172
Canhotinho,-8.88222,-36.19111
Capoeiras,-8.73472,-36.62667
Carnaíba,-8.7,-37.66667
Carnaubeira da Penha,-8.42648,-38.76523
Carpina,-7.85083,-35.25472
Caruaru,-8.17924,-36.02794
Casinhas,-7.75811,-35.69922
Catende,-8.66667,-35.71667
Cedro,-7.71879,-39.23334
Chã de Alegria,-7.99013,-35.18974
Chã Grande,-8.23833,-35.46167
Colônia Leopoldina,-8.90889,-35.725
Condado,-7.58583,-35.10583
Correntes,-9.13378,-36.32033
Cortês,-8.44254,-35.53378
Cumaru,-8.00611,-35.69722
Cupira,-8.61667,-35.95
Custódia,-8.12882,-37.66208
Dormentes,-8.4302,-40.59717
Escada,-8.35917,-35.22361
Exu,-7.51194,-39.72417
Feira Nova,-7.93474,-35.39248
